,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,157068.7468313573,157518.72598167192,158966.94023791933,157068.7468313573,157068.7468313573,1207.1143348745102,1207.1143348745102,1207.1143348745102,11830.326616534343,11830.326616534343,11830.326616534343,7.923679947350788,7.923679947350788,7.923679947350788,-10631.135961607186,-10631.135961607186,-10631.135961607186,0.0,0.0,0.0,158275.86116623183
711,2022-01-02,157304.20806062766,157570.07560474658,159003.99253347208,157304.20806062766,157304.20806062766,952.298577099192,952.298577099192,952.298577099192,11830.326616534343,11830.326616534343,11830.326616534343,-31.206119022666474,-31.206119022666474,-31.206119022666474,-10846.821920412485,-10846.821920412485,-10846.821920412485,0.0,0.0,0.0,158256.50663772685
712,2022-01-03,157539.669289898,157506.7985238177,158957.6770335789,157539.669289898,157539.669289898,739.1127071364176,739.1127071364176,739.1127071364176,11830.326616534343,11830.326616534343,11830.326616534343,-24.56917814384484,-24.56917814384484,-24.56917814384484,-11066.644731254082,-11066.644731254082,-11066.644731254082,0.0,0.0,0.0,158278.78199703444
713,2022-01-04,157775.13051916836,157515.73174829624,158986.59737232703,157775.13051916836,157775.13051916836,531.9237004107492,531.9237004107492,531.9237004107492,11830.326616534343,11830.326616534343,11830.326616534343,-8.259524338352339,-8.259524338352339,-8.259524338352339,-11290.143391785241,-11290.143391785241,-11290.143391785241,0.0,0.0,0.0,158307.05421957912
714,2022-01-05,158010.59174843872,157572.9755582972,159025.1719577294,158010.59174843872,158010.59174843872,309.9232423925615,309.9232423925615,309.9232423925615,11830.326616534343,11830.326616534343,11830.326616534343,-3.803873617405854,-3.803873617405854,-3.803873617405854,-11516.599500524375,-11516.599500524375,-11516.599500524375,0.0,0.0,0.0,158320.5149908313
715,2022-01-06,158246.05297770904,157618.44007912913,159102.0283275392,158246.05297770904,158246.05297770904,103.47534489034038,103.47534489034038,103.47534489034038,11830.326616534343,11830.326616534343,11830.326616534343,18.179861903489776,18.179861903489776,18.179861903489776,-11745.031133547494,-11745.031133547494,-11745.031133547494,0.0,0.0,0.0,158349.5283225994
716,2022-01-07,158481.5142069794,157647.87917282447,159103.9458811049,158481.5142069794,158481.5142069794,-102.13190977938699,-102.13190977938699,-102.13190977938699,11830.326616534343,11830.326616534343,11830.326616534343,41.73515327132536,41.73515327132536,41.73515327132536,-11974.193679585054,-11974.193679585054,-11974.193679585054,0.0,0.0,0.0,158379.3822972
717,2022-01-08,158716.97543624975,157595.1166003158,159071.72014377645,158716.97543624975,158716.97543624975,-364.3376226309936,-364.3376226309936,-364.3376226309936,11830.326616534343,11830.326616534343,11830.326616534343,7.923679947521119,7.923679947521119,7.923679947521119,-12202.587919112855,-12202.587919112855,-12202.587919112855,0.0,0.0,0.0,158352.63781361876
718,2022-01-09,158952.4366655201,157553.4091488528,159074.34759297458,158952.4366655201,158952.4366655201,-629.3549449754339,-629.3549449754339,-629.3549449754339,11830.326616534343,11830.326616534343,11830.326616534343,-31.206119022681236,-31.206119022681236,-31.206119022681236,-12428.475442487092,-12428.475442487092,-12428.475442487092,0.0,0.0,0.0,158323.08172054467
719,2022-01-10,159187.89789479045,157607.21802080295,159074.15479793548,159187.89789479045,159187.89789479045,-844.1438657114728,-844.1438657114728,-844.1438657114728,11830.326616534343,11830.326616534343,11830.326616534343,-24.569178143826417,-24.569178143826417,-24.569178143826417,-12649.901304101986,-12649.901304101986,-12649.901304101986,0.0,0.0,0.0,158343.754029079
