,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1685303.0661798322,511239.0050310339,649346.6241031159,1685303.0661798322,1685303.0661798322,-1102511.2720810715,-1102511.2720810715,-1102511.2720810715,427156.53872114443,427156.53872114443,427156.53872114443,-12.548178888625191,-12.548178888625191,-12.548178888625191,-1529655.262623327,-1529655.262623327,-1529655.262623327,0.0,0.0,0.0,582791.7940987607
711,2022-01-02,1715318.1817980146,579173.055793383,710371.9002670768,1715318.1817980146,1715318.1817980146,-1072105.411214862,-1072105.411214862,-1072105.411214862,427156.53872114443,427156.53872114443,427156.53872114443,-1096.849630223736,-1096.849630223736,-1096.849630223736,-1498165.1003057829,-1498165.1003057829,-1498165.1003057829,0.0,0.0,0.0,643212.7705831525
712,2022-01-03,1745333.2974162013,642143.9099499641,779135.1694608132,1745333.2974162013,1745333.2974162013,-1036664.3771477955,-1036664.3771477955,-1036664.3771477955,427156.53872114443,427156.53872114443,427156.53872114443,-1276.375079293782,-1276.375079293782,-1276.375079293782,-1462544.540789646,-1462544.540789646,-1462544.540789646,0.0,0.0,0.0,708668.9202684058
713,2022-01-04,1775348.4130343834,708906.3187879878,845936.5852557314,1775348.4130343834,1775348.4130343834,-996392.3558292092,-996392.3558292092,-996392.3558292092,427156.53872114443,427156.53872114443,427156.53872114443,-420.5128545257697,-420.5128545257697,-420.5128545257697,-1423128.3816958282,-1423128.3816958282,-1423128.3816958282,0.0,0.0,0.0,778956.0572051742
714,2022-01-05,1805363.5286525656,782815.6682802993,926545.6520485807,1805363.5286525656,1805363.5286525656,-951939.6747562492,-951939.6747562492,-951939.6747562492,427156.53872114443,427156.53872114443,427156.53872114443,1208.3395767277789,1208.3395767277789,1208.3395767277789,-1380304.5530541218,-1380304.5530541218,-1380304.5530541218,0.0,0.0,0.0,853423.8538963164
715,2022-01-06,1835378.6442707526,861749.4227088259,994321.2630926963,1835378.6442707526,1835378.6442707526,-905816.9007034353,-905816.9007034353,-905816.9007034353,427156.53872114443,427156.53872114443,427156.53872114443,1534.258931435307,1534.258931435307,1534.258931435307,-1334507.6983560154,-1334507.6983560154,-1334507.6983560154,0.0,0.0,0.0,929561.7435673173
716,2022-01-07,1865393.7598889347,941035.3481204051,1078178.2259711116,1865393.7598889347,1865393.7598889347,-858991.5624763262,-858991.5624763262,-858991.5624763262,427156.53872114443,427156.53872114443,427156.53872114443,63.6872347663784,63.6872347663784,63.6872347663784,-1286211.7884322372,-1286211.7884322372,-1286211.7884322372,0.0,0.0,0.0,1006402.1974126084
717,2022-01-08,1895408.8755071214,1017344.5928641531,1150594.5525133065,1895408.8755071214,1895408.8755071214,-808777.9401475098,-808777.9401475098,-808777.9401475098,427156.53872114443,427156.53872114443,427156.53872114443,-12.548178887287703,-12.548178887287703,-12.548178887287703,-1235921.930689767,-1235921.930689767,-1235921.930689767,0.0,0.0,0.0,1086630.9353596116
718,2022-01-09,1925423.9911253084,1097922.7230001893,1234908.1222782712,1925423.9911253084,1925423.9911253084,-758105.8663754968,-758105.8663754968,-758105.8663754968,427156.53872114443,427156.53872114443,427156.53872114443,-1096.8496302240974,-1096.8496302240974,-1096.8496302240974,-1184165.5554664175,-1184165.5554664175,-1184165.5554664175,0.0,0.0,0.0,1167318.1247498116
719,2022-01-10,1955439.1067434906,1183799.8918456042,1317457.9494979996,1955439.1067434906,1955439.1067434906,-705603.0123540992,-705603.0123540992,-705603.0123540992,427156.53872114443,427156.53872114443,427156.53872114443,-1276.3750792940875,-1276.3750792940875,-1276.3750792940875,-1131483.1759959497,-1131483.1759959497,-1131483.1759959497,0.0,0.0,0.0,1249836.0943893914
