,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1570328.3345383704,1232979.7301938636,1266251.2875528177,1570328.3345383704,1570328.3345383704,-320580.54302223556,-320580.54302223556,-320580.54302223556,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200865738,552.4831200865738,552.4831200865738,-479174.20237844525,-479174.20237844525,-479174.20237844525,0.0,0.0,0.0,1249747.7915161347
711,2022-01-02,1582760.6901235334,1256538.1468019364,1290320.8490331224,1582760.6901235334,1582760.6901235334,-308417.42019363283,-308417.42019363283,-308417.42019363283,158041.17623612314,158041.17623612314,158041.17623612314,-1005.129602202765,-1005.129602202765,-1005.129602202765,-465453.4668275531,-465453.4668275531,-465453.4668275531,0.0,0.0,0.0,1274343.2699299005
712,2022-01-03,1595193.0457086966,1285211.003187836,1317442.7610299618,1595193.0457086966,1595193.0457086966,-293979.08759038296,-293979.08759038296,-293979.08759038296,158041.17623612314,158041.17623612314,158041.17623612314,-1141.843224102475,-1141.843224102475,-1141.843224102475,-450878.42060240346,-450878.42060240346,-450878.42060240346,0.0,0.0,0.0,1301213.9581183137
713,2022-01-04,1607625.4012938596,1314034.8037090476,1346897.6026793688,1607625.4012938596,1607625.4012938596,-277544.3379647895,-277544.3379647895,-277544.3379647895,158041.17623612314,158041.17623612314,158041.17623612314,10.280175555441717,10.280175555441717,10.280175555441717,-435595.79437646805,-435595.79437646805,-435595.79437646805,0.0,0.0,0.0,1330081.06332907
714,2022-01-05,1620057.7568790214,1342809.1606474852,1375356.913646772,1620057.7568790214,1620057.7568790214,-261343.98724683738,-261343.98724683738,-261343.98724683738,158041.17623612314,158041.17623612314,158041.17623612314,374.3201295913569,374.3201295913569,374.3201295913569,-419759.4836125519,-419759.4836125519,-419759.4836125519,0.0,0.0,0.0,1358713.769632184
715,2022-01-06,1632490.1124641844,1371455.1139863546,1403493.477695806,1632490.1124641844,1632490.1124641844,-245019.0115175434,-245019.0115175434,-245019.0115175434,158041.17623612314,158041.17623612314,158041.17623612314,467.4721554629547,467.4721554629547,467.4721554629547,-403527.6599091295,-403527.6599091295,-403527.6599091295,0.0,0.0,0.0,1387471.100946641
716,2022-01-07,1644922.4680493476,1399713.1206916468,1432725.93028162,1644922.4680493476,1644922.4680493476,-228276.22230711087,-228276.22230711087,-228276.22230711087,158041.17623612314,158041.17623612314,158041.17623612314,742.4172456064052,742.4172456064052,742.4172456064052,-387059.81578884035,-387059.81578884035,-387059.81578884035,0.0,0.0,0.0,1416646.2457422367
717,2022-01-08,1657354.823634512,1430005.0272938611,1462054.804690554,1657354.823634512,1657354.823634512,-211920.15111365967,-211920.15111365967,-211920.15111365967,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200903628,552.4831200903628,552.4831200903628,-370513.81046987313,-370513.81046987313,-370513.81046987313,0.0,0.0,0.0,1445434.6725208524
718,2022-01-09,1669787.1792196739,1456141.3364803146,1488922.1112289003,1669787.1792196739,1669787.1792196739,-197006.9372395712,-197006.9372395712,-197006.9372395712,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022035135,-1005.1296022035135,-1005.1296022035135,-354042.98387349077,-354042.98387349077,-354042.98387349077,0.0,0.0,0.0,1472780.2419801026
719,2022-01-10,1682219.5348048368,1484047.1792562276,1516441.4740464808,1682219.5348048368,1682219.5348048368,-180894.07113969166,-180894.07113969166,-180894.07113969166,158041.17623612314,158041.17623612314,158041.17623612314,-1141.8432241020441,-1141.8432241020441,-1141.8432241020441,-337793.40415171266,-337793.40415171266,-337793.40415171266,0.0,0.0,0.0,1501325.4636651452
720,2022-01-11,1694651.89039,1513874.3023478175,1547039.8379572644,1694651.89039,1694651.89039,-163849.854004822,-163849.854004822,-163849.854004822,158041.17623612314,158041.17623612314,158041.17623612314,10.280175555717571,10.280175555717571,10.280175555717571,-321901.3104165008,-321901.3104165008,-321901.3104165008,0.0,0.0,0.0,1530802.036385178
721,2022-01-12,1707084.245975163,1541828.831139011,1575485.688964564,1707084.245975163,1707084.245975163,-148075.3108527887,-148075.3108527887,-148075.3108527887,158041.17623612314,158041.17623612314,158041.17623612314,374.3201295911832,374.3201295911832,374.3201295911832,-306490.8072185029,-306490.8072185029,-306490.8072185029,0.0,0.0,0.0,1559008.9351223744
722,2022-01-13,1719516.6015603263,1570482.5969277741,1600973.5551556703,1719516.6015603263,1719516.6015603263,-133163.2124002268,-133163.2124002268,-133163.2124002268,158041.17623612314,158041.17623612314,158041.17623612314,467.4721554629161,467.4721554629161,467.4721554629161,-291671.86079181277,-291671.86079181277,-291671.86079181277,0.0,0.0,0.0,1586353.3891600994
723,2022-01-14,1731948.957145488,1597425.3618159061,1630100.8588448374,1731948.957145488,1731948.957145488,-118755.04584611446,-118755.04584611446,-118755.04584611446,158041.17623612314,158041.17623612314,158041.17623612314,742.41724560523,742.41724560523,742.41724560523,-277538.6393278428,-277538.6393278428,-277538.6393278428,0.0,0.0,0.0,1613193.9112993735
724,2022-01-15,1744381.3127306525,1621984.9655563585,1654893.4978665288,1744381.3127306525,1744381.3127306525,-105574.57141515042,-105574.57141515042,-105574.57141515042,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200894383,552.4831200894383,552.4831200894383,-264168.230771363,-264168.230771363,-264168.230771363,0.0,0.0,0.0,1638806.7413155022
725,2022-01-16,1756813.6683158155,1644663.4842479303,1677843.54277984,1756813.6683158155,1756813.6683158155,-94583.71544248083,-94583.71544248083,-94583.71544248083,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022047889,-1005.1296022047889,-1005.1296022047889,-251619.76207639917,-251619.76207639917,-251619.76207639917,0.0,0.0,0.0,1662229.9528733348
726,2022-01-17,1769246.0239009787,1670903.8925352986,1701696.792210294,1769246.0239009787,1769246.0239009787,-83034.60075903282,-83034.60075903282,-83034.60075903282,158041.17623612314,158041.17623612314,158041.17623612314,-1141.8432241016128,-1141.8432241016128,-1141.8432241016128,-239933.93377105435,-239933.93377105435,-239933.93377105435,0.0,0.0,0.0,1686211.4231419459
727,2022-01-18,1781678.3794861403,1694188.9422986475,1727599.6352503982,1781678.3794861403,1781678.3794861403,-71081.51691233178,-71081.51691233178,-71081.51691233178,158041.17623612314,158041.17623612314,158041.17623612314,10.280175555993523,10.280175555993523,10.280175555993523,-229132.97332401085,-229132.97332401085,-229132.97332401085,0.0,0.0,0.0,1710596.8625738085
728,2022-01-19,1794110.7350713036,1717686.3819319038,1748613.0585627507,1794110.7350713036,1794110.7350713036,-60805.50408596483,-60805.50408596483,-60805.50408596483,158041.17623612314,158041.17623612314,158041.17623612314,374.32012959133056,374.32012959133056,374.32012959133056,-219221.00045167925,-219221.00045167925,-219221.00045167925,0.0,0.0,0.0,1733305.2309853388
729,2022-01-20,1806543.0906564665,1739214.2247731092,1770548.0504321023,1806543.0906564665,1806543.0906564665,-51676.13903175988,-51676.13903175988,-51676.13903175988,158041.17623612314,158041.17623612314,158041.17623612314,467.47215546314976,467.47215546314976,467.47215546314976,-210184.78742334613,-210184.78742334613,-210184.78742334613,0.0,0.0,0.0,1754866.9516247066
730,2022-01-21,1818975.4462416312,1760609.3133921972,1793259.3260240469,1818975.4462416312,1818975.4462416312,-43211.29439217096,-43211.29439217096,-43211.29439217096,158041.17623612314,158041.17623612314,158041.17623612314,742.4172456054955,742.4172456054955,742.4172456054955,-201994.88787389957,-201994.88787389957,-201994.88787389957,0.0,0.0,0.0,1775764.1518494603
731,2022-01-22,1831407.8018267928,1780959.0356480773,1811196.5006988102,1831407.8018267928,1831407.8018267928,-36013.439507909316,-36013.439507909316,-36013.439507909316,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200888153,552.4831200888153,552.4831200888153,-194607.09886412128,-194607.09886412128,-194607.09886412128,0.0,0.0,0.0,1795394.3623188834
732,2022-01-23,1843840.157411956,1797114.9680571146,1828269.7990728877,1843840.157411956,1843840.157411956,-30928.1665280632,-30928.1665280632,-30928.1665280632,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022050104,-1005.1296022050104,-1005.1296022050104,-187964.21316198132,-187964.21316198132,-187964.21316198132,0.0,0.0,0.0,1812911.9908838929
733,2022-01-24,1856272.512997119,1815913.7032543158,1848447.5608418118,1856272.512997119,1856272.512997119,-25098.679135367216,-25098.679135367216,-25098.679135367216,158041.17623612314,158041.17623612314,158041.17623612314,-1141.84322410372,-1141.84322410372,-1141.84322410372,-181998.0121473866,-181998.0121473866,-181998.0121473866,0.0,0.0,0.0,1831173.8338617517
734,2022-01-25,1868704.8685822822,1833806.8195531901,1865885.8076370752,1868704.8685822822,1868704.8685822822,-18579.988121172217,-18579.988121172217,-18579.988121172217,158041.17623612314,158041.17623612314,158041.17623612314,10.280175557551361,10.280175557551361,10.280175557551361,-176631.4445328529,-176631.4445328529,-176631.4445328529,0.0,0.0,0.0,1850124.88046111
735,2022-01-26,1881137.2241674452,1851557.4383868258,1884122.5635589962,1881137.2241674452,1881137.2241674452,-13365.435999126768,-13365.435999126768,-13365.435999126768,158041.17623612314,158041.17623612314,158041.17623612314,374.320129591157,374.320129591157,374.320129591157,-171780.93236484105,-171780.93236484105,-171780.93236484105,0.0,0.0,0.0,1867771.7881683183
736,2022-01-27,1893569.579752607,1868783.039414913,1900523.694923636,1893569.579752607,1893569.579752607,-8850.0952193637,-8850.0952193637,-8850.0952193637,158041.17623612314,158041.17623612314,158041.17623612314,467.4721554633832,467.4721554633832,467.4721554633832,-167358.74361095022,-167358.74361095022,-167358.74361095022,0.0,0.0,0.0,1884719.4845332433
737,2022-01-28,1906001.9353377714,1885133.3283387963,1917109.0449172691,1906001.9353377714,1906001.9353377714,-4491.7766058398365,-4491.7766058398365,-4491.7766058398365,158041.17623612314,158041.17623612314,158041.17623612314,742.4172456057607,742.4172456057607,742.4172456057607,-163275.3700875687,-163275.3700875687,-163275.3700875687,0.0,0.0,0.0,1901510.1587319316
738,2022-01-29,1918434.2909229347,1900528.458915066,1933312.0484558195,1918434.2909229347,1918434.2909229347,-848.1911823171507,-848.1911823171507,-848.1911823171507,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200881924,552.4831200881924,552.4831200881924,-159441.85053852844,-159441.85053852844,-159441.85053852844,0.0,0.0,0.0,1917586.0997406174
739,2022-01-30,1930866.6465080976,1917723.5007104846,1947531.7827171565,1930866.6465080976,1930866.6465080976,1264.0653409821396,1264.0653409821396,1264.0653409821396,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022015032,-1005.1296022015032,-1005.1296022015032,-155771.98129293945,-155771.98129293945,-155771.98129293945,0.0,0.0,0.0,1932130.7118490797
740,2022-01-31,1943299.0020932595,1931264.9384546028,1963943.2217754796,1943299.0020932595,1943299.0020932595,4714.971989962674,4714.971989962674,4714.971989962674,158041.17623612314,158041.17623612314,158041.17623612314,-1141.843224103289,-1141.843224103289,-1141.843224103289,-152184.36102205716,-152184.36102205716,-152184.36102205716,0.0,0.0,0.0,1948013.9740832222
741,2022-02-01,1955731.3576784225,1948957.2458318612,1980483.1987578475,1955731.3576784225,1955731.3576784225,9447.234856010213,9447.234856010213,9447.234856010213,158041.17623612314,158041.17623612314,158041.17623612314,10.280175557827215,10.280175557827215,10.280175557827215,-148604.22155567072,-148604.22155567072,-148604.22155567072,0.0,0.0,0.0,1965178.5925344327
742,2022-02-02,1968163.7132635857,1965641.8643196526,1997841.2972660975,1968163.7132635857,1968163.7132635857,13450.493019364603,13450.493019364603,13450.493019364603,158041.17623612314,158041.17623612314,158041.17623612314,374.3201295914901,374.3201295914901,374.3201295914901,-144965.00334635001,-144965.00334635001,-144965.00334635001,0.0,0.0,0.0,1981614.2062829502
743,2022-02-03,1980596.0688487487,1980443.2517021594,2013510.1026881442,1980596.0688487487,1980596.0688487487,17299.006598696353,17299.006598696353,17299.006598696353,158041.17623612314,158041.17623612314,158041.17623612314,467.4721554636168,467.4721554636168,467.4721554636168,-141209.64179289038,-141209.64179289038,-141209.64179289038,0.0,0.0,0.0,1997895.075447445
744,2022-02-04,1993028.424433912,1998058.3262590584,2029785.9498001973,1993028.424433912,1993028.424433912,21492.05444549551,21492.05444549551,21492.05444549551,158041.17623612314,158041.17623612314,158041.17623612314,742.417245604569,742.417245604569,742.417245604569,-137291.5390362322,-137291.5390362322,-137291.5390362322,0.0,0.0,0.0,2014520.4788794075
745,2022-02-05,2005460.780019075,2014589.096888548,2047154.6576962746,2005460.780019075,2005460.780019075,25418.454571130238,25418.454571130238,25418.454571130238,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200869663,552.4831200869663,552.4831200869663,-133175.20478507987,-133175.20478507987,-133175.20478507987,0.0,0.0,0.0,2030879.2345902051
746,2022-02-06,2017893.1356042381,2028722.3217861336,2063191.5984446292,2017893.1356042381,2017893.1356042381,28199.487666466975,28199.487666466975,28199.487666466975,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022022515,-1005.1296022022515,-1005.1296022022515,-128836.55896745388,-128836.55896745388,-128836.55896745388,0.0,0.0,0.0,2046092.623270705
747,2022-02-07,2030325.4911894011,2047791.0212259823,2078071.0095149071,2030325.4911894011,2030325.4911894011,32636.43472987593,32636.43472987593,32636.43472987593,158041.17623612314,158041.17623612314,158041.17623612314,-1141.843224102858,-1141.843224102858,-1141.843224102858,-124262.89828214435,-124262.89828214435,-124262.89828214435,0.0,0.0,0.0,2062961.9259192771
748,2022-02-08,2042757.8467745644,2065382.4495616988,2097316.7736110995,2042757.8467745644,2042757.8467745644,38598.918620479046,38598.918620479046,38598.918620479046,158041.17623612314,158041.17623612314,158041.17623612314,10.280175558744023,10.280175558744023,10.280175558744023,-119452.53779120285,-119452.53779120285,-119452.53779120285,0.0,0.0,0.0,2081356.7653950434
749,2022-02-09,2055190.202359726,2083544.810061414,2115717.274661421,2055190.202359726,2055190.202359726,44001.34906015749,44001.34906015749,44001.34906015749,158041.17623612314,158041.17623612314,158041.17623612314,374.3201295908097,374.3201295908097,374.3201295908097,-114414.14730555643,-114414.14730555643,-114414.14730555643,0.0,0.0,0.0,2099191.5514198835
750,2022-02-10,2067622.5579448906,2101524.4910067962,2132493.926775792,2067622.5579448906,2067622.5579448906,49342.838150529,49342.838150529,49342.838150529,158041.17623612314,158041.17623612314,158041.17623612314,467.47215546263317,467.47215546263317,467.47215546263317,-109165.81024105675,-109165.81024105675,-109165.81024105675,0.0,0.0,0.0,2116965.39609542
751,2022-02-11,2080054.9135300536,2120006.6748167737,2150614.5349953193,2080054.9135300536,2080054.9135300536,55049.75382495517,55049.75382495517,55049.75382495517,158041.17623612314,158041.17623612314,158041.17623612314,742.4172456048507,742.4172456048507,742.4172456048507,-103733.83965677278,-103733.83965677278,-103733.83965677278,0.0,0.0,0.0,2135104.667355009
752,2022-02-12,2092487.2691152168,2137223.8872940056,2169846.806812126,2092487.2691152168,2092487.2691152168,60442.26720726491,60442.26720726491,60442.26720726491,158041.17623612314,158041.17623612314,158041.17623612314,552.4831200863433,552.4831200863433,552.4831200863433,-98151.39214894456,-98151.39214894456,-98151.39214894456,0.0,0.0,0.0,2152929.536322482
753,2022-02-13,2104919.62470038,2153700.767878076,2187141.213728687,2104919.62470038,2104919.62470038,64579.12162171958,64579.12162171958,64579.12162171958,158041.17623612314,158041.17623612314,158041.17623612314,-1005.1296022029999,-1005.1296022029999,-1005.1296022029999,-92456.92501220055,-92456.92501220055,-92456.92501220055,0.0,0.0,0.0,2169498.7463220996
754,2022-02-14,2117351.9802855416,2170433.567535003,2203370.816101494,2117351.9802855416,2117351.9802855416,70206.7875267357,70206.7875267357,70206.7875267357,158041.17623612314,158041.17623612314,158041.17623612314,-1141.843224102427,-1141.843224102427,-1141.843224102427,-86692.545485285,-86692.545485285,-86692.545485285,0.0,0.0,0.0,2187558.767812277
755,2022-02-15,2129784.3358707046,2190263.2669337504,2224240.320042974,2129784.3358707046,2129784.3358707046,77149.15352184098,77149.15352184098,77149.15352184098,158041.17623612314,158041.17623612314,158041.17623612314,10.280175555414921,10.280175555414921,10.280175555414921,-80902.30288983756,-80902.30288983756,-80902.30288983756,0.0,0.0,0.0,2206933.4893925455
756,2022-02-16,2142216.6914558676,2209991.4559586197,2242025.2890496897,2142216.6914558676,2142216.6914558676,83285.02134605881,83285.02134605881,83285.02134605881,158041.17623612314,158041.17623612314,158041.17623612314,374.32012959114275,374.32012959114275,374.32012959114275,-75130.47501965545,-75130.47501965545,-75130.47501965545,0.0,0.0,0.0,2225501.7128019263
