,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1786796.9971211813,1668583.5630325093,1778223.830222257,1786796.9971211813,1786796.9971211813,-65583.5677890275,-65583.5677890275,-65583.5677890275,1755561.2681585732,1755561.2681585732,1755561.2681585732,1580.4870567999606,1580.4870567999606,1580.4870567999606,-1822725.3230044006,-1822725.3230044006,-1822725.3230044006,0.0,0.0,0.0,1721213.4293321539
711,2022-01-02,1820291.820740479,1672227.9873277852,1781629.1376626813,1820291.820740479,1820291.820740479,-93478.61099484244,-93478.61099484244,-93478.61099484244,1755561.2681585732,1755561.2681585732,1755561.2681585732,1536.240516501609,1536.240516501609,1536.240516501609,-1850576.1196699173,-1850576.1196699173,-1850576.1196699173,0.0,0.0,0.0,1726813.2097456367
712,2022-01-03,1853786.6443597802,1672847.230372567,1783894.9691197104,1853786.6443597802,1853786.6443597802,-123323.28413750436,-123323.28413750436,-123323.28413750436,1755561.2681585732,1755561.2681585732,1755561.2681585732,-1198.1056895495103,-1198.1056895495103,-1198.1056895495103,-1877686.446606528,-1877686.446606528,-1877686.446606528,0.0,0.0,0.0,1730463.3602222758
713,2022-01-04,1887281.467979078,1684424.220328847,1790562.962284348,1887281.467979078,1887281.467979078,-149386.91863953925,-149386.91863953925,-149386.91863953925,1755561.2681585732,1755561.2681585732,1755561.2681585732,-983.6873557700321,-983.6873557700321,-983.6873557700321,-1903964.4994423422,-1903964.4994423422,-1903964.4994423422,0.0,0.0,0.0,1737894.5493395387
714,2022-01-05,1920776.291598376,1691338.1017262854,1802205.8222441152,1920776.291598376,1920776.291598376,-175024.30417767167,-175024.30417767167,-175024.30417767167,1755561.2681585732,1755561.2681585732,1755561.2681585732,-1282.5214009475985,-1282.5214009475985,-1282.5214009475985,-1929303.0509352968,-1929303.0509352968,-1929303.0509352968,0.0,0.0,0.0,1745751.9874207042
715,2022-01-06,1954271.1152176736,1699184.3521553022,1812341.1852027336,1954271.1152176736,1954271.1152176736,-198319.54071056668,-198319.54071056668,-198319.54071056668,1755561.2681585732,1755561.2681585732,1755561.2681585732,-301.1503022049362,-301.1503022049362,-301.1503022049362,-1953579.6585669348,-1953579.6585669348,-1953579.6585669348,0.0,0.0,0.0,1755951.574507107
716,2022-01-07,1987765.9388369713,1711981.2434433121,1825092.3583048976,1987765.9388369713,1987765.9388369713,-220447.3061525661,-220447.3061525661,-220447.3061525661,1755561.2681585732,1755561.2681585732,1755561.2681585732,648.7371751714693,648.7371751714693,648.7371751714693,-1976657.3114863103,-1976657.3114863103,-1976657.3114863103,0.0,0.0,0.0,1767318.6326844052
717,2022-01-08,2021260.7624562725,1723894.7888834563,1834828.6069258396,2021260.7624562725,2021260.7624562725,-241243.76601665007,-241243.76601665007,-241243.76601665007,1755561.2681585732,1755561.2681585732,1755561.2681585732,1580.487056797615,1580.487056797615,1580.487056797615,-1998385.5212320208,-1998385.5212320208,-1998385.5212320208,0.0,0.0,0.0,1780016.9964396225
718,2022-01-09,2054755.5860755702,1739789.9955868036,1846594.728643665,2054755.5860755702,2054755.5860755702,-261504.34038117572,-261504.34038117572,-261504.34038117572,1755561.2681585732,1755561.2681585732,1755561.2681585732,1536.240516500772,1536.240516500772,1536.240516500772,-2018601.8490562495,-2018601.8490562495,-2018601.8490562495,0.0,0.0,0.0,1793251.2456943945
719,2022-01-10,2088250.4096948681,1750359.2078600165,1863258.7152298994,2088250.4096948681,2088250.4096948681,-282770.68854651914,-282770.68854651914,-282770.68854651914,1755561.2681585732,1755561.2681585732,1755561.2681585732,-1198.1056895507684,-1198.1056895507684,-1198.1056895507684,-2037133.8510155417,-2037133.8510155417,-2037133.8510155417,0.0,0.0,0.0,1805479.7211483489
720,2022-01-11,2121745.233314166,1767997.1233038642,1879347.3684951763,2121745.233314166,2121745.233314166,-299223.8297985556,-299223.8297985556,-299223.8297985556,1755561.2681585732,1755561.2681585732,1755561.2681585732,-983.6873557691249,-983.6873557691249,-983.6873557691249,-2053801.410601359,-2053801.410601359,-2053801.410601359,0.0,0.0,0.0,1822521.4035156104
721,2022-01-12,2155240.0569334636,1784190.1768614922,1898626.355445987,2155240.0569334636,2155240.0569334636,-314140.6711008623,-314140.6711008623,-314140.6711008623,1755561.2681585732,1755561.2681585732,1755561.2681585732,-1282.521400946696,-1282.521400946696,-1282.521400946696,-2068419.4178584882,-2068419.4178584882,-2068419.4178584882,0.0,0.0,0.0,1841099.3858326012
722,2022-01-13,2188734.8805527613,1804275.938233723,1918588.2512694474,2188734.8805527613,2188734.8805527613,-325540.62612810655,-325540.62612810655,-325540.62612810655,1755561.2681585732,1755561.2681585732,1755561.2681585732,-301.15030220206495,-301.15030220206495,-301.15030220206495,-2080800.7439844774,-2080800.7439844774,-2080800.7439844774,0.0,0.0,0.0,1863194.2544246546
