,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,2644645.3924287693,2742210.889104833,2779739.0289101643,2644645.3924287693,2644645.3924287693,117086.70338389862,117086.70338389862,117086.70338389862,415282.2911189157,415282.2911189157,415282.2911189157,831.1406370033229,831.1406370033229,831.1406370033229,-299026.72837202036,-299026.72837202036,-299026.72837202036,0.0,0.0,0.0,2761732.095812668
711,2022-01-02,2656505.169058486,2744960.4222347843,2781701.229664808,2656505.169058486,2656505.169058486,106560.66299572185,106560.66299572185,106560.66299572185,415282.2911189157,415282.2911189157,415282.2911189157,504.57218372976695,504.57218372976695,504.57218372976695,-309226.20030692354,-309226.20030692354,-309226.20030692354,0.0,0.0,0.0,2763065.8320542076
712,2022-01-03,2668364.9456882025,2743700.52981011,2781606.9929298214,2668364.9456882025,2668364.9456882025,95528.64080043513,95528.64080043513,95528.64080043513,415282.2911189157,415282.2911189157,415282.2911189157,-251.75727974266266,-251.75727974266266,-251.75727974266266,-319501.89303873794,-319501.89303873794,-319501.89303873794,0.0,0.0,0.0,2763893.5864886376
713,2022-01-04,2680224.722317919,2746435.7904306157,2784264.009059761,2680224.722317919,2680224.722317919,85002.99373867935,85002.99373867935,85002.99373867935,415282.2911189157,415282.2911189157,415282.2911189157,-460.426033177471,-460.426033177471,-460.426033177471,-329818.8713470589,-329818.8713470589,-329818.8713470589,0.0,0.0,0.0,2765227.7160565984
714,2022-01-05,2692084.498947636,2748524.489162796,2784989.5245437617,2692084.498947636,2692084.498947636,74397.6010828089,74397.6010828089,74397.6010828089,415282.2911189157,415282.2911189157,415282.2911189157,-743.7345449250279,-743.7345449250279,-743.7345449250279,-340140.95549118175,-340140.95549118175,-340140.95549118175,0.0,0.0,0.0,2766482.100030445
715,2022-01-06,2703944.275577353,2750248.883471063,2786634.2166733234,2703944.275577353,2703944.275577353,64443.724435507065,64443.724435507065,64443.724435507065,415282.2911189157,415282.2911189157,415282.2911189157,-407.1075012957837,-407.1075012957837,-407.1075012957837,-350431.4591821128,-350431.4591821128,-350431.4591821128,0.0,0.0,0.0,2768388.0000128597
716,2022-01-07,2715804.0522070695,2752108.263909622,2790826.158979852,2715804.0522070695,2715804.0522070695,55155.68032178891,55155.68032178891,55155.68032178891,415282.2911189157,415282.2911189157,415282.2911189157,527.3125384099061,527.3125384099061,527.3125384099061,-360653.9233355367,-360653.9233355367,-360653.9233355367,0.0,0.0,0.0,2770959.7325288584
717,2022-01-08,2727663.828836786,2753593.2477209517,2790610.885236121,2727663.828836786,2727663.828836786,45340.60862213431,45340.60862213431,45340.60862213431,415282.2911189157,415282.2911189157,415282.2911189157,831.1406370035653,831.1406370035653,831.1406370035653,-370772.823133785,-370772.823133785,-370772.823133785,0.0,0.0,0.0,2773004.4374589203
718,2022-01-09,2739523.605466502,2755458.5772053143,2792580.186673189,2739523.605466502,2739523.605466502,35032.63670894896,35032.63670894896,35032.63670894896,415282.2911189157,415282.2911189157,415282.2911189157,504.5721837292726,504.5721837292726,504.5721837292726,-380754.226593696,-380754.226593696,-380754.226593696,0.0,0.0,0.0,2774556.2421754505
719,2022-01-10,2751383.382096219,2756147.3087937697,2794410.3900074316,2751383.382096219,2751383.382096219,24464.149669463095,24464.149669463095,24464.149669463095,415282.2911189157,415282.2911189157,415282.2911189157,-251.7572797429462,-251.7572797429462,-251.7572797429462,-390566.3841697096,-390566.3841697096,-390566.3841697096,0.0,0.0,0.0,2775847.531765682
720,2022-01-11,2763243.1587259355,2759631.7560981796,2796296.2982935985,2763243.1587259355,2763243.1587259355,14641.634197763182,14641.634197763182,14641.634197763182,415282.2911189157,415282.2911189157,415282.2911189157,-460.4260331773523,-460.4260331773523,-460.4260331773523,-400180.2308879751,-400180.2308879751,-400180.2308879751,0.0,0.0,0.0,2777884.7929236987
721,2022-01-12,2775102.935355652,2761513.583107553,2799225.2672469295,2775102.935355652,2775102.935355652,4968.771522591103,4968.771522591103,4968.771522591103,415282.2911189157,415282.2911189157,415282.2911189157,-743.7345449249277,-743.7345449249277,-743.7345449249277,-409569.78505139967,-409569.78505139967,-409569.78505139967,0.0,0.0,0.0,2780071.706878243
722,2022-01-13,2786962.7119853687,2764936.4726890204,2801735.0135559062,2786962.7119853687,2786962.7119853687,-3837.2469946259985,-3837.2469946259985,-3837.2469946259985,415282.2911189157,415282.2911189157,415282.2911189157,-407.1075012948155,-407.1075012948155,-407.1075012948155,-418712.4306122469,-418712.4306122469,-418712.4306122469,0.0,0.0,0.0,2783125.464990743
723,2022-01-14,2798822.4886150854,2768279.0658468353,2805098.4810896334,2798822.4886150854,2798822.4886150854,-11779.470133386,-11779.470133386,-11779.470133386,415282.2911189157,415282.2911189157,415282.2911189157,527.3125384072267,527.3125384072267,527.3125384072267,-427589.0737907089,-427589.0737907089,-427589.0737907089,0.0,0.0,0.0,2787043.0184816993
724,2022-01-15,2810682.2652448025,2771400.891759068,2809901.037031002,2810682.2652448025,2810682.2652448025,-20070.73657069014,-20070.73657069014,-20070.73657069014,415282.2911189157,415282.2911189157,415282.2911189157,831.1406370034277,831.1406370034277,831.1406370034277,-436184.1683266092,-436184.1683266092,-436184.1683266092,0.0,0.0,0.0,2790611.528674112
725,2022-01-16,2822542.041874519,2775222.641517014,2812882.8298074417,2822542.041874519,2822542.041874519,-28698.744476817705,-28698.744476817705,-28698.744476817705,415282.2911189157,415282.2911189157,415282.2911189157,504.57218372872467,504.57218372872467,504.57218372872467,-444485.60777946207,-444485.60777946207,-444485.60777946207,0.0,0.0,0.0,2793843.2973977015
726,2022-01-17,2834401.8185042357,2777796.469006073,2815364.3313299734,2834401.8185042357,2834401.8185042357,-37453.953582750175,-37453.953582750175,-37453.953582750175,415282.2911189157,415282.2911189157,415282.2911189157,-251.75727974322973,-251.75727974322973,-251.75727974322973,-452484.4874219225,-452484.4874219225,-452484.4874219225,0.0,0.0,0.0,2796947.8649214855
727,2022-01-18,2846261.5951339523,2782436.764372366,2821147.4915573085,2846261.5951339523,2846261.5951339523,-45352.87729736308,-45352.87729736308,-45352.87729736308,415282.2911189157,415282.2911189157,415282.2911189157,-460.4260331772337,-460.4260331772337,-460.4260331772337,-460174.74238310155,-460174.74238310155,-460174.74238310155,0.0,0.0,0.0,2800908.717836589
