,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,3404787.531509942,3460338.8033429054,3491868.4481783966,3404787.531509942,3404787.531509942,71368.20272449183,71368.20272449183,71368.20272449183,-188084.41371649844,-188084.41371649844,-188084.41371649844,1218.1580824801586,1218.1580824801586,1218.1580824801586,258234.4583585101,258234.4583585101,258234.4583585101,0.0,0.0,0.0,3476155.7342344336
711,2022-01-02,3411150.132957952,3469588.889032298,3502448.5990735167,3411150.132957952,3411150.132957952,74466.77221625413,74466.77221625413,74466.77221625413,-188084.41371649844,-188084.41371649844,-188084.41371649844,816.2654709040006,816.2654709040006,816.2654709040006,261734.92046184855,261734.92046184855,261734.92046184855,0.0,0.0,0.0,3485616.905174206
712,2022-01-03,3417512.734405962,3476144.372656666,3507743.714733997,3417512.734405962,3417512.734405962,75543.95473420776,75543.95473420776,75543.95473420776,-188084.41371649844,-188084.41371649844,-188084.41371649844,-830.33375656757,-830.33375656757,-830.33375656757,264458.7022072738,264458.7022072738,264458.7022072738,0.0,0.0,0.0,3493056.6891401694
713,2022-01-04,3423875.335853972,3484998.4255755595,3516785.445556762,3423875.335853972,3423875.335853972,76882.11735010264,76882.11735010264,76882.11735010264,-188084.41371649844,-188084.41371649844,-188084.41371649844,-1468.6935180978708,-1468.6935180978708,-1468.6935180978708,266435.2245846989,266435.2245846989,266435.2245846989,0.0,0.0,0.0,3500757.453204075
714,2022-01-05,3430237.9373019817,3492558.6086328593,3525224.69690572,3430237.9373019817,3430237.9373019817,78943.57540295216,78943.57540295216,78943.57540295216,-188084.41371649844,-188084.41371649844,-188084.41371649844,-672.8647315504516,-672.8647315504516,-672.8647315504516,267700.8538510011,267700.8538510011,267700.8538510011,0.0,0.0,0.0,3509181.512704934
715,2022-01-06,3436600.538749992,3500652.8730825116,3531748.9186879057,3436600.538749992,3436600.538749992,80371.96875040318,80371.96875040318,80371.96875040318,-188084.41371649844,-188084.41371649844,-188084.41371649844,158.46744075657185,158.46744075657185,158.46744075657185,268297.91502614506,268297.91502614506,268297.91502614506,0.0,0.0,0.0,3516972.507500395
716,2022-01-07,3442963.1401980007,3508026.405991127,3539229.0445530894,3442963.1401980007,3442963.1401980007,80968.22897235234,80968.22897235234,80968.22897235234,-188084.41371649844,-188084.41371649844,-188084.41371649844,779.0010120784085,779.0010120784085,779.0010120784085,268273.64167677244,268273.64167677244,268273.64167677244,0.0,0.0,0.0,3523931.369170353
717,2022-01-08,3449325.741646011,3514265.64047135,3546283.765782573,3449325.741646011,3449325.741646011,80812.83009237178,80812.83009237178,80812.83009237178,-188084.41371649844,-188084.41371649844,-188084.41371649844,1218.1580824793912,1218.1580824793912,1218.1580824793912,267679.0857263909,267679.0857263909,267679.0857263909,0.0,0.0,0.0,3530138.571738383
718,2022-01-09,3455688.3430940206,3518974.1346061467,3551451.93155981,3455688.3430940206,3455688.3430940206,79299.8628614737,79299.8628614737,79299.8628614737,-188084.41371649844,-188084.41371649844,-188084.41371649844,816.2654709030487,816.2654709030487,816.2654709030487,266568.0111070691,266568.0111070691,266568.0111070691,0.0,0.0,0.0,3534988.205955494
719,2022-01-10,3462050.94454203,3520791.5769856074,3554870.296295312,3462050.94454203,3462050.94454203,76081.04712517944,76081.04712517944,76081.04712517944,-188084.41371649844,-188084.41371649844,-188084.41371649844,-830.3337565685983,-830.3337565685983,-830.3337565685983,264995.7945982466,264995.7945982466,264995.7945982466,0.0,0.0,0.0,3538131.991667209
720,2022-01-11,3468413.5459900396,3526706.695661685,3557238.374724283,3468413.5459900396,3468413.5459900396,73465.24897478381,73465.24897478381,73465.24897478381,-188084.41371649844,-188084.41371649844,-188084.41371649844,-1468.6935180974615,-1468.6935180974615,-1468.6935180974615,263018.3562093797,263018.3562093797,263018.3562093797,0.0,0.0,0.0,3541878.7949648234
