,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
821,2022-04-22,183.87894714611676,-136.0912695582796,652.5911356131649,183.87894714611676,183.87894714611676,73.6930204937535,73.6930204937535,73.6930204937535,172.60820105059463,172.60820105059463,172.60820105059463,24.598237108202227,24.598237108202227,24.598237108202227,-123.51341766504338,-123.51341766504338,-123.51341766504338,0.0,0.0,0.0,257.57196763987025
822,2022-04-23,184.61461695879237,-165.63841837872292,592.3148889546726,184.61460871732524,184.6246481699227,30.3107936181745,30.3107936181745,30.3107936181745,172.60820105059463,172.60820105059463,172.60820105059463,-27.329288296823695,-27.329288296823695,-27.329288296823695,-114.96811913559642,-114.96811913559642,-114.96811913559642,0.0,0.0,0.0,214.92541057696687
823,2022-04-24,185.3502867714681,-195.74592323871136,585.6055317333163,185.21128027782484,185.50016699353196,29.409520952487306,29.409520952487306,29.409520952487306,172.60820105059463,172.60820105059463,172.60820105059463,-36.27892464913829,-36.27892464913829,-36.27892464913829,-106.91975544896904,-106.91975544896904,-106.91975544896904,0.0,0.0,0.0,214.7598077239554
824,2022-04-25,186.0859565841437,-112.48213402797425,662.7228291890264,185.76302640249125,186.3766097920145,79.17045319731834,79.17045319731834,79.17045319731834,172.60820105059463,172.60820105059463,172.60820105059463,5.946427367882801,5.946427367882801,5.946427367882801,-99.38417522115911,-99.38417522115911,-99.38417522115911,0.0,0.0,0.0,265.256409781462
825,2022-04-26,186.8216263968194,-126.20648851964312,670.5864407609669,186.2861568684203,187.46272739445496,92.53135152244037,92.53135152244037,92.53135152244037,172.60820105059463,172.60820105059463,172.60820105059463,12.275606131223473,12.275606131223473,12.275606131223473,-92.35245565937775,-92.35245565937775,-92.35245565937775,0.0,0.0,0.0,279.3529779192598
826,2022-04-27,187.55729620949512,-108.5918527892049,668.5420067550825,186.76417752904467,188.6063103629061,91.75940548671078,91.75940548671078,91.75940548671078,172.60820105059463,172.60820105059463,172.60820105059463,4.941779751797569,4.941779751797569,4.941779751797569,-85.79057531568142,-85.79057531568142,-85.79057531568142,0.0,0.0,0.0,279.3167016962059
827,2022-04-28,188.29296602217073,-108.77628332580765,709.1905079968219,187.05279985272222,189.87565774452068,108.81465064883172,108.81465064883172,108.81465064883172,172.60820105059463,172.60820105059463,172.60820105059463,15.846162586947282,15.846162586947282,15.846162586947282,-79.63971298871024,-79.63971298871024,-79.63971298871024,0.0,0.0,0.0,297.10761667100246
828,2022-04-29,189.02863583484645,-93.16655579447593,718.668880696613,187.38239564577043,190.96843790130868,123.38927203795485,123.38927203795485,123.38927203795485,172.60820105059463,172.60820105059463,172.60820105059463,24.598237108192247,24.598237108192247,24.598237108192247,-73.81716612083204,-73.81716612083204,-73.81716612083204,0.0,0.0,0.0,312.4179078728013
829,2022-04-30,189.76430564752215,-117.9499404280495,673.0485065184956,187.68594569838743,191.97395161619383,77.06104586922113,77.06104586922113,77.06104586922113,172.60820105059463,172.60820105059463,172.60820105059463,-27.329288296851388,-27.329288296851388,-27.329288296851388,-68.21786688452212,-68.21786688452212,-68.21786688452212,0.0,0.0,0.0,266.8253515167433
830,2022-05-01,190.4999754601978,-137.56754706597826,685.8754549394348,187.93746159515882,193.1731130428046,73.61281670291332,73.61281670291332,73.61281670291332,172.60820105059463,172.60820105059463,172.60820105059463,-36.27892464909747,-36.27892464909747,-36.27892464909747,-62.71645969858384,-62.71645969858384,-62.71645969858384,0.0,0.0,0.0,264.1127921631111
