,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
832,2022-05-03,51960.30237809412,33709.224144651096,70871.89024588365,51960.30237809412,51960.30237809412,-304.693250988149,-304.693250988149,-304.693250988149,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668305793,759.7178668305793,759.7178668305793,-1271.4257888613593,-1271.4257888613593,-1271.4257888613593,0.0,0.0,0.0,51655.60912710597
833,2022-05-04,52193.08825135757,33268.791248133115,70242.93083569025,52192.369032207425,52193.08825135757,125.25493294947191,125.25493294947191,125.25493294947191,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260718396,964.5461260718396,964.5461260718396,-1046.3058641649989,-1046.3058641649989,-1046.3058641649989,0.0,0.0,0.0,52318.34318430704
834,2022-05-05,52425.8741246211,34552.54093253018,71655.68833207074,52420.19426088166,52428.03641693286,259.60286874464936,259.60286874464936,259.60286874464936,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530842857,900.8269530842857,900.8269530842857,-848.2387553822676,-848.2387553822676,-848.2387553822676,0.0,0.0,0.0,52685.47699336575
835,2022-05-06,52658.65999788454,32469.291384642635,70907.47828131993,52643.719282582184,52666.82344652875,-719.7292260099367,-719.7292260099367,-719.7292260099367,207.01467104263114,207.01467104263114,207.01467104263114,-246.35463973644357,-246.35463973644357,-246.35463973644357,-680.3892573161241,-680.3892573161241,-680.3892573161241,0.0,0.0,0.0,51938.930771874606
836,2022-05-07,52891.44587114807,33548.98826788347,71750.95567575048,52865.61595060255,52907.44496683983,-642.3228368944978,-642.3228368944978,-642.3228368944978,207.01467104263114,207.01467104263114,207.01467104263114,-304.67907433407385,-304.67907433407385,-304.67907433407385,-544.6584336030551,-544.6584336030551,-544.6584336030551,0.0,0.0,0.0,52249.12303425357
837,2022-05-08,53124.2317444116,32155.29409996719,68279.23393412853,53086.391577360446,53153.08824893915,-1759.374755828252,-1759.374755828252,-1759.374755828252,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732992432,-1524.6959732992432,-1524.6959732992432,-441.6934535716407,-441.6934535716407,-441.6934535716407,0.0,0.0,0.0,51364.85698858334
838,2022-05-09,53357.01761767504,32245.154360331697,71432.46978753759,53310.17770574093,53399.54593426041,-713.2830902933033,-713.2830902933033,-713.2830902933033,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586139263,-549.3612586139263,-549.3612586139263,-370.9365027220082,-370.9365027220082,-370.9365027220082,0.0,0.0,0.0,52643.734527381734
839,2022-05-10,53589.80349093857,35141.92479947923,73853.76453026533,53530.94975003975,53640.92232368059,636.0225147792875,636.0225147792875,636.0225147792875,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668294974,759.7178668294974,759.7178668294974,-330.710023092841,-330.710023092841,-330.710023092841,0.0,0.0,0.0,54225.826005717856
840,2022-05-11,53822.58936420205,36177.622292129636,72249.45911960244,53751.75000477065,53883.49723714656,853.2263115408555,853.2263115408555,853.2263115408555,207.01467104263114,207.01467104263114,207.01467104263114,964.546126069071,964.546126069071,964.546126069071,-318.3344855708465,-318.3344855708465,-318.3344855708465,0.0,0.0,0.0,54675.81567574291
841,2022-05-12,54055.37523746554,35655.284022166285,73870.62002743628,53972.03619341558,54127.55213120421,777.567643547472,777.567643547472,777.567643547472,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530828138,900.8269530828138,900.8269530828138,-330.27398057797285,-330.27398057797285,-330.27398057797285,0.0,0.0,0.0,54832.94288101301
842,2022-05-13,54288.16111072903,35483.48547659918,72935.7889521808,54193.16733240113,54379.877217430854,-401.6441309223396,-401.6441309223396,-401.6441309223396,207.01467104263114,207.01467104263114,207.01467104263114,-246.3546397372112,-246.3546397372112,-246.3546397372112,-362.3041622277595,-362.3041622277595,-362.3041622277595,0.0,0.0,0.0,53886.51697980669
843,2022-05-14,54520.94698399255,34040.26170532643,73783.87282822865,54412.470751092376,54627.747597665315,-507.3609174353795,-507.3609174353795,-507.3609174353795,207.01467104263114,207.01467104263114,207.01467104263114,-304.67907433489825,-304.67907433489825,-304.67907433489825,-409.6965141431124,-409.6965141431124,-409.6965141431124,0.0,0.0,0.0,54013.586066557174
844,2022-05-15,54753.73285725604,33729.63567901302,71712.44829238529,54630.13951897362,54875.23963440691,-1785.0938392469393,-1785.0938392469393,-1785.0938392469393,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959733006963,-1524.6959733006963,-1524.6959733006963,-467.4125369888747,-467.4125369888747,-467.4125369888747,0.0,0.0,0.0,52968.6390180091
845,2022-05-16,54986.51873051952,34565.86792665362,73810.96962132854,54850.6480967465,55149.99221179416,-872.6478838084643,-872.6478838084643,-872.6478838084643,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586134963,-549.3612586134963,-549.3612586134963,-530.301296237599,-530.301296237599,-530.301296237599,0.0,0.0,0.0,54113.870846711055
846,2022-05-17,55219.30460378301,36790.322907325004,72433.40242100027,55072.2977126612,55406.68948127301,373.43872248913067,373.43872248913067,373.43872248913067,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668284157,759.7178668284157,759.7178668284157,-593.2938153819163,-593.2938153819163,-593.2938153819163,0.0,0.0,0.0,55592.743326272146
847,2022-05-18,55452.0904770465,37736.61677641359,74561.50002624487,55276.78244078325,55662.20778930164,519.9727473771746,519.9727473771746,519.9727473771746,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260715161,964.5461260715161,964.5461260715161,-651.5880497369724,-651.5880497369724,-651.5880497369724,0.0,0.0,0.0,55972.06322442368
848,2022-05-19,55684.87635031002,37177.37139500698,74897.74811920164,55490.306241377795,55918.32457531188,407.02300618118005,407.02300618118005,407.02300618118005,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530826808,900.8269530826808,900.8269530826808,-700.8186179441317,-700.8186179441317,-700.8186179441317,0.0,0.0,0.0,56091.8993564912
849,2022-05-20,55917.66222357351,35094.17714639467,73505.26500970242,55700.62403557646,56175.95164316105,-776.5460543278729,-776.5460543278729,-776.5460543278729,207.01467104263114,207.01467104263114,207.01467104263114,-246.354639737368,-246.354639737368,-246.354639737368,-737.2060856331359,-737.2060856331359,-737.2060856331359,0.0,0.0,0.0,55141.11616924564
850,2022-05-21,56150.448096837,36142.640905080356,74182.07880835551,55926.025056234655,56424.642970963825,-855.3457692549654,-855.3457692549654,-855.3457692549654,207.01467104263114,207.01467104263114,207.01467104263114,-304.6790743349336,-304.6790743349336,-304.6790743349336,-757.6813659626628,-757.6813659626628,-757.6813659626628,0.0,0.0,0.0,55295.10232758203
851,2022-05-22,56383.23397010052,34826.43585236784,72909.23372809189,56149.281789949135,56685.67802695554,-2077.663001202832,-2077.663001202832,-2077.663001202832,207.01467104263114,207.01467104263114,207.01467104263114,-1524.695973298696,-1524.695973298696,-1524.695973298696,-759.9816989467678,-759.9816989467678,-759.9816989467678,0.0,0.0,0.0,54305.570968897686
852,2022-05-23,56616.01984336397,37542.60481789101,73561.34957643948,56343.35076654078,56946.896909642666,-1085.062252416335,-1085.062252416335,-1085.062252416335,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586160242,-549.3612586160242,-549.3612586160242,-742.7156648429419,-742.7156648429419,-742.7156648429419,0.0,0.0,0.0,55530.95759094763
853,2022-05-24,56848.805716627496,39153.932855673665,76897.7266101121,56540.57857728416,57203.93015479986,261.336793348776,261.336793348776,261.336793348776,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668322509,759.7178668322509,759.7178668322509,-705.3957445261062,-705.3957445261062,-705.3957445261062,0.0,0.0,0.0,57110.14250997627
854,2022-05-25,57081.59158989102,38357.47347589506,75576.83037784477,56730.492736157146,57460.54412791671,523.1227703833271,523.1227703833271,523.1227703833271,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260708549,964.5461260708549,964.5461260708549,-648.438026730159,-648.438026730159,-648.438026730159,0.0,0.0,0.0,57604.714360274345
855,2022-05-26,57314.377463154466,38539.63619386565,77521.88671370347,56940.80254062213,57722.70860154534,534.711880076917,534.711880076917,534.711880076917,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530849591,900.8269530849591,900.8269530849591,-573.129744050673,-573.129744050673,-573.129744050673,0.0,0.0,0.0,57849.08934323138
856,2022-05-27,57547.163336417994,38812.1103281832,77213.04154510543,57149.36132998649,57988.89332852765,-520.9063312432148,-520.9063312432148,-520.9063312432148,207.01467104263114,207.01467104263114,207.01467104263114,-246.3546397378302,-246.3546397378302,-246.3546397378302,-481.5663625480156,-481.5663625480156,-481.5663625480156,0.0,0.0,0.0,57026.25700517478
857,2022-05-28,57779.94920968144,38474.48774931459,75926.5135961264,57363.59179106142,58258.2701217436,-474.2253241095556,-474.2253241095556,-474.2253241095556,207.01467104263114,207.01467104263114,207.01467104263114,-304.6790743365468,-304.6790743365468,-304.6790743365468,-376.56092081563975,-376.56092081563975,-376.56092081563975,0.0,0.0,0.0,57305.72388557189
858,2022-05-29,58012.735082944964,37945.40978837829,74852.64340627428,57577.69104996876,58519.6857436404,-1579.2104865798592,-1579.2104865798592,-1579.2104865798592,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732994912,-1524.6959732994912,-1524.6959732994912,-261.5291843229996,-261.5291843229996,-261.5291843229996,0.0,0.0,0.0,56433.5245963651
859,2022-05-30,58245.52095620849,38982.080173273935,75645.49737165996,57791.93392272211,58785.71040702649,-482.70151023764737,-482.70151023764737,-482.70151023764737,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586179166,-549.3612586179166,-549.3612586179166,-140.35492266236173,-140.35492266236173,-140.35492266236173,0.0,0.0,0.0,57762.81944597085
860,2022-05-31,58478.30682947194,39270.58785313691,78366.96484890165,58006.176795475476,59051.31264465016,949.4923279765986,949.4923279765986,949.4923279765986,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668311693,759.7178668311693,759.7178668311693,-17.240209897201776,-17.240209897201776,-17.240209897201776,0.0,0.0,0.0,59427.79915744854
861,2022-06-01,58711.09270273546,42080.551660180536,78328.36831616914,58220.419668228824,59311.22434327515,1275.0147234238686,1275.0147234238686,1275.0147234238686,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260723013,964.5461260723013,964.5461260723013,103.45392630893636,103.45392630893636,103.45392630893636,0.0,0.0,0.0,59986.10742615933
862,2022-06-02,58943.87857599895,41105.37769806939,78318.4435446665,58431.668230381394,59567.95729203171,1325.2125575489076,1325.2125575489076,1325.2125575489076,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530848261,900.8269530848261,900.8269530848261,217.37093342145064,217.37093342145064,217.37093342145064,0.0,0.0,0.0,60269.09113354785
863,2022-06-03,59176.66444926243,41501.06120879271,77996.84237303535,58639.17046881526,59848.78625761873,280.9806352473294,280.9806352473294,280.9806352473294,207.01467104263114,207.01467104263114,207.01467104263114,-246.3546397358243,-246.3546397358243,-246.3546397358243,320.3206039405225,320.3206039405225,320.3206039405225,0.0,0.0,0.0,59457.645084509764
864,2022-06-04,59409.450322525925,40445.13940854669,79596.00769766966,58840.77249097304,60115.1065064962,310.7694669169664,310.7694669169664,310.7694669169664,207.01467104263114,207.01467104263114,207.01467104263114,-304.67907433658223,-304.67907433658223,-304.67907433658223,408.4338702109174,408.4338702109174,408.4338702109174,0.0,0.0,0.0,59720.21978944289
865,2022-06-05,59642.23619578941,40394.070577939616,77886.0371101479,59055.38819175381,60406.92114392138,-839.3759958888753,-839.3759958888753,-839.3759958888753,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732992177,-1524.6959732992177,-1524.6959732992177,478.30530636771147,478.30530636771147,478.30530636771147,0.0,0.0,0.0,58802.86019990053
866,2022-06-06,59875.02206905293,42008.323009594176,78723.55314365632,59260.01442367734,60664.265308520495,184.77199730706047,184.77199730706047,184.77199730706047,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586151638,-549.3612586151638,-549.3612586151638,527.1185848795933,527.1185848795933,527.1185848795933,0.0,0.0,0.0,60059.794066359995
867,2022-06-07,60107.80794231642,43128.52547622097,80571.5163986517,59460.22481035082,60924.42258752181,1519.4832880224433,1519.4832880224433,1519.4832880224433,207.01467104263114,207.01467104263114,207.01467104263114,759.717866832546,759.717866832546,759.717866832546,552.7507501472659,552.7507501472659,552.7507501472659,0.0,0.0,0.0,61627.291230338866
868,2022-06-08,60340.59381557991,43562.44268073491,81227.87661791558,59660.43519702433,61182.5213018288,1725.4127127054303,1725.4127127054303,1725.4127127054303,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260695328,964.5461260695328,964.5461260695328,553.8519155932657,553.8519155932657,553.8519155932657,0.0,0.0,0.0,62066.00652828534
869,2022-06-09,60573.37968884339,42324.5681900961,81738.65581701914,59853.21364182172,61451.82599837817,1637.739462189164,1637.739462189164,1637.739462189164,207.01467104263114,207.01467104263114,207.01467104263114,900.826953083354,900.826953083354,900.826953083354,529.8978380631784,529.8978380631784,529.8978380631784,0.0,0.0,0.0,62211.11915103256
870,2022-06-10,60806.16556210692,42629.22617488095,81500.26071280726,60040.63885218037,61721.13069492762,441.8737776999933,441.8737776999933,441.8737776999933,207.01467104263114,207.01467104263114,207.01467104263114,-246.35463973659182,-246.35463973659182,-246.35463973659182,481.213746393954,481.213746393954,481.213746393954,0.0,0.0,0.0,61248.03933980691
871,2022-06-11,61038.95143537041,41569.27252133656,80611.19050088983,60250.897821482635,61990.310116277804,311.30436566852904,311.30436566852904,311.30436566852904,207.01467104263114,207.01467104263114,207.01467104263114,-304.67907433661776,-304.67907433661776,-304.67907433661776,408.9687689625155,408.9687689625155,408.9687689625155,0.0,0.0,0.0,61350.25580103893
872,2022-06-12,61271.73730863389,41769.29774174817,78832.64014085905,60462.65894027062,62259.45422948609,-1002.5400155675754,-1002.5400155675754,-1002.5400155675754,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732989437,-1524.6959732989437,-1524.6959732989437,315.14128668873747,315.14128668873747,315.14128668873747,0.0,0.0,0.0,60269.19729306632
873,2022-06-13,61504.52318189742,42780.84891508125,79710.7758624982,60666.5066382297,62528.598342694364,-139.89008623887764,-139.89008623887764,-139.89008623887764,207.01467104263114,207.01467104263114,207.01467104263114,-549.361258614734,-549.361258614734,-549.361258614734,202.45650133322502,202.45650133322502,202.45650133322502,0.0,0.0,0.0,61364.633095658544
874,2022-06-14,61737.30905516086,44390.596466916846,81972.4932178119,60869.918894982184,62797.74245590265,1041.03096130172,1041.03096130172,1041.03096130172,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668294226,759.7178668294226,759.7178668294226,74.29842342966627,74.29842342966627,74.29842342966627,0.0,0.0,0.0,62778.340016462585
875,2022-06-15,61970.09492842439,43544.91876395432,81580.88566754347,61072.59613391506,63066.88656911096,1106.1601173288568,1106.1601173288568,1106.1601173288568,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260709793,964.5461260709793,964.5461260709793,-65.40067978475348,-65.40067978475348,-65.40067978475348,0.0,0.0,0.0,63076.25504575325
876,2022-06-16,62202.880801687876,43283.31097570011,82981.51515096686,61272.783014832756,63336.03068231928,895.5520199303533,895.5520199303533,895.5520199303533,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530845599,900.8269530845599,900.8269530845599,-212.28960419683756,-212.28960419683756,-212.28960419683756,0.0,0.0,0.0,63098.432821618226
877,2022-06-17,62435.66667495136,43298.53230618229,80760.77408854094,61473.342929722196,63605.17479552752,-401.0818890334718,-401.0818890334718,-401.0818890334718,207.01467104263114,207.01467104263114,207.01467104263114,-246.35463973674865,-246.35463973674865,-246.35463973674865,-361.74192033935424,-361.74192033935424,-361.74192033935424,0.0,0.0,0.0,62034.58478591789
878,2022-06-18,62668.45254821489,43942.16673407646,79917.85634986499,61695.574426963045,63874.31890873584,-606.6736456620308,-606.6736456620308,-606.6736456620308,207.01467104263114,207.01467104263114,207.01467104263114,-304.6790743382308,-304.6790743382308,-304.6790743382308,-509.00924236643107,-509.00924236643107,-509.00924236643107,0.0,0.0,0.0,62061.77890255286
879,2022-06-19,62901.23842147834,42565.16529683392,78845.47989375154,61917.943728576356,64142.28698814522,-1967.0602248382575,-1967.0602248382575,-1967.0602248382575,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732980126,-1524.6959732980126,-1524.6959732980126,-649.3789225828762,-649.3789225828762,-649.3789225828762,0.0,0.0,0.0,60934.17819664008
880,2022-06-20,63134.02429474186,42677.87124528021,80994.05054883003,62110.00717325229,64410.213010381,-1120.6774982082582,-1120.6774982082582,-1120.6774982082582,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586119812,-549.3612586119812,-549.3612586119812,-778.330910638908,-778.330910638908,-778.330910638908,0.0,0.0,0.0,62013.3467965336
881,2022-06-21,63366.810168005344,44415.25469152554,82595.37590379964,62299.48708040797,64674.7202927391,75.04397827649427,75.04397827649427,75.04397827649427,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668307994,759.7178668307994,759.7178668307994,-891.6885595969363,-891.6885595969363,-891.6885595969363,0.0,0.0,0.0,63441.85414628184
882,2022-06-22,63599.59604126884,44734.43207689746,82260.74373870034,62499.274661524185,64946.59981982503,185.80242283416194,185.80242283416194,185.80242283416194,207.01467104263114,207.01467104263114,207.01467104263114,964.546126073424,964.546126073424,964.546126073424,-985.7583742818932,-985.7583742818932,-985.7583742818932,0.0,0.0,0.0,63785.398464103
883,2022-06-23,63832.38191453236,45469.76938960544,81774.47274259465,62698.169775792834,65214.469744810915,50.38755167115906,50.38755167115906,50.38755167115906,207.01467104263114,207.01467104263114,207.01467104263114,900.826953083088,900.826953083088,900.826953083088,-1057.45407245456,-1057.45407245456,-1057.45407245456,0.0,0.0,0.0,63882.769466203514
884,2022-06-24,64065.167787795806,43125.30390657038,81556.70708398585,62903.57665176643,65477.499138926025,-1143.7408231067661,-1143.7408231067661,-1143.7408231067661,207.01467104263114,207.01467104263114,207.01467104263114,-246.35463973721087,-246.35463973721087,-246.35463973721087,-1104.4008544121862,-1104.4008544121862,-1104.4008544121862,0.0,0.0,0.0,62921.42696468904
885,2022-06-25,64297.953661059335,45177.30281918251,81739.96870683761,63106.05136693662,65744.43925188498,-1222.6808363515597,-1222.6808363515597,-1222.6808363515597,207.01467104263114,207.01467104263114,207.01467104263114,-304.6790743347155,-304.6790743347155,-304.6790743347155,-1125.0164330594755,-1125.0164330594755,-1125.0164330594755,0.0,0.0,0.0,63075.272824707776
886,2022-06-26,64530.73953432282,43695.209672118304,81617.15331939026,63301.35094788383,65999.47148871163,-2436.247446119734,-2436.247446119734,-2436.247446119734,207.01467104263114,207.01467104263114,207.01467104263114,-1524.6959732994658,-1524.6959732994658,-1524.6959732994658,-1118.5661438628997,-1118.5661438628997,-1118.5661438628997,0.0,0.0,0.0,62094.492088203086
887,2022-06-27,64763.525407586305,45446.909795562846,82083.43221600752,63497.376262673715,66275.27140155711,-1427.5368937270416,-1427.5368937270416,-1427.5368937270416,207.01467104263114,207.01467104263114,207.01467104263114,-549.3612586138737,-549.3612586138737,-549.3612586138737,-1085.1903061557994,-1085.1903061557994,-1085.1903061557994,0.0,0.0,0.0,63335.988513859265
888,2022-06-28,64996.31128084983,45476.17603198917,83307.4351300444,63704.59471991843,66537.57805634174,-59.170379267892194,-59.170379267892194,-59.170379267892194,207.01467104263114,207.01467104263114,207.01467104263114,759.7178668297178,759.7178668297178,759.7178668297178,-1025.9029171402412,-1025.9029171402412,-1025.9029171402412,0.0,0.0,0.0,64937.140901581944
889,2022-06-29,65229.09715411332,47852.15177649494,85123.09802592208,63900.133605217874,66795.67175750718,228.9990994189857,228.9990994189857,228.9990994189857,207.01467104263114,207.01467104263114,207.01467104263114,964.5461260706558,964.5461260706558,964.5461260706558,-942.5616976943012,-942.5616976943012,-942.5616976943012,0.0,0.0,0.0,65458.096253532305
890,2022-06-30,65461.8830273768,47216.14800124878,85709.86483360121,64085.05180463287,67053.76545867266,270.03117957287606,270.03117957287606,270.03117957287606,207.01467104263114,207.01467104263114,207.01467104263114,900.8269530853663,900.8269530853663,900.8269530853663,-837.8104445551214,-837.8104445551214,-837.8104445551214,0.0,0.0,0.0,65731.91420694967
891,2022-07-01,65694.66890064029,45512.74654961638,83368.99106614297,64279.19650956207,67311.85915983806,-754.3355154186557,-754.3355154186557,-754.3355154186557,207.01467104263114,207.01467104263114,207.01467104263114,-246.3546397376732,-246.3546397376732,-246.3546397376732,-714.9955467236135,-714.9955467236135,-714.9955467236135,0.0,0.0,0.0,64940.33338522163
