,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
821,2022-04-22,200076.62257811782,126266.33449253703,241718.7457753838,200076.62257811782,200076.62257811782,-14429.682490379308,-14429.682490379308,-14429.682490379308,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136654854,5411.608136654854,5411.608136654854,-4496.072118650222,-4496.072118650222,-4496.072118650222,0.0,0.0,0.0,185646.9400877385
822,2022-04-23,200949.01611169367,128389.03442365934,239957.00761032422,200945.72134968443,200950.98700819476,-15929.237474893154,-15929.237474893154,-15929.237474893154,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.8837337638574,2421.8837337638574,2421.8837337638574,-3005.9027002730727,-3005.9027002730727,-3005.9027002730727,0.0,0.0,0.0,185019.7786368005
823,2022-04-24,201821.40964526936,116914.81116818581,233417.82541782755,201799.81985978674,201838.0686764451,-26118.833633231778,-26118.833633231778,-26118.833633231778,-15345.218508383938,-15345.218508383938,-15345.218508383938,-9338.581896728228,-9338.581896728228,-9338.581896728228,-1435.0332281196117,-1435.0332281196117,-1435.0332281196117,0.0,0.0,0.0,175702.57601203758
824,2022-04-25,202693.8031788451,110703.01399704615,230369.93319667695,202630.12029439467,202751.01825637108,-30449.787703929225,-30449.787703929225,-30449.787703929225,-15345.218508383938,-15345.218508383938,-15345.218508383938,-15284.253426073503,-15284.253426073503,-15284.253426073503,179.68423052821876,179.68423052821876,179.68423052821876,0.0,0.0,0.0,172244.01547491585
825,2022-04-26,203566.1967124208,133125.5543846857,244648.44530369889,203475.69263557298,203669.8338385412,-17116.446395518553,-17116.446395518553,-17116.446395518553,-15345.218508383938,-15345.218508383938,-15345.218508383938,-3573.0110881837954,-3573.0110881837954,-3573.0110881837954,1801.7832010491813,1801.7832010491813,1801.7832010491813,0.0,0.0,0.0,186449.75031690224
826,2022-04-27,204438.59024599663,142399.98681890164,256725.16400973435,204277.5664489204,204584.29465995106,-3660.0292783771647,-3660.0292783771647,-3660.0292783771647,-15345.218508383938,-15345.218508383938,-15345.218508383938,8289.218703927878,8289.218703927878,8289.218703927878,3395.9705260788955,3395.9705260788955,3395.9705260788955,0.0,0.0,0.0,200778.56096761947
827,2022-04-28,205310.98377957236,147655.18828767983,263777.63801118324,205084.67038587018,205524.76100211166,1656.7861907339043,1656.7861907339043,1656.7861907339043,-15345.218508383938,-15345.218508383938,-15345.218508383938,12073.135836635545,12073.135836635545,12073.135836635545,4928.8688624823,4928.8688624823,4928.8688624823,0.0,0.0,0.0,206967.76997030625
828,2022-04-29,206183.37731314806,146562.8658037155,258691.20380557672,205861.51919502605,206443.63526544024,-3563.9131392837826,-3563.9131392837826,-3563.9131392837826,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136649092,5411.608136649092,5411.608136649092,6369.697232451063,6369.697232451063,6369.697232451063,0.0,0.0,0.0,202619.46417386428
829,2022-04-30,207055.77084672378,140781.4074187786,259571.8155621008,206664.73251113758,207385.88519324193,-5232.460081972952,-5232.460081972952,-5232.460081972952,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.883733756609,2421.883733756609,2421.883733756609,7690.874692654377,7690.874692654377,7690.874692654377,0.0,0.0,0.0,201823.31076475084
830,2022-05-01,207928.1643802996,134970.31545492122,252927.2321290548,207442.3544958999,208331.03208576053,-15815.26608937445,-15815.26608937445,-15815.26608937445,-15345.218508383938,-15345.218508383938,-15345.218508383938,-9338.581896743712,-9338.581896743712,-9338.581896743712,8868.534315753199,8868.534315753199,8868.534315753199,0.0,0.0,0.0,192112.89829092514
831,2022-05-02,208800.55791387532,130185.75829758728,245189.93473426418,208180.12899507358,209279.99837390805,-20746.53483481641,-20746.53483481641,-20746.53483481641,-15345.218508383938,-15345.218508383938,-15345.218508383938,-15284.253426083122,-15284.253426083122,-15284.253426083122,9882.93709965065,9882.93709965065,9882.93709965065,0.0,0.0,0.0,188054.0230790589
832,2022-05-03,209672.95144745102,142455.446569819,261289.27208162055,208967.66643124467,210220.5295741957,-8199.451531398312,-8199.451531398312,-8199.451531398312,-15345.218508383938,-15345.218508383938,-15345.218508383938,-3573.0110881701435,-3573.0110881701435,-3573.0110881701435,10718.778065155771,10718.778065155771,10718.778065155771,0.0,0.0,0.0,201473.4999160527
833,2022-05-04,210545.34498102686,160184.3060750124,275033.1762798656,209765.2752127815,211190.09165807848,4309.379799093733,4309.379799093733,4309.379799093733,-15345.218508383938,-15345.218508383938,-15345.218508383938,8289.218703937184,8289.218703937184,8289.218703937184,11365.37960354049,11365.37960354049,11365.37960354049,0.0,0.0,0.0,214854.7247801206
834,2022-05-05,211417.7385146026,162810.37445738702,278358.3961200168,210563.0290210833,212127.9919026168,8544.687344677168,8544.687344677168,8544.687344677168,-15345.218508383938,-15345.218508383938,-15345.218508383938,12073.135836633272,12073.135836633272,12073.135836633272,11816.770016427841,11816.770016427841,11816.770016427841,0.0,0.0,0.0,219962.42585927976
835,2022-05-06,212290.1320481783,159073.3356194624,273487.49914633884,211360.30316689226,213102.90517367638,2138.037706405936,2138.037706405936,2138.037706405936,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136643328,5411.608136643328,5411.608136643328,12071.648078146545,12071.648078146545,12071.648078146545,0.0,0.0,0.0,214428.16975458423
836,2022-05-07,213162.52558175402,152568.79344977072,269421.2876862251,212157.89109660857,214049.5194594826,-790.0975051476019,-790.0975051476019,-790.0975051476019,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.8837337803584,2421.8837337803584,2421.8837337803584,12133.23726945598,12133.23726945598,12133.23726945598,0.0,0.0,0.0,212372.42807660642
837,2022-05-08,214034.91911532983,144459.80710140322,260820.34360453882,212918.93145637496,214986.1376615328,-12674.764394169226,-12674.764394169226,-12674.764394169226,-15345.218508383938,-15345.218508383938,-15345.218508383938,-9338.581896750156,-9338.581896750156,-9338.581896750156,12009.036010964868,12009.036010964868,12009.036010964868,0.0,0.0,0.0,201360.1547211606
838,2022-05-09,214907.31264890556,141562.4974170898,256013.10865133774,213669.3933882332,215940.32328993684,-18918.999238164033,-18918.999238164033,-18918.999238164033,-15345.218508383938,-15345.218508383938,-15345.218508383938,-15284.253426083536,-15284.253426083536,-15284.253426083536,11710.47269630344,11710.47269630344,11710.47269630344,0.0,0.0,0.0,195988.3134107415
839,2022-05-10,215779.70618248128,147528.77564643926,266636.8080405653,214456.09436539467,216904.03163132706,-7665.753067235733,-7665.753067235733,-7665.753067235733,-15345.218508383938,-15345.218508383938,-15345.218508383938,-3573.011088163972,-3573.011088163972,-3573.011088163972,11252.476529312176,11252.476529312176,11252.476529312176,0.0,0.0,0.0,208113.95311524556
840,2022-05-11,216652.09971605698,163576.01950896715,277197.0927890821,215233.96905121882,217886.67360166804,3596.977247685816,3596.977247685816,3596.977247685816,-15345.218508383938,-15345.218508383938,-15345.218508383938,8289.21870393787,8289.21870393787,8289.21870393787,10652.977052131886,10652.977052131886,10652.977052131886,0.0,0.0,0.0,220249.0769637428
841,2022-05-12,217524.49324963283,163094.24292419528,280283.6690972474,215968.0737921295,218887.70849751588,6660.264097019111,6660.264097019111,6660.264097019111,-15345.218508383938,-15345.218508383938,-15345.218508383938,12073.135836630418,12073.135836630418,12073.135836630418,9932.346768772637,9932.346768772637,9932.346768772637,0.0,0.0,0.0,224184.75734665192
842,2022-05-13,218396.88678320852,160462.39841992274,276077.4073503557,216690.860405702,219914.01309655135,-820.8079845065912,-820.8079845065912,-820.8079845065912,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136645145,5411.608136645145,5411.608136645145,9112.802387232203,9112.802387232203,9112.802387232203,0.0,0.0,0.0,217576.07879870193
843,2022-05-14,219269.28031678425,157180.80835788834,273356.3909121775,217426.8368318515,220882.49696550667,-4705.553874657766,-4705.553874657766,-4705.553874657766,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.8837337731097,2421.8837337731097,2421.8837337731097,8217.780899953063,8217.780899953063,8217.780899953063,0.0,0.0,0.0,214563.7264421265
844,2022-05-15,220141.67385036006,148570.09922610753,263406.061865744,218167.39872673765,221846.3604682379,-17412.493419384264,-17412.493419384264,-17412.493419384264,-15345.218508383938,-15345.218508383938,-15345.218508383938,-9338.581896765641,-9338.581896765641,-9338.581896765641,7271.3069857653145,7271.3069857653145,7271.3069857653145,0.0,0.0,0.0,202729.1804309758
845,2022-05-16,221014.0673839358,132740.5054994012,258039.93645933116,218916.2452710469,222810.9368182866,-24332.103887560694,-24332.103887560694,-24332.103887560694,-15345.218508383938,-15345.218508383938,-15345.218508383938,-15284.253426083953,-15284.253426083953,-15284.253426083953,6297.368046907195,6297.368046907195,6297.368046907195,0.0,0.0,0.0,196681.9634963751
846,2022-05-17,221886.46091751152,154397.29624821155,268099.04897087277,219666.24272249927,223774.69694073245,-13598.916992749215,-13598.916992749215,-13598.916992749215,-15345.218508383938,-15345.218508383938,-15345.218508383938,-3573.0110881577984,-3573.0110881577984,-3573.0110881577984,5319.312603792522,5319.312603792522,5319.312603792522,0.0,0.0,0.0,208287.5439247623
847,2022-05-18,222758.85445108722,161632.91204680022,277183.381590665,220415.93547873723,224738.45706317827,-2696.7130236465578,-2696.7130236465578,-2696.7130236465578,-15345.218508383938,-15345.218508383938,-15345.218508383938,8289.218703914255,8289.218703914255,8289.218703914255,4359.286780823125,4359.286780823125,4359.286780823125,0.0,0.0,0.0,220062.14142744066
848,2022-05-19,223631.24798466306,161443.3317842316,279965.14989634766,221165.78058258235,225709.20104352199,165.63959003179593,165.63959003179593,165.63959003179593,-15345.218508383938,-15345.218508383938,-15345.218508383938,12073.135836627853,12073.135836627853,12073.135836627853,3437.722261787883,3437.722261787883,3437.722261787883,0.0,0.0,0.0,223796.88757469485
849,2022-05-20,224503.64151823876,159578.39487436108,280575.2126142142,221915.62568642758,226781.9077517955,-7360.722956346433,-7360.722956346433,-7360.722956346433,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136639384,5411.608136639384,5411.608136639384,2572.8874153981214,2572.8874153981214,2572.8874153981214,0.0,0.0,0.0,217142.91856189232
850,2022-05-21,225376.03505181448,155556.23011837265,274275.13283330697,222642.19203274697,227726.2562087056,-11142.823433618049,-11142.823433618049,-11142.823433618049,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.883733772979,2421.883733772979,2421.883733772979,1780.5113409929124,1780.5113409929124,1780.5113409929124,0.0,0.0,0.0,214233.21161819642
851,2022-05-22,226248.42858539018,144796.22741955292,261178.19863703198,223358.99718752565,228793.1068254274,-23610.311987325633,-23610.311987325633,-23610.311987325633,-15345.218508383938,-15345.218508383938,-15345.218508383938,-9338.58189676305,-9338.58189676305,-9338.58189676305,1073.488417821356,1073.488417821356,1073.488417821356,0.0,0.0,0.0,202638.11659806455
852,2022-05-23,227120.82211896603,140688.68002428816,258512.72992453093,224055.1776081212,229887.43925843504,-30167.803313651846,-30167.803313651846,-30167.803313651846,-15345.218508383938,-15345.218508383938,-15345.218508383938,-15284.253426084402,-15284.253426084402,-15284.253426084402,461.66862081649543,461.66862081649543,461.66862081649543,0.0,0.0,0.0,196953.01880531418
853,2022-05-24,227993.21565254175,145853.72975093126,267408.10056621174,224797.61626298528,230889.7939823989,-18966.4931404532,-18966.4931404532,-18966.4931404532,-15345.218508383938,-15345.218508383938,-15345.218508383938,-3573.0110881366686,-3573.0110881366686,-3573.0110881366686,-48.26354393259226,-48.26354393259226,-48.26354393259226,0.0,0.0,0.0,209026.72251208854
854,2022-05-25,228865.60918611745,162290.63852073078,284669.815295188,225516.95768701614,231889.5770661361,-7508.820867573101,-7508.820867573101,-7508.820867573101,-15345.218508383938,-15345.218508383938,-15345.218508383938,8289.21870391925,8289.21870391925,8289.21870391925,-452.821063108413,-452.821063108413,-452.821063108413,0.0,0.0,0.0,221356.78831854434
855,2022-05-26,229738.0027196933,170686.04787916093,287736.3326686591,226236.29911104697,232889.36014987336,-4023.7420397119154,-4023.7420397119154,-4023.7420397119154,-15345.218508383938,-15345.218508383938,-15345.218508383938,12073.135836639774,12073.135836639774,12073.135836639774,-751.6593679677518,-751.6593679677518,-751.6593679677518,0.0,0.0,0.0,225714.26067998138
856,2022-05-27,230610.396253269,157975.8312935886,278488.5421900011,226975.26243211215,233889.14052219284,-10881.048836547585,-10881.048836547585,-10881.048836547585,-15345.218508383938,-15345.218508383938,-15345.218508383938,5411.608136637412,5411.608136637412,5411.608136637412,-947.4384648010574,-947.4384648010574,-947.4384648010574,0.0,0.0,0.0,219729.3474167214
857,2022-05-28,231482.78978684472,158280.47581938916,277918.37051323237,227747.28423460588,234888.5029994337,-13968.943385524746,-13968.943385524746,-13968.943385524746,-15345.218508383938,-15345.218508383938,-15345.218508383938,2421.8837337586115,2421.8837337586115,2421.8837337586115,-1045.6086108994193,-1045.6086108994193,-1045.6086108994193,0.0,0.0,0.0,217513.84640131998
