,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
814,2022-04-15,20839.22955023145,13113.709374548467,24964.79349721138,20839.22955023145,20839.22955023145,-1800.1090193960365,-1800.1090193960365,-1800.1090193960365,-822.3489062163361,-822.3489062163361,-822.3489062163361,252.72747108811095,252.72747108811095,252.72747108811095,-1230.4875842678114,-1230.4875842678114,-1230.4875842678114,0.0,0.0,0.0,19039.12053083541
815,2022-04-16,20916.156436764217,12732.364696575822,24816.742890325822,20915.735151092464,20916.220774333724,-2105.0983775286636,-2105.0983775286636,-2105.0983775286636,-822.3489062163361,-822.3489062163361,-822.3489062163361,-196.18669142808548,-196.18669142808548,-196.18669142808548,-1086.5627798842422,-1086.5627798842422,-1086.5627798842422,0.0,0.0,0.0,18811.058059235555
816,2022-04-17,20993.083323297,11535.569850899492,23456.09099482419,20988.314574896616,20995.46843090582,-3330.3436264025427,-3330.3436264025427,-3330.3436264025427,-822.3489062163361,-822.3489062163361,-822.3489062163361,-1587.4860805064418,-1587.4860805064418,-1587.4860805064418,-920.5086396797655,-920.5086396797655,-920.5086396797655,0.0,0.0,0.0,17662.739696894456
817,2022-04-18,21070.01020982978,13360.657502122389,25631.16275187444,21061.43393643625,21076.277266652243,-1742.190728490404,-1742.190728490404,-1742.190728490404,-822.3489062163361,-822.3489062163361,-822.3489062163361,-182.49202414753597,-182.49202414753597,-182.49202414753597,-737.3497981265318,-737.3497981265318,-737.3497981265318,0.0,0.0,0.0,19327.819481339375
818,2022-04-19,21146.93709636256,15024.62929338484,27182.47048822062,21133.749779451675,21156.821652041886,-241.5139294204471,-241.5139294204471,-241.5139294204471,-822.3489062163361,-822.3489062163361,-822.3489062163361,1123.2465616689913,1123.2465616689913,1123.2465616689913,-542.4115848731024,-542.4115848731024,-542.4115848731024,0.0,0.0,0.0,20905.423166942113
819,2022-04-20,21223.863982895327,14207.146279717983,26201.752091456747,21206.57145726164,21238.44725978666,-791.2724577840304,-791.2724577840304,-791.2724577840304,-822.3489062163361,-822.3489062163361,-822.3489062163361,372.2469086436353,372.2469086436353,372.2469086436353,-341.1704602113296,-341.1704602113296,-341.1704602113296,0.0,0.0,0.0,20432.591525111297
820,2022-04-21,21300.79086942812,14641.574875277156,26189.423523305013,21277.913375072327,21318.714091486967,-743.5081951175864,-743.5081951175864,-743.5081951175864,-822.3489062163361,-822.3489062163361,-822.3489062163361,217.94385468408908,217.94385468408908,217.94385468408908,-139.10314358533944,-139.10314358533944,-139.10314358533944,0.0,0.0,0.0,20557.282674310536
821,2022-04-22,21377.7177559609,14783.036081572187,26981.959760034,21347.12616427439,21400.53708447096,-511.1601335784784,-511.1601335784784,-511.1601335784784,-822.3489062163361,-822.3489062163361,-822.3489062163361,252.72747108779407,252.72747108779407,252.72747108779407,58.46130155006358,58.46130155006358,58.46130155006358,0.0,0.0,0.0,20866.55762238242
822,2022-04-23,21454.64464249368,14400.193661207237,26868.433685891843,21416.148411590668,21484.96025916861,-772.0532904396081,-772.0532904396081,-772.0532904396081,-822.3489062163361,-822.3489062163361,-822.3489062163361,-196.186691428806,-196.186691428806,-196.186691428806,246.4823072055341,246.4823072055341,246.4823072055341,0.0,0.0,0.0,20682.59135205407
823,2022-04-24,21531.571529026463,13301.280579577222,25752.876729189753,21485.371228306194,21571.2412948278,-1989.4972809229746,-1989.4972809229746,-1989.4972809229746,-822.3489062163361,-822.3489062163361,-822.3489062163361,-1587.4860805051123,-1587.4860805051123,-1587.4860805051123,420.3377057984738,420.3377057984738,420.3377057984738,0.0,0.0,0.0,19542.07424810349
824,2022-04-25,21608.498415559232,15103.379091278899,27257.678406536423,21554.85349565384,21652.87232311289,-428.90172067724774,-428.90172067724774,-428.90172067724774,-822.3489062163361,-822.3489062163361,-822.3489062163361,-182.49202414499908,-182.49202414499908,-182.49202414499908,575.9392096840875,575.9392096840875,575.9392096840875,0.0,0.0,0.0,21179.596694881984
825,2022-04-26,21685.42530209201,17165.54764097354,28888.224008835918,21623.54717372308,21739.251185477788,1010.7280937176074,1010.7280937176074,1010.7280937176074,-822.3489062163361,-822.3489062163361,-822.3489062163361,1123.246561668316,1123.246561668316,1123.246561668316,709.8304382656271,709.8304382656271,709.8304382656271,0.0,0.0,0.0,22696.15339580962
826,2022-04-27,21762.35218862479,15783.513553003162,28234.289523636664,21692.28168453075,21821.439739905738,369.1630132435276,369.1630132435276,369.1630132435276,-822.3489062163361,-822.3489062163361,-822.3489062163361,372.2469086425857,372.2469086425857,372.2469086425857,819.2650108172779,819.2650108172779,819.2650108172779,0.0,0.0,0.0,22131.51520186832
827,2022-04-28,21839.27907515756,16015.434002382803,28605.901735772146,21761.906057910375,21903.635743642306,297.857781329556,297.857781329556,297.857781329556,-822.3489062163361,-822.3489062163361,-822.3489062163361,217.94385468367406,217.94385468367406,217.94385468367406,902.2628328622178,902.2628328622178,902.2628328622178,0.0,0.0,0.0,22137.136856487115
828,2022-04-29,21916.205961690343,16057.966706515886,28017.449520832197,21827.273920174444,21986.41805594354,388.0219248387758,388.0219248387758,388.0219248387758,-822.3489062163361,-822.3489062163361,-822.3489062163361,252.72747108794707,252.72747108794707,252.72747108794707,957.6433599671649,957.6433599671649,957.6433599671649,0.0,0.0,0.0,22304.22788652912
829,2022-04-30,21993.132848223122,15783.935514235493,28257.05268171565,21892.549198431538,22070.262681982065,-33.50029231972374,-33.50029231972374,-33.50029231972374,-822.3489062163361,-822.3489062163361,-822.3489062163361,-196.1866914300398,-196.1866914300398,-196.1866914300398,985.0353053266523,985.0353053266523,985.0353053266523,0.0,0.0,0.0,21959.632555903398
