,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
833,2022-05-04,16331.373906394012,4628.704953422692,20585.10136280139,16331.373906394012,16331.373906394012,-3626.5195004376073,-3626.5195004376073,-3626.5195004376073,-802.3570044998625,-802.3570044998625,-802.3570044998625,224.3668252736691,224.3668252736691,224.3668252736691,-3048.5293212114143,-3048.5293212114143,-3048.5293212114143,0.0,0.0,0.0,12704.854405956405
834,2022-05-05,16357.160978113548,4707.606601576336,21216.9980228807,16356.991971804919,16357.24309890797,-3154.0822539811993,-3154.0822539811993,-3154.0822539811993,-802.3570044998625,-802.3570044998625,-802.3570044998625,463.0294506583971,463.0294506583971,463.0294506583971,-2814.754700139735,-2814.754700139735,-2814.754700139735,0.0,0.0,0.0,13203.078724132349
835,2022-05-06,16382.948049833081,5155.087673192279,21589.727491968537,16382.278839921551,16383.4052262171,-2906.4604534196164,-2906.4604534196164,-2906.4604534196164,-802.3570044998625,-802.3570044998625,-802.3570044998625,464.92396079990004,464.92396079990004,464.92396079990004,-2569.0274097196548,-2569.0274097196548,-2569.0274097196548,0.0,0.0,0.0,13476.487596413464
836,2022-05-07,16408.73512155262,5933.713978484955,21215.626084167467,16407.577117297522,16410.225919412213,-2935.378240899807,-2935.378240899807,-2935.378240899807,-802.3570044998625,-802.3570044998625,-802.3570044998625,181.0173425973276,181.0173425973276,181.0173425973276,-2314.038578997273,-2314.038578997273,-2314.038578997273,0.0,0.0,0.0,13473.356880652815
837,2022-05-08,16434.52219327216,5168.163481177064,21554.98273313554,16432.362786070462,16436.838218879737,-3227.55120266733,-3227.55120266733,-3227.55120266733,-802.3570044998625,-802.3570044998625,-802.3570044998625,-372.60730451590587,-372.60730451590587,-372.60730451590587,-2052.586893651562,-2052.586893651562,-2052.586893651562,0.0,0.0,0.0,13206.970990604832
838,2022-05-09,16460.309264991698,5408.482726419928,21199.49012026365,16457.31243869744,16464.003106726603,-3297.0238319871564,-3297.0238319871564,-3297.0238319871564,-802.3570044998625,-802.3570044998625,-802.3570044998625,-707.1327905983236,-707.1327905983236,-707.1327905983236,-1787.5340368889715,-1787.5340368889715,-1787.5340368889715,0.0,0.0,0.0,13163.285433004541
839,2022-05-10,16486.09633671123,5348.949034110699,21410.061670304258,16481.90924993292,16491.708814829763,-2577.7136728414844,-2577.7136728414844,-2577.7136728414844,-802.3570044998625,-802.3570044998625,-802.3570044998625,-253.59748421511705,-253.59748421511705,-253.59748421511705,-1521.759184126505,-1521.759184126505,-1521.759184126505,0.0,0.0,0.0,13908.382663869746
840,2022-05-11,16511.88340843077,7035.823785686023,22722.936205269896,16506.741892787693,16518.42858296017,-1836.103663242831,-1836.103663242831,-1836.103663242831,-802.3570044998625,-802.3570044998625,-802.3570044998625,224.36682527411182,224.36682527411182,224.36682527411182,-1258.1134840170805,-1258.1134840170805,-1258.1134840170805,0.0,0.0,0.0,14675.77974518794
841,2022-05-12,16537.67048015031,6342.305248950459,22990.97292415993,16531.24597662114,16546.27793702814,-1338.7030019081733,-1338.7030019081733,-1338.7030019081733,-802.3570044998625,-802.3570044998625,-802.3570044998625,463.02945065860416,463.02945065860416,463.02945065860416,-999.3754480669149,-999.3754480669149,-999.3754480669149,0.0,0.0,0.0,15198.967478242137
842,2022-05-13,16563.457551869848,7881.717319044237,23393.638397215607,16555.3578978665,16574.794666350255,-1085.6411834133717,-1085.6411834133717,-1085.6411834133717,-802.3570044998625,-802.3570044998625,-802.3570044998625,464.9239608000888,464.9239608000888,464.9239608000888,-748.2081397135979,-748.2081397135979,-748.2081397135979,0.0,0.0,0.0,15477.816368456475
