,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
814,2022-04-15,17679.51562175162,2150.2636873971464,26646.233397590837,17679.51562175162,17679.51562175162,-3736.2137294431086,-3736.2137294431086,-3736.2137294431086,-6766.622739991012,-6766.622739991012,-6766.622739991012,1109.8084966038787,1109.8084966038787,1109.8084966038787,1920.6005139440242,1920.6005139440242,1920.6005139440242,0.0,0.0,0.0,13943.301892308511
815,2022-04-16,17687.252179275467,864.6568798299932,25241.25577301599,17687.252179275467,17687.397802463925,-4245.831688562243,-4245.831688562243,-4245.831688562243,-6766.622739991012,-6766.622739991012,-6766.622739991012,718.7617915301133,718.7617915301133,718.7617915301133,1802.029259898655,1802.029259898655,1802.029259898655,0.0,0.0,0.0,13441.420490713224
816,2022-04-17,17694.988736799314,-688.4759788857119,24881.863444991075,17693.88758368258,17697.737785579156,-5971.102892563753,-5971.102892563753,-5971.102892563753,-6766.622739991012,-6766.622739991012,-6766.622739991012,-884.5066263653754,-884.5066263653754,-884.5066263653754,1680.026473792635,1680.026473792635,1680.026473792635,0.0,0.0,0.0,11723.885844235561
817,2022-04-18,17702.72529432316,-2387.5133245436896,22112.65552079733,17699.486533066818,17708.430143925212,-8219.25952052352,-8219.25952052352,-8219.25952052352,-6766.622739991012,-6766.622739991012,-6766.622739991012,-3005.7867329536853,-3005.7867329536853,-3005.7867329536853,1553.149952421178,1553.149952421178,1553.149952421178,0.0,0.0,0.0,9483.465773799642
818,2022-04-19,17710.46185184701,-930.6145922326114,23049.376215415385,17703.381441026002,17720.652524689907,-6288.28782670793,-6288.28782670793,-6288.28782670793,-6766.622739991012,-6766.622739991012,-6766.622739991012,-941.7875131677008,-941.7875131677008,-941.7875131677008,1420.1224264507828,1420.1224264507828,1420.1224264507828,0.0,0.0,0.0,11422.174025139078
819,2022-04-20,17718.198409370856,1416.750200512834,25550.08384679549,17706.027658163697,17731.87744771646,-4107.403394226422,-4107.403394226422,-4107.403394226422,-6766.622739991012,-6766.622739991012,-6766.622739991012,1379.3524943249201,1379.3524943249201,1379.3524943249201,1279.8668514396702,1279.8668514396702,1279.8668514396702,0.0,0.0,0.0,13610.795015144435
820,2022-04-21,17725.934966894707,1904.8367989469812,26178.260181955102,17709.894241634298,17744.06694967417,-4010.930410375587,-4010.930410375587,-4010.930410375587,-6766.622739991012,-6766.622739991012,-6766.622739991012,1624.158090032243,1624.158090032243,1624.158090032243,1131.5342395831822,1131.5342395831822,1131.5342395831822,0.0,0.0,0.0,13715.00455651912
821,2022-04-22,17733.67152441855,356.0274121423778,25612.389734655488,17713.7722480523,17757.002891592765,-4682.290660120206,-4682.290660120206,-4682.290660120206,-6766.622739991012,-6766.622739991012,-6766.622739991012,1109.8084966058263,1109.8084966058263,1109.8084966058263,974.52358326498,974.52358326498,974.52358326498,0.0,0.0,0.0,13051.380864298346
822,2022-04-23,17741.4080819424,310.67091632844813,24610.10771105075,17717.638995101428,17770.78209462753,-5239.367282077121,-5239.367282077121,-5239.367282077121,-6766.622739991012,-6766.622739991012,-6766.622739991012,718.7617915302758,718.7617915302758,718.7617915302758,808.4936663836154,808.4936663836154,808.4936663836154,0.0,0.0,0.0,12502.04079986528
823,2022-04-24,17749.14463946625,-2299.8552595427814,23323.10797186575,17719.999692377198,17784.434559552374,-7017.762566434647,-7017.762566434647,-7017.762566434647,-6766.622739991012,-6766.622739991012,-6766.622739991012,-884.506626366645,-884.506626366645,-884.506626366645,633.3667999230099,633.3667999230099,633.3667999230099,0.0,0.0,0.0,10731.382073031602
824,2022-04-25,17756.881196990096,-4459.060968803999,22057.756651862022,17721.429655438675,17798.59145841147,-9323.084725291175,-9323.084725291175,-9323.084725291175,-6766.622739991012,-6766.622739991012,-6766.622739991012,-3005.786732953875,-3005.786732953875,-3005.786732953875,449.3247476537119,449.3247476537119,449.3247476537119,0.0,0.0,0.0,8433.79647169892
825,2022-04-26,17764.617754513944,-2029.812145401171,22552.48253946163,17722.10193752873,17814.438207181323,-7451.612933214126,-7451.612933214126,-7451.612933214126,-6766.622739991012,-6766.622739991012,-6766.622739991012,-941.7875131778965,-941.7875131778965,-941.7875131778965,256.797319954782,256.797319954782,256.797319954782,0.0,0.0,0.0,10313.004821299817
826,2022-04-27,17772.35431203779,897.187089910638,24263.432018657095,17724.09652474979,17834.683277982855,-5330.825942423301,-5330.825942423301,-5330.825942423301,-6766.622739991012,-6766.622739991012,-6766.622739991012,1379.3524943262407,1379.3524943262407,1379.3524943262407,56.444303241470294,56.444303241470294,56.444303241470294,0.0,0.0,0.0,12441.52836961449
827,2022-04-28,17780.09086956164,-107.93198457419183,24652.625931177725,17724.004446001192,17848.406310775918,-5293.3330953476325,-5293.3330953476325,-5293.3330953476325,-6766.622739991012,-6766.622739991012,-6766.622739991012,1624.158090032734,1624.158090032734,1624.158090032734,-150.86844538935398,-150.86844538935398,-150.86844538935398,0.0,0.0,0.0,12486.75777421401
828,2022-04-29,17787.827427085485,-1082.2681773544336,24909.25483300831,17724.947302292505,17866.883791966782,-6020.912020760069,-6020.912020760069,-6020.912020760069,-6766.622739991012,-6766.622739991012,-6766.622739991012,1109.808496604734,1109.808496604734,1109.808496604734,-364.0977773737908,-364.0977773737908,-364.0977773737908,0.0,0.0,0.0,11766.915406325417
829,2022-04-30,17795.563984609333,-486.83795048018084,23589.507911396842,17726.268750748666,17883.769487133315,-6629.916795588181,-6629.916795588181,-6629.916795588181,-6766.622739991012,-6766.622739991012,-6766.622739991012,718.7617915294164,718.7617915294164,718.7617915294164,-582.0558471265854,-582.0558471265854,-582.0558471265854,0.0,0.0,0.0,11165.64718902115
830,2022-05-01,17803.300542133184,-3954.250949482042,20942.39336598797,17727.133333368038,17897.179135876057,-8454.574766795587,-8454.574766795587,-8454.574766795587,-6766.622739991012,-6766.622739991012,-6766.622739991012,-884.5066263689572,-884.5066263689572,-884.5066263689572,-803.4454004356182,-803.4454004356182,-803.4454004356182,0.0,0.0,0.0,9348.725775337596
831,2022-05-02,17811.03709965703,-5511.611712928586,19964.032938510096,17728.39977518777,17912.674324769392,-10799.306081279923,-10799.306081279923,-10799.306081279923,-6766.622739991012,-6766.622739991012,-6766.622739991012,-3005.786732953289,-3005.786732953289,-3005.786732953289,-1026.8966083356215,-1026.8966083356215,-1026.8966083356215,0.0,0.0,0.0,7011.731018377108
