,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
832,2022-05-03,2910.924283313305,-4390.014590000207,6780.133840380514,2910.924283313305,2910.924283313305,-1607.6501262941558,-1607.6501262941558,-1607.6501262941558,1995.3050181394108,1995.3050181394108,1995.3050181394108,-729.8548065720795,-729.8548065720795,-729.8548065720795,-2873.100337861487,-2873.100337861487,-2873.100337861487,0.0,0.0,0.0,1303.274157019149
833,2022-05-04,2904.406567151592,-2570.3889562492845,8348.136272243335,2904.136935491244,2904.5033587882676,-128.17551841318848,-128.17551841318848,-128.17551841318848,1995.3050181394108,1995.3050181394108,1995.3050181394108,744.57919975679,744.57919975679,744.57919975679,-2868.0597363093884,-2868.0597363093884,-2868.0597363093884,0.0,0.0,0.0,2776.2310487384034
834,2022-05-05,2897.888850989879,-2552.64467292613,7833.913523363517,2896.9683005447305,2898.271380910511,11.788135420582254,11.788135420582254,11.788135420582254,1995.3050181394108,1995.3050181394108,1995.3050181394108,885.6577544492056,885.6577544492056,885.6577544492056,-2869.1746371680338,-2869.1746371680338,-2869.1746371680338,0.0,0.0,0.0,2909.6769864104613
835,2022-05-06,2891.3711348281668,-2954.981118500289,8122.696229909972,2889.769795544508,2892.514734900312,-211.57963997052158,-211.57963997052158,-211.57963997052158,1995.3050181394108,1995.3050181394108,1995.3050181394108,668.9762117651384,668.9762117651384,668.9762117651384,-2875.8608698750713,-2875.8608698750713,-2875.8608698750713,0.0,0.0,0.0,2679.7914948576454
836,2022-05-07,2884.8534186664524,-3172.6651065964597,8009.735742837855,2882.2363470311784,2887.1572458917285,-430.67911842592235,-430.67911842592235,-430.67911842592235,1995.3050181394108,1995.3050181394108,1995.3050181394108,461.3726186185153,461.3726186185153,461.3726186185153,-2887.356755183849,-2887.356755183849,-2887.356755183849,0.0,0.0,0.0,2454.17430024053
837,2022-05-08,2878.3357025047394,-4185.548182615052,7212.538857526514,2874.843453180871,2881.6098837949885,-1299.893104174322,-1299.893104174322,-1299.893104174322,1995.3050181394108,1995.3050181394108,1995.3050181394108,-392.45663148128955,-392.45663148128955,-392.45663148128955,-2902.741490832444,-2902.741490832444,-2902.741490832444,0.0,0.0,0.0,1578.4425983304175
838,2022-05-09,2871.8179863430273,-5003.888095177584,5776.894118276916,2866.8506044856917,2875.849361275589,-2563.927162921005,-2563.927162921005,-2563.927162921005,1995.3050181394108,1995.3050181394108,1995.3050181394108,-1638.2743465399747,-1638.2743465399747,-1638.2743465399747,-2920.9578345204422,-2920.9578345204422,-2920.9578345204422,0.0,0.0,0.0,307.8908234220221
839,2022-05-10,2865.3002701813143,-4318.954927784003,6965.95711830126,2858.9773760336457,2870.8880754770416,-1675.3881081995412,-1675.3881081995412,-1675.3881081995412,1995.3050181394108,1995.3050181394108,1995.3050181394108,-729.8548065704889,-729.8548065704889,-729.8548065704889,-2940.8383197684634,-2940.8383197684634,-2940.8383197684634,0.0,0.0,0.0,1189.9121619817731
840,2022-05-11,2858.7825540196013,-2659.3466359302233,8279.021437274207,2851.1565696555654,2865.263772823997,-221.24991072034751,-221.24991072034751,-221.24991072034751,1995.3050181394108,1995.3050181394108,1995.3050181394108,744.5791997581778,744.5791997581778,744.5791997581778,-2961.1341286179363,-2961.1341286179363,-2961.1341286179363,0.0,0.0,0.0,2637.532643299254
841,2022-05-12,2852.264837857888,-2641.918642441426,8148.702088333935,2843.0645732151315,2860.8189234293645,-99.58289017518076,-99.58289017518076,-99.58289017518076,1995.3050181394108,1995.3050181394108,1995.3050181394108,885.6577544493272,885.6577544493272,885.6577544493272,-2980.545662763919,-2980.545662763919,-2980.545662763919,0.0,0.0,0.0,2752.6819476827072
