,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,113497.85673527536,111546.39408172251,112358.28503425661,113497.85673527536,113497.85673527536,-1553.4923278855777,-1553.4923278855777,-1553.4923278855777,-101.07190195666286,-101.07190195666286,-101.07190195666286,83.86018963127859,83.86018963127859,83.86018963127859,-1536.2806155601936,-1536.2806155601936,-1536.2806155601936,0.0,0.0,0.0,111944.36440738979
711,2022-01-02,113654.67477524062,111663.40997213991,112517.87141603304,113654.67477524062,113654.67477524062,-1568.3774589379354,-1568.3774589379354,-1568.3774589379354,-101.07190195666288,-101.07190195666288,-101.07190195666288,-4.661277029882212,-4.661277029882212,-4.661277029882212,-1462.6442799513904,-1462.6442799513904,-1462.6442799513904,0.0,0.0,0.0,112086.29731630269
712,2022-01-03,113811.4928152059,111806.35927506635,112619.35526260293,113811.4928152059,113811.4928152059,-1608.9488775649877,-1608.9488775649877,-1608.9488775649877,-101.07190195666288,-101.07190195666288,-101.07190195666288,-116.82502425656057,-116.82502425656057,-116.82502425656057,-1391.0519513517647,-1391.0519513517647,-1391.0519513517647,0.0,0.0,0.0,112202.54393764092
713,2022-01-04,113968.31085517115,112057.25753991584,112877.26662976226,113968.31085517115,113968.31085517115,-1502.6072689637049,-1502.6072689637049,-1502.6072689637049,-101.07190195666288,-101.07190195666288,-101.07190195666288,-80.8616101927177,-80.8616101927177,-80.8616101927177,-1320.6737568143246,-1320.6737568143246,-1320.6737568143246,0.0,0.0,0.0,112465.70358620744
714,2022-01-05,114125.12889513644,112346.2305410036,113185.58458551914,114125.12889513644,114125.12889513644,-1355.7545046385678,-1355.7545046385678,-1355.7545046385678,-101.07190195666286,-101.07190195666286,-101.07190195666286,-3.9142085141527794,-3.9142085141527794,-3.9142085141527794,-1250.7683941677524,-1250.7683941677524,-1250.7683941677524,0.0,0.0,0.0,112769.37439049788
715,2022-01-06,114281.94693510172,112619.93015950202,113503.83646268216,114281.94693510172,114281.94693510172,-1235.0131074223132,-1235.0131074223132,-1235.0131074223132,-101.07190195666288,-101.07190195666288,-101.07190195666288,46.76130740227898,46.76130740227898,46.76130740227898,-1180.7025128679295,-1180.7025128679295,-1180.7025128679295,0.0,0.0,0.0,113046.9338276794
716,2022-01-07,114438.76497506698,112895.71422071403,113698.39403279538,114438.76497506698,114438.76497506698,-1135.3981393656297,-1135.3981393656297,-1135.3981393656297,-101.07190195666288,-101.07190195666288,-101.07190195666288,75.64062295970301,75.64062295970301,75.64062295970301,-1109.96686036867,-1109.96686036867,-1109.96686036867,0.0,0.0,0.0,113303.36683570135
717,2022-01-08,114595.58301503224,113148.74461535622,113962.19734503247,114595.58301503224,114595.58301503224,-1055.4004931450434,-1055.4004931450434,-1055.4004931450434,-101.07190195666288,-101.07190195666288,-101.07190195666288,83.8601896313976,83.8601896313976,83.8601896313976,-1038.188780819778,-1038.188780819778,-1038.188780819778,0.0,0.0,0.0,113540.1825218872
718,2022-01-09,114752.4010549975,113257.35968414019,114092.484465987,114752.4010549975,114752.4010549975,-1070.8739290838857,-1070.8739290838857,-1070.8739290838857,-101.07190195666288,-101.07190195666288,-101.07190195666288,-4.661277029971358,-4.661277029971358,-4.661277029971358,-965.1407500972516,-965.1407500972516,-965.1407500972516,0.0,0.0,0.0,113681.52712591362
719,2022-01-10,114909.21909496278,113425.4889886056,114208.18103831858,114909.21909496278,114909.21909496278,-1108.6416630361014,-1108.6416630361014,-1108.6416630361014,-101.07190195666288,-101.07190195666288,-101.07190195666288,-116.825024256599,-116.825024256599,-116.825024256599,-890.7447368228397,-890.7447368228397,-890.7447368228397,0.0,0.0,0.0,113800.57743192668
720,2022-01-11,115066.03713492805,113654.43853278333,114495.30362804221,115066.03713492805,115066.03713492805,-997.005802426991,-997.005802426991,-997.005802426991,-101.07190195666286,-101.07190195666286,-101.07190195666286,-80.86161019265545,-80.86161019265545,-80.86161019265545,-815.0722902776724,-815.0722902776724,-815.0722902776724,0.0,0.0,0.0,114069.03133250105
721,2022-01-12,115222.85517489332,113960.09819875116,114811.12456875447,115222.85517489332,115222.85517489332,-843.3264804894187,-843.3264804894187,-843.3264804894187,-101.07190195666286,-101.07190195666286,-101.07190195666286,-3.914208514097793,-3.914208514097793,-3.914208514097793,-738.340370018658,-738.340370018658,-738.340370018658,0.0,0.0,0.0,114379.52869440391
722,2022-01-13,115379.67321485859,114247.96727498264,115051.06086360973,115379.67321485859,115379.67321485859,-715.2136400183135,-715.2136400183135,-715.2136400183135,-101.07190195666288,-101.07190195666288,-101.07190195666288,46.76130740232364,46.76130740232364,46.76130740232364,-660.9030454639742,-660.9030454639742,-660.9030454639742,0.0,0.0,0.0,114664.45957484028
723,2022-01-14,115536.49125482386,114546.6091921605,115333.22386551081,115536.49125482386,115536.49125482386,-608.6705827160836,-608.6705827160836,-608.6705827160836,-101.07190195666286,-101.07190195666286,-101.07190195666286,75.64062295959101,75.64062295959101,75.64062295959101,-583.2393037190117,-583.2393037190117,-583.2393037190117,0.0,0.0,0.0,114927.82067210779
724,2022-01-15,115693.30929478913,114755.16622026946,115583.11445424642,115693.30929478913,115693.30929478913,-523.1490198089754,-523.1490198089754,-523.1490198089754,-101.07190195666286,-101.07190195666286,-101.07190195666286,83.8601896313608,83.8601896313608,83.8601896313608,-505.9373074836733,-505.9373074836733,-505.9373074836733,0.0,0.0,0.0,115170.16027498015
725,2022-01-16,115850.12733475439,114931.03429524822,115726.184779603,115850.12733475439,115850.12733475439,-535.4087182490834,-535.4087182490834,-535.4087182490834,-101.07190195666288,-101.07190195666288,-101.07190195666288,-4.661277030089854,-4.661277030089854,-4.661277030089854,-429.6755392623308,-429.6755392623308,-429.6755392623308,0.0,0.0,0.0,115314.71861650531
726,2022-01-17,116006.94537471965,115044.95822299765,115815.7306624266,116006.94537471965,116006.94537471965,-573.0982769379937,-573.0982769379937,-573.0982769379937,-101.07190195666288,-101.07190195666288,-101.07190195666288,-116.8250242566374,-116.8250242566374,-116.8250242566374,-355.20135072469327,-355.20135072469327,-355.20135072469327,0.0,0.0,0.0,115433.84709778166
727,2022-01-18,116163.76341468493,115284.58575057218,116082.88970336367,116163.76341468493,116163.76341468493,-465.2410169169498,-465.2410169169498,-465.2410169169498,-101.07190195666286,-101.07190195666286,-101.07190195666286,-80.86161019259322,-80.86161019259322,-80.86161019259322,-283.30750476769373,-283.30750476769373,-283.30750476769373,0.0,0.0,0.0,115698.52239776799
728,2022-01-19,116320.58145465021,115592.00512317369,116427.7775346956,116320.58145465021,116320.58145465021,-319.79346119941647,-319.79346119941647,-319.79346119941647,-101.07190195666288,-101.07190195666288,-101.07190195666288,-3.914208514322681,-3.914208514322681,-3.914208514322681,-214.80735072843098,-214.80735072843098,-214.80735072843098,0.0,0.0,0.0,116000.7879934508
729,2022-01-20,116477.39949461547,115866.10324389179,116675.65602017987,116477.39949461547,116477.39949461547,-204.81990347809668,-204.81990347809668,-204.81990347809668,-101.07190195666288,-101.07190195666288,-101.07190195666288,46.761307402336925,46.761307402336925,46.761307402336925,-150.50930892377076,-150.50930892377076,-150.50930892377076,0.0,0.0,0.0,116272.57959113737
730,2022-01-21,116634.21753458075,116113.07113686063,116951.53761240181,116634.21753458075,116634.21753458075,-116.62263727247966,-116.62263727247966,-116.62263727247966,-101.07190195666288,-101.07190195666288,-101.07190195666288,75.64062295962648,75.64062295962648,75.64062295962648,-91.19135827544329,-91.19135827544329,-91.19135827544329,0.0,0.0,0.0,116517.59489730827
731,2022-01-22,116791.03557454601,116303.82523027717,117155.33978622696,116791.03557454601,116791.03557454601,-54.78793211786576,-54.78793211786576,-54.78793211786576,-101.07190195666286,-101.07190195666286,-101.07190195666286,83.86018963136144,83.86018963136144,83.86018963136144,-37.576219792564316,-37.576219792564316,-37.576219792564316,0.0,0.0,0.0,116736.24764242815
732,2022-01-23,116947.85361451127,116445.57837975869,117257.96912841374,116947.85361451127,116947.85361451127,-96.0410881522765,-96.0410881522765,-96.0410881522765,-101.07190195666288,-101.07190195666288,-101.07190195666288,-4.6612770301496464,-4.6612770301496464,-4.6612770301496464,9.69209083453603,9.69209083453603,9.69209083453603,0.0,0.0,0.0,116851.812526359
