,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,30679.766172722608,31396.64898708469,31616.06408879748,30679.766172722608,30679.766172722608,826.1862451762589,826.1862451762589,826.1862451762589,-632.1128951396028,-632.1128951396028,-632.1128951396028,1.293780275262533,1.293780275262533,1.293780275262533,1457.0053600405986,1457.0053600405986,1457.0053600405986,0.0,0.0,0.0,31505.952417898865
711,2022-01-02,30730.453951885054,31416.547920001016,31637.472901531284,30730.453951885054,30730.453951885054,792.9985660878627,792.9985660878627,792.9985660878627,-632.1128951396028,-632.1128951396028,-632.1128951396028,-2.0832755427489413,-2.0832755427489413,-2.0832755427489413,1427.1947367702144,1427.1947367702144,1427.1947367702144,0.0,0.0,0.0,31523.452517972917
712,2022-01-03,30781.141731047504,31432.970438942346,31656.638417584705,30781.141731047504,30781.141731047504,761.7365057055316,761.7365057055316,761.7365057055316,-632.1128951396028,-632.1128951396028,-632.1128951396028,-2.744773891416747,-2.744773891416747,-2.744773891416747,1396.5941747365505,1396.5941747365505,1396.5941747365505,0.0,0.0,0.0,31542.878236753037
713,2022-01-04,30831.82951020995,31463.69328081695,31665.999074850664,30831.82951020995,30831.82951020995,732.4491450385319,732.4491450385319,732.4491450385319,-632.1128951396028,-632.1128951396028,-632.1128951396028,-0.7350858489478018,-0.7350858489478018,-0.7350858489478018,1365.2971260270824,1365.2971260270824,1365.2971260270824,0.0,0.0,0.0,31564.278655248483
714,2022-01-05,30882.517289372405,31470.029153094518,31693.253402904676,30882.517289372405,30882.517289372405,703.961259393436,703.961259393436,703.961259393436,-632.1128951396028,-632.1128951396028,-632.1128951396028,2.6743776479063412,2.6743776479063412,2.6743776479063412,1333.399776885132,1333.399776885132,1333.399776885132,0.0,0.0,0.0,31586.47854876584
715,2022-01-06,30933.20506853485,31499.950046273534,31713.1882234609,30933.20506853485,30933.20506853485,670.644026374737,670.644026374737,670.644026374737,-632.1128951396028,-632.1128951396028,-632.1128951396028,1.7586671649829932,1.7586671649829932,1.7586671649829932,1300.9982543493568,1300.9982543493568,1300.9982543493568,0.0,0.0,0.0,31603.849094909587
716,2022-01-07,30983.892847697294,31514.114049621003,31726.32197044524,30983.892847697294,30983.892847697294,635.9092502285094,635.9092502285094,635.9092502285094,-632.1128951396028,-632.1128951396028,-632.1128951396028,-0.16368980503723807,-0.16368980503723807,-0.16368980503723807,1268.1858351731494,1268.1858351731494,1268.1858351731494,0.0,0.0,0.0,31619.802097925804
717,2022-01-08,31034.580626859748,31531.964546945153,31745.403660989996,31034.580626859748,31034.580626859748,604.23112861045,604.23112861045,604.23112861045,-632.1128951396028,-632.1128951396028,-632.1128951396028,1.2937802752644283,1.2937802752644283,1.2937802752644283,1235.0502434747884,1235.0502434747884,1235.0502434747884,0.0,0.0,0.0,31638.811755470197
718,2022-01-09,31085.2684060222,31544.99416446497,31766.19965671563,31085.2684060222,31085.2684060222,567.4749516394213,567.4749516394213,567.4749516394213,-632.1128951396028,-632.1128951396028,-632.1128951396028,-2.0832755427510348,-2.0832755427510348,-2.0832755427510348,1201.6711223217749,1201.6711223217749,1201.6711223217749,0.0,0.0,0.0,31652.743357661624
719,2022-01-10,31135.95618518465,31559.246093147227,31775.28056087953,31135.95618518465,31135.95618518465,533.2600916792037,533.2600916792037,533.2600916792037,-632.1128951396028,-632.1128951396028,-632.1128951396028,-2.7447738914170863,-2.7447738914170863,-2.7447738914170863,1168.1177607102234,1168.1177607102234,1168.1177607102234,0.0,0.0,0.0,31669.21627686385
