,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,101185.2024885084,96820.88933200954,97579.45801436238,101185.2024885084,101185.2024885084,-3991.2480251959587,-3991.2480251959587,-3991.2480251959587,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040231462,97.71975040231462,97.71975040231462,193.2471345899615,193.2471345899615,193.2471345899615,0.0,0.0,0.0,97193.95446331243
711,2022-01-02,101244.1684635708,97070.88579618938,97839.1740330347,101244.1684635708,101244.1684635708,-3768.1555099126026,-3768.1555099126026,-3768.1555099126026,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217240907,7.602836217240907,7.602836217240907,506.45656405839037,506.45656405839037,506.45656405839037,0.0,0.0,0.0,97476.0129536582
712,2022-01-03,101303.1344386332,97371.37449096663,98091.57012805819,101303.1344386332,101303.1344386332,-3579.2545819996726,-3579.2545819996726,-3579.2545819996726,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211533062,-108.18008211533062,-108.18008211533062,811.140410303892,811.140410303892,811.140410303892,0.0,0.0,0.0,97723.87985663353
713,2022-01-04,101362.1004136956,97735.50534721746,98470.79187728638,101362.1004136956,101362.1004136956,-3268.523753608131,-3268.523753608131,-3268.523753608131,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.5492947897468,-93.5492947897468,-93.5492947897468,1107.2404513698505,1107.2404513698505,1107.2404513698505,0.0,0.0,0.0,98093.57666008748
714,2022-01-05,101421.06638875802,98143.33681507445,98882.56216129026,101421.06638875802,101421.06638875802,-2904.5308098887563,-2904.5308098887563,-2904.5308098887563,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.094655521843787,-17.094655521843787,-17.094655521843787,1394.7787558213215,1394.7787558213215,1394.7787558213215,0.0,0.0,0.0,98516.53557886925
715,2022-01-06,101480.03236382041,98532.64280100603,99234.56720993358,101480.03236382041,101480.03236382041,-2566.8054172419515,-2566.8054172419515,-2566.8054172419515,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426082538,41.55490426082538,41.55490426082538,1673.8545886854574,1673.8545886854574,1673.8545886854574,0.0,0.0,0.0,98913.22694657846
716,2022-01-07,101538.99833888283,98898.00649707417,99630.57998333847,101538.99833888283,101538.99833888283,-2265.628436606508,-2265.628436606508,-2265.628436606508,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.94654154662565,71.94654154662565,71.94654154662565,1944.6399320351004,1944.6399320351004,1944.6399320351004,0.0,0.0,0.0,99273.36990227632
717,2022-01-08,101597.96431394522,99274.03484466106,99979.79947141756,101597.96431394522,101597.96431394522,-1977.1214402022065,-1977.1214402022065,-1977.1214402022065,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040239738,97.71975040239738,97.71975040239738,2207.3737195836306,2207.3737195836306,2207.3737195836306,0.0,0.0,0.0,99620.84287374302
718,2022-01-09,101656.93028900764,99486.05246667085,100198.45328888601,101656.93028900764,101656.93028900764,-1812.2571580964238,-1812.2571580964238,-1812.2571580964238,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217152016,7.602836217152016,7.602836217152016,2462.354915874658,2462.354915874658,2462.354915874658,0.0,0.0,0.0,99844.67313091121
719,2022-01-10,101715.89626407003,99676.0925870316,100402.12996404915,101715.89626407003,101715.89626407003,-1680.4603935231441,-1680.4603935231441,-1680.4603935231441,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.1800821153863,-108.1800821153863,-108.1800821153863,2709.9345987804763,2709.9345987804763,2709.9345987804763,0.0,0.0,0.0,100035.43587054689
720,2022-01-11,101774.86223913245,99980.78189026243,100714.31400328549,101774.86223913245,101774.86223913245,-1425.25697659474,-1425.25697659474,-1425.25697659474,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478971316,-93.54929478971316,-93.54929478971316,2950.5072283832073,2950.5072283832073,2950.5072283832073,0.0,0.0,0.0,100349.6052625377
721,2022-01-12,101833.82821419483,100371.05975084433,101074.61443548118,101833.82821419483,101833.82821419483,-1114.8082606041098,-1114.8082606041098,-1114.8082606041098,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.094655521792376,-17.094655521792376,-17.094655521792376,3184.5013051059163,3184.5013051059163,3184.5013051059163,0.0,0.0,0.0,100719.01995359072
722,2022-01-13,101892.79418925724,100707.63846725697,101454.58508768782,101892.79418925724,101892.79418925724,-828.2903711826639,-828.2903711826639,-828.2903711826639,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426085363,41.55490426085363,41.55490426085363,3412.3696347447167,3412.3696347447167,3412.3696347447167,0.0,0.0,0.0,101064.50381807458
723,2022-01-14,101951.76016431964,100998.66240402506,101768.68432834343,101951.76016431964,101951.76016431964,-575.6889413348192,-575.6889413348192,-575.6889413348192,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.94654154648318,71.94654154648318,71.94654154648318,3634.579427306932,3634.579427306932,3634.579427306932,0.0,0.0,0.0,101376.07122298481
724,2022-01-15,102010.72613938205,101315.96469608408,102041.03101544958,102010.72613938205,102010.72613938205,-332.89269973090563,-332.89269973090563,-332.89269973090563,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040237056,97.71975040237056,97.71975040237056,3851.6024600549586,3851.6024600549586,3851.6024600549586,0.0,0.0,0.0,101677.83343965115
725,2022-01-16,102069.69211444445,101474.16078540891,102230.24493982382,102069.69211444445,102069.69211444445,-210.70654128661403,-210.70654128661403,-210.70654128661403,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217027522,7.602836217027522,7.602836217027522,4063.9055326845933,4063.9055326845933,4063.9055326845933,0.0,0.0,0.0,101858.98557315784
726,2022-01-17,102128.65808950685,101643.49942712465,102358.41482322048,102128.65808950685,102128.65808950685,-118.4535580394177,-118.4535580394177,-118.4535580394177,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211544198,-108.18008211544198,-108.18008211544198,4271.941434264259,4271.941434264259,4271.941434264259,0.0,0.0,0.0,102010.20453146743
727,2022-01-18,102187.62406456926,101929.37144812998,102647.586575057,102187.62406456926,102187.62406456926,100.37642248198216,100.37642248198216,100.37642248198216,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478967954,-93.54929478967954,-93.54929478967954,4476.140627459897,4476.140627459897,4476.140627459897,0.0,0.0,0.0,102288.00048705123
728,2022-01-19,102246.59003963166,102270.96027905145,102977.53834357038,102246.59003963166,102246.59003963166,377.59427044109015,377.59427044109015,377.59427044109015,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.094655522038824,-17.094655522038824,-17.094655522038824,4676.903836151363,4676.903836151363,4676.903836151363,0.0,0.0,0.0,102624.18431007274
729,2022-01-20,102305.55601469407,102604.28143936489,103300.27550592617,102305.55601469407,102305.55601469407,633.9356922702891,633.9356922702891,633.9356922702891,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426087779,41.55490426087779,41.55490426087779,4874.595698197645,4874.595698197645,4874.595698197645,0.0,0.0,0.0,102939.49170696436
730,2022-01-21,102364.52198975647,102844.48281474516,103579.03520555774,102364.52198975647,102364.52198975647,859.2712478556537,859.2712478556537,859.2712478556537,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.94654154652011,71.94654154652011,71.94654154652011,5069.539616497368,5069.539616497368,5069.539616497368,0.0,0.0,0.0,103223.79323761212
731,2022-01-22,102423.48796481888,103151.7585227284,103879.1962935056,102423.48796481888,102423.48796481888,1077.5187495700807,1077.5187495700807,1077.5187495700807,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040237413,97.71975040237413,97.71975040237413,5262.01390935594,5262.01390935594,5262.01390935594,0.0,0.0,0.0,103501.00671438896
732,2022-01-23,102482.45393988128,103281.8095389367,104032.40444570291,102482.45393988128,102482.45393988128,1177.6372523556226,1177.6372523556226,1177.6372523556226,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836216974238,7.602836216974238,7.602836216974238,5452.2493263268825,5452.2493263268825,5452.2493263268825,0.0,0.0,0.0,103660.0911922369
733,2022-01-24,102541.41991494369,103402.97199427181,104144.94042357756,102541.41991494369,102541.41991494369,1250.0329668382108,1250.0329668382108,1250.0329668382108,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211519955,-108.18008211519955,-108.18008211519955,5640.427959141644,5640.427959141644,5640.427959141644,0.0,0.0,0.0,103791.4528817819
734,2022-01-25,102600.38589000609,103709.7420195229,104410.81972333047,102600.38589000609,102600.38589000609,1450.9193349677855,1450.9193349677855,1450.9193349677855,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478959541,-93.54929478959541,-93.54929478959541,5826.683539945616,5826.683539945616,5826.683539945616,0.0,0.0,0.0,104051.30522497387
735,2022-01-26,102659.3518650685,104012.93048705548,104697.14174263904,102659.3518650685,102659.3518650685,1711.7935162275105,1711.7935162275105,1711.7935162275105,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.09465552198741,-17.09465552198741,-17.09465552198741,6011.103081937733,6011.103081937733,6011.103081937733,0.0,0.0,0.0,104371.14538129601
736,2022-01-27,102718.31784013088,104290.94724959829,105077.3607610668,102718.31784013088,102718.31784013088,1953.0697756786126,1953.0697756786126,1953.0697756786126,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426090194,41.55490426090194,41.55490426090194,6193.729781605946,6193.729781605946,6193.729781605946,0.0,0.0,0.0,104671.3876158095
737,2022-01-28,102777.2838151933,104596.68659229152,105326.50103476671,102777.2838151933,102777.2838151933,2164.298699415472,2164.298699415472,2164.298699415472,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.94654154655704,71.94654154655704,71.94654154655704,6374.56706805715,6374.56706805715,6374.56706805715,0.0,0.0,0.0,104941.58251460877
738,2022-01-29,102836.2497902557,104849.86166920792,105538.9628071561,102836.2497902557,102836.2497902557,2369.088494629474,2369.088494629474,2369.088494629474,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040237768,97.71975040237768,97.71975040237768,6553.583654415332,6553.583654415332,6553.583654415332,0.0,0.0,0.0,105205.33828488516
739,2022-01-30,102895.2157653181,104985.30119700501,105713.51291853974,102895.2157653181,102895.2157653181,2456.1073457140756,2456.1073457140756,2456.1073457140756,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217383935,7.602836217383935,7.602836217383935,6730.719419684926,6730.719419684926,6730.719419684926,0.0,0.0,0.0,105351.32311103218
740,2022-01-31,102954.1817403805,105103.11303321853,105829.8653796779,102954.1817403805,102954.1817403805,2515.496935388948,2515.496935388948,2515.496935388948,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211525525,-108.18008211525525,-108.18008211525525,6905.891927692439,6905.891927692439,6905.891927692439,0.0,0.0,0.0,105469.67867576945
741,2022-02-01,103013.1477154429,105364.46504133931,106063.18181126221,103013.1477154429,103013.1477154429,2703.2391682568123,2703.2391682568123,2703.2391682568123,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478956174,-93.54929478956174,-93.54929478956174,7079.003373234608,7079.003373234608,7079.003373234608,0.0,0.0,0.0,105716.38688369971
742,2022-02-02,103072.11369050531,105649.0043672518,106402.58473977559,103072.11369050531,103072.11369050531,2950.638169222803,2950.638169222803,2950.638169222803,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.094655521924246,-17.094655521924246,-17.094655521924246,7249.947734932963,7249.947734932963,7249.947734932963,0.0,0.0,0.0,106022.75185972812
743,2022-02-03,103131.07966556771,105932.4416037822,106675.69205391165,103131.07966556771,103131.07966556771,3177.9579038864467,3177.9579038864467,3177.9579038864467,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426092609,41.55490426092609,41.55490426092609,7418.617909813755,7418.617909813755,7418.617909813755,0.0,0.0,0.0,106309.03756945416
744,2022-02-04,103190.04564063012,106196.11771786083,106925.39469317478,103190.04564063012,103190.04564063012,3374.644237782938,3374.644237782938,3374.644237782938,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.94654154639542,71.94654154639542,71.94654154639542,7584.9126064247785,7584.9126064247785,7584.9126064247785,0.0,0.0,0.0,106564.68987841306
745,2022-02-05,103249.01161569252,106468.45590552287,107194.80401512716,103249.01161569252,103249.01161569252,3564.2476216139594,3564.2476216139594,3564.2476216139594,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.7197504023205,97.7197504023205,97.7197504023205,7748.742781399874,7748.742781399874,7748.742781399874,0.0,0.0,0.0,106813.25923730648
746,2022-02-06,103307.97759075493,106585.76609280858,107296.58821492486,103307.97759075493,103307.97759075493,3635.4253445405916,3635.4253445405916,3635.4253445405916,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217295043,7.602836217295043,7.602836217295043,7910.03741851153,7910.03741851153,7910.03741851153,0.0,0.0,0.0,106943.40293529553
747,2022-02-07,103366.94356581733,106675.6190214022,107403.73635863664,103366.94356581733,103366.94356581733,3678.3534768475224,3678.3534768475224,3678.3534768475224,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211531092,-108.18008211531092,-108.18008211531092,8068.74846915107,8068.74846915107,8068.74846915107,0.0,0.0,0.0,107045.29704266485
748,2022-02-08,103425.90954087974,106922.2712304252,107618.78165624941,103425.90954087974,103425.90954087974,3849.090593237509,3849.090593237509,3849.090593237509,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478950287,-93.54929478950287,-93.54929478950287,8224.854798215249,8224.854798215249,8224.854798215249,0.0,0.0,0.0,107275.00013411725
749,2022-02-09,103484.87551594213,107200.13832787899,107921.68346634168,103484.87551594213,103484.87551594213,4079.055443226311,4079.055443226311,4079.055443226311,-4282.214910188234,-4282.214910188234,-4282.214910188234,-17.09465552188459,-17.09465552188459,-17.09465552188459,8378.36500893643,8378.36500893643,8378.36500893643,0.0,0.0,0.0,107563.93095916844
750,2022-02-10,103543.84149100454,107450.61313144153,108239.82407100625,103543.84149100454,103543.84149100454,4288.659047579338,4288.659047579338,4288.659047579338,-4282.214910188234,-4282.214910188234,-4282.214910188234,41.55490426081619,41.55490426081619,41.55490426081619,8529.319053506755,8529.319053506755,8529.319053506755,0.0,0.0,0.0,107832.50053858387
751,2022-02-11,103602.80746606694,107692.15949710287,108407.54285217458,103602.80746606694,103602.80746606694,4467.5202037682375,4467.5202037682375,4467.5202037682375,-4282.214910188234,-4282.214910188234,-4282.214910188234,71.9465415464515,71.9465415464515,71.9465415464515,8677.78857241002,8677.78857241002,8677.78857241002,0.0,0.0,0.0,108070.32766983517
752,2022-02-12,103661.77344112935,107950.96632951935,108680.56692926389,103661.77344112935,103661.77344112935,4639.380783482214,4639.380783482214,4639.380783482214,-4282.214910188234,-4282.214910188234,-4282.214910188234,97.71975040232408,97.71975040232408,97.71975040232408,8823.875943268122,8823.875943268122,8823.875943268122,0.0,0.0,0.0,108301.15422461156
753,2022-02-13,103720.73941619175,108031.71522990512,108755.47863297908,103720.73941619175,103720.73941619175,4693.099984719298,4693.099984719298,4693.099984719298,-4282.214910188234,-4282.214910188234,-4282.214910188234,7.602836217206155,7.602836217206155,7.602836217206155,8967.712058690326,8967.712058690326,8967.712058690326,0.0,0.0,0.0,108413.83940091105
754,2022-02-14,103779.70539125415,108138.62552845772,108893.8371159437,103779.70539125415,103779.70539125415,4719.057898614265,4719.057898614265,4719.057898614265,-4282.214910188234,-4282.214910188234,-4282.214910188234,-108.18008211536662,-108.18008211536662,-108.18008211536662,9109.452890917866,9109.452890917866,9109.452890917866,0.0,0.0,0.0,108498.76328986841
755,2022-02-15,103838.67136631656,108363.29794337507,109093.8425157512,103838.67136631656,103838.67136631656,4873.51073305766,4873.51073305766,4873.51073305766,-4282.214910188234,-4282.214910188234,-4282.214910188234,-93.54929478973663,-93.54929478973663,-93.54929478973663,9249.27493803563,9249.27493803563,9249.27493803563,0.0,0.0,0.0,108712.18209937421
