,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1635292.1088028196,525051.0029803272,725523.8980062141,1635292.1088028196,1635292.1088028196,-1008903.2334979292,-1008903.2334979292,-1008903.2334979292,383210.8169336974,383210.8169336974,383210.8169336974,1097.3368796626296,1097.3368796626296,1097.3368796626296,-1393211.3873112893,-1393211.3873112893,-1393211.3873112893,0.0,0.0,0.0,626388.8753048904
711,2022-01-02,1662459.500639303,579577.2217378793,784257.9662230443,1662459.500639303,1662459.500639303,-979927.9432713416,-979927.9432713416,-979927.9432713416,383210.8169336974,383210.8169336974,383210.8169336974,-50.0349458735861,-50.0349458735861,-50.0349458735861,-1363088.7252591653,-1363088.7252591653,-1363088.7252591653,0.0,0.0,0.0,682531.5573679613
712,2022-01-03,1689626.8924757885,639528.1348824713,844098.4499593795,1689626.8924757885,1689626.8924757885,-946551.9115791077,-946551.9115791077,-946551.9115791077,383210.8169336974,383210.8169336974,383210.8169336974,-308.4181235607818,-308.4181235607818,-308.4181235607818,-1329454.3103892442,-1329454.3103892442,-1329454.3103892442,0.0,0.0,0.0,743074.9808966807
713,2022-01-04,1716794.2843122717,695898.5867874769,904067.3550164169,1716794.2843122717,1716794.2843122717,-911143.7715633025,-911143.7715633025,-911143.7715633025,383210.8169336974,383210.8169336974,383210.8169336974,-1763.8389757914174,-1763.8389757914174,-1763.8389757914174,-1292590.7495212085,-1292590.7495212085,-1292590.7495212085,0.0,0.0,0.0,805650.5127489693
714,2022-01-05,1743961.6761487573,760898.8066732954,977725.4808777376,1743961.6761487573,1743961.6761487573,-870078.723073373,-870078.723073373,-870078.723073373,383210.8169336974,383210.8169336974,383210.8169336974,-466.8903854511797,-466.8903854511797,-466.8903854511797,-1252822.649621619,-1252822.649621619,-1252822.649621619,0.0,0.0,0.0,873882.9530753844
715,2022-01-06,1771129.0679852406,836928.5719090811,1047679.5117117632,1771129.0679852406,1771129.0679852406,-826660.7336726554,-826660.7336726554,-826660.7336726554,383210.8169336974,383210.8169336974,383210.8169336974,639.7939807826687,639.7939807826687,639.7939807826687,-1210511.3445871351,-1210511.3445871351,-1210511.3445871351,0.0,0.0,0.0,944468.3343125852
716,2022-01-07,1798296.459821726,916769.9705256926,1125711.5786066665,1798296.459821726,1798296.459821726,-781986.0117915171,-781986.0117915171,-781986.0117915171,383210.8169336974,383210.8169336974,383210.8169336974,852.0515702391231,852.0515702391231,852.0515702391231,-1166048.8802954536,-1166048.8802954536,-1166048.8802954536,0.0,0.0,0.0,1016310.4480302088
717,2022-01-08,1825463.8516582092,984836.5524007994,1191888.314604435,1825463.8516582092,1825463.8516582092,-735543.234623743,-735543.234623743,-735543.234623743,383210.8169336974,383210.8169336974,383210.8169336974,1097.3368796639988,1097.3368796639988,1097.3368796639988,-1119851.3884371042,-1119851.3884371042,-1119851.3884371042,0.0,0.0,0.0,1089920.6170344662
718,2022-01-09,1852631.2434946925,1061998.7398157136,1272498.1682144308,1852631.2434946925,1852631.2434946925,-689191.2121372134,-689191.2121372134,-689191.2121372134,383210.8169336974,383210.8169336974,383210.8169336974,-50.03494587429643,-50.03494587429643,-50.03494587429643,-1072351.9941250365,-1072351.9941250365,-1072351.9941250365,0.0,0.0,0.0,1163440.031357479
719,2022-01-10,1879798.6353311758,1131331.426480775,1343990.6444173025,1879798.6353311758,1879798.6353311758,-641091.0144093039,-641091.0144093039,-641091.0144093039,383210.8169336974,383210.8169336974,383210.8169336974,-308.41812356178076,-308.41812356178076,-308.41812356178076,-1023993.4132194394,-1023993.4132194394,-1023993.4132194394,0.0,0.0,0.0,1238707.6209218719
720,2022-01-11,1906966.0271676613,1214399.3505143807,1415262.8984436276,1906966.0271676613,1906966.0271676613,-593773.4244453071,-593773.4244453071,-593773.4244453071,383210.8169336974,383210.8169336974,383210.8169336974,-1763.8389757927932,-1763.8389757927932,-1763.8389757927932,-975220.4024032116,-975220.4024032116,-975220.4024032116,0.0,0.0,0.0,1313192.6027223542
721,2022-01-12,1934133.419004147,1290283.6329311822,1498500.7945759797,1934133.419004147,1934133.419004147,-543728.3015858277,-543728.3015858277,-543728.3015858277,383210.8169336974,383210.8169336974,383210.8169336974,-466.89038545075516,-466.89038545075516,-466.89038545075516,-926472.2281340745,-926472.2281340745,-926472.2281340745,0.0,0.0,0.0,1390405.1174183192
722,2022-01-13,1961300.8108406302,1368177.3952900968,1575313.9158552792,1961300.8108406302,1961300.8108406302,-494324.7086748823,-494324.7086748823,-494324.7086748823,383210.8169336974,383210.8169336974,383210.8169336974,639.793980781083,639.793980781083,639.793980781083,-878175.3195893605,-878175.3195893605,-878175.3195893605,0.0,0.0,0.0,1466976.102165748
723,2022-01-14,1988468.2026771135,1435788.8120647527,1639824.6059365366,1988468.2026771135,1988468.2026771135,-446673.3971431392,-446673.3971431392,-446673.3971431392,383210.8169336974,383210.8169336974,383210.8169336974,852.0515702388095,852.0515702388095,852.0515702388095,-830736.2656470751,-830736.2656470751,-830736.2656470751,0.0,0.0,0.0,1541794.8055339742
724,2022-01-15,2015635.594513599,1514229.2796133093,1714623.2066901051,2015635.594513599,2015635.594513599,-400227.1531326361,-400227.1531326361,-400227.1531326361,383210.8169336974,383210.8169336974,383210.8169336974,1097.336879664224,1097.336879664224,1097.336879664224,-784535.3069459975,-784535.3069459975,-784535.3069459975,0.0,0.0,0.0,1615408.441380963
