,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,7100309.307977552,7109445.672344063,7308262.916999395,7100309.307977552,7100309.307977552,111213.33870867474,111213.33870867474,111213.33870867474,4606378.715402039,4606378.715402039,4606378.715402039,13115.827724505398,13115.827724505398,13115.827724505398,-4508281.204417869,-4508281.204417869,-4508281.204417869,0.0,0.0,0.0,7211522.646686226
711,2022-01-02,7218249.954063291,7131597.007151917,7331181.551944237,7218249.954063291,7218249.954063291,13681.336736552399,13681.336736552399,13681.336736552399,4606378.715402039,4606378.715402039,4606378.715402039,3748.879191054034,3748.879191054034,3748.879191054034,-4596446.25785654,-4596446.25785654,-4596446.25785654,0.0,0.0,0.0,7231931.290799843
712,2022-01-03,7336190.60014903,7145737.75746389,7344345.209034739,7336190.60014903,7336190.60014903,-89261.4956651741,-89261.4956651741,-89261.4956651741,4606378.715402039,4606378.715402039,4606378.715402039,-11885.541145685023,-11885.541145685023,-11885.541145685023,-4683754.669921528,-4683754.669921528,-4683754.669921528,0.0,0.0,0.0,7246929.104483856
713,2022-01-04,7454131.246234779,7179766.147944497,7374560.351752586,7454131.246234779,7454131.246234779,-177017.94962913124,-177017.94962913124,-177017.94962913124,4606378.715402039,4606378.715402039,4606378.715402039,-13601.105236647907,-13601.105236647907,-13601.105236647907,-4769795.559794522,-4769795.559794522,-4769795.559794522,0.0,0.0,0.0,7277113.2966056485
714,2022-01-05,7572071.892320529,7212882.003735666,7416033.333403171,7572071.892320529,7572071.892320529,-254681.07055639266,-254681.07055639266,-254681.07055639266,4606378.715402039,4606378.715402039,4606378.715402039,-6923.738930607428,-6923.738930607428,-6923.738930607428,-4854136.0470278235,-4854136.0470278235,-4854136.0470278235,0.0,0.0,0.0,7317390.821764136
715,2022-01-06,7690012.538406268,7266278.9929078305,7459424.9567998,7690012.538406268,7690012.538406268,-325102.450340587,-325102.450340587,-325102.450340587,4606378.715402039,4606378.715402039,4606378.715402039,4845.016691707899,4845.016691707899,4845.016691707899,-4936326.1824343335,-4936326.1824343335,-4936326.1824343335,0.0,0.0,0.0,7364910.088065681
716,2022-01-07,7807953.184492007,7307361.760197035,7511796.466569862,7807953.184492007,7807953.184492007,-398825.03236940986,-398825.03236940986,-398825.03236940986,4606378.715402039,4606378.715402039,4606378.715402039,10700.661705691633,10700.661705691633,10700.661705691633,-5015904.40947714,-5015904.40947714,-5015904.40947714,0.0,0.0,0.0,7409128.152122597
717,2022-01-08,7925893.830577755,7355201.942850549,7555886.569214994,7925893.830577755,7925893.830577755,-472908.93183558714,-472908.93183558714,-472908.93183558714,4606378.715402039,4606378.715402039,4606378.715402039,13115.82772451498,13115.82772451498,13115.82772451498,-5092403.47496214,-5092403.47496214,-5092403.47496214,0.0,0.0,0.0,7452984.898742168
718,2022-01-09,8043834.4766634945,7395876.9165605195,7593731.905589457,8043834.4766634945,8043834.4766634945,-555229.100820905,-555229.100820905,-555229.100820905,4606378.715402039,4606378.715402039,4606378.715402039,3748.8791910447344,3748.8791910447344,3748.8791910447344,-5165356.695413988,-5165356.695413988,-5165356.695413988,0.0,0.0,0.0,7488605.37584259
719,2022-01-10,8161775.122749234,7423727.492051006,7622571.215042211,8161775.122749234,8161775.122749234,-639811.3004570131,-639811.3004570131,-639811.3004570131,4606378.715402039,4606378.715402039,4606378.715402039,-11885.541145694271,-11885.541145694271,-11885.541145694271,-5234304.474713357,-5234304.474713357,-5234304.474713357,0.0,0.0,0.0,7521963.822292221
720,2022-01-11,8279715.768834983,7480794.743232943,7674157.2528317,8279715.768834983,8279715.768834983,-706023.3495561599,-706023.3495561599,-706023.3495561599,4606378.715402039,4606378.715402039,4606378.715402039,-13601.105236646514,-13601.105236646514,-13601.105236646514,-5298800.95972155,-5298800.95972155,-5298800.95972155,0.0,0.0,0.0,7573692.419278823
721,2022-01-12,8397656.414920732,7539867.689329142,7748833.232433714,8397656.414920732,8397656.414920732,-758965.7374709948,-758965.7374709948,-758965.7374709948,4606378.715402039,4606378.715402039,4606378.715402039,-6923.738930599207,-6923.738930599207,-6923.738930599207,-5358420.713942434,-5358420.713942434,-5358420.713942434,0.0,0.0,0.0,7638690.677449738
722,2022-01-13,8515597.061006472,7609703.432840577,7813206.6670210855,8515597.061006472,8515597.061006472,-801541.5529224848,-801541.5529224848,-801541.5529224848,4606378.715402039,4606378.715402039,4606378.715402039,4845.016691717406,4845.016691717406,4845.016691717406,-5412765.285016241,-5412765.285016241,-5412765.285016241,0.0,0.0,0.0,7714055.508083987
723,2022-01-14,8633537.70709221,7691273.952102298,7892323.24187825,8633537.70709221,8633537.70709221,-844390.1630374813,-844390.1630374813,-844390.1630374813,4606378.715402039,4606378.715402039,4606378.715402039,10700.66170567455,10700.66170567455,10700.66170567455,-5461469.540145193,-5461469.540145193,-5461469.540145193,0.0,0.0,0.0,7789147.54405473
724,2022-01-15,8751478.35317796,7770798.913783195,7971079.934465588,8751478.35317796,8751478.35317796,-884713.1014062458,-884713.1014062458,-884713.1014062458,4606378.715402039,4606378.715402039,4606378.715402039,13115.827724510795,13115.827724510795,13115.827724510795,-5504207.644532794,-5504207.644532794,-5504207.644532794,0.0,0.0,0.0,7866765.251771714
725,2022-01-16,8869418.999263698,7834408.615436384,8031787.283292263,8869418.999263698,8869418.999263698,-930570.9670236233,-930570.9670236233,-930570.9670236233,4606378.715402039,4606378.715402039,4606378.715402039,3748.87919102853,3748.87919102853,3748.87919102853,-5540698.56161669,-5540698.56161669,-5540698.56161669,0.0,0.0,0.0,7938848.032240075
726,2022-01-17,8987359.645349437,7907776.346635028,8107887.071127797,8987359.645349437,8987359.645349437,-976217.7860180996,-976217.7860180996,-976217.7860180996,4606378.715402039,4606378.715402039,4606378.715402039,-11885.541145703526,-11885.541145703526,-11885.541145703526,-5570710.960274435,-5570710.960274435,-5570710.960274435,0.0,0.0,0.0,8011141.859331338
727,2022-01-18,9105300.291435177,8000246.920201444,8198665.104993695,9105300.291435177,9105300.291435177,-1001289.8130276939,-1001289.8130276939,-1001289.8130276939,4606378.715402039,4606378.715402039,4606378.715402039,-13601.105236645119,-13601.105236645119,-13601.105236645119,-5594067.423193087,-5594067.423193087,-5594067.423193087,0.0,0.0,0.0,8104010.478407483
728,2022-01-19,9223240.937520936,8106068.084513179,8314752.518553867,9223240.937520936,9223240.937520936,-1011192.8856075961,-1011192.8856075961,-1011192.8856075961,4606378.715402039,4606378.715402039,4606378.715402039,-6923.738930634883,-6923.738930634883,-6923.738930634883,-5610647.862078998,-5610647.862078998,-5610647.862078998,0.0,0.0,0.0,8212048.05191334
729,2022-01-20,9341181.583606675,8235878.139542849,8428044.469635742,9341181.583606675,9341181.583606675,-1009168.3270382421,-1009168.3270382421,-1009168.3270382421,4606378.715402039,4606378.715402039,4606378.715402039,4845.016691722752,4845.016691722752,4845.016691722752,-5620392.059132003,-5620392.059132003,-5620392.059132003,0.0,0.0,0.0,8332013.256568433
730,2022-01-21,9459122.229692414,8343458.958073858,8547859.496971643,9459122.229692414,9459122.229692414,-1006221.8928508416,-1006221.8928508416,-1006221.8928508416,4606378.715402039,4606378.715402039,4606378.715402039,10700.661705680126,10700.661705680126,10700.661705680126,-5623301.269958559,-5623301.269958559,-5623301.269958559,0.0,0.0,0.0,8452900.336841572
731,2022-01-22,9577062.875778165,8476065.49595954,8679501.92414484,9577062.875778165,9577062.875778165,-999944.2974095874,-999944.2974095874,-999944.2974095874,4606378.715402039,4606378.715402039,4606378.715402039,13115.827724514005,13115.827724514005,13115.827724514005,-5619438.84053614,-5619438.84053614,-5619438.84053614,0.0,0.0,0.0,8577118.578368578
732,2022-01-23,9695003.521863904,8593248.237637341,8791905.296564097,9695003.521863904,9695003.521863904,-998802.2150137776,-998802.2150137776,-998802.2150137776,4606378.715402039,4606378.715402039,4606378.715402039,3748.879191026134,3748.879191026134,3748.879191026134,-5608929.809606842,-5608929.809606842,-5608929.809606842,0.0,0.0,0.0,8696201.306850126
733,2022-01-24,9812944.167949643,8713851.825689219,8912131.355794035,9812944.167949643,9812944.167949643,-997466.3133246901,-997466.3133246901,-997466.3133246901,4606378.715402039,4606378.715402039,4606378.715402039,-11885.541145663105,-11885.541145663105,-11885.541145663105,-5591959.487581066,-5591959.487581066,-5591959.487581066,0.0,0.0,0.0,8815477.854624953
734,2022-01-25,9930884.814035391,8858025.039295435,9053694.892339325,9930884.814035391,9930884.814035391,-975993.4130766152,-975993.4130766152,-975993.4130766152,4606378.715402039,4606378.715402039,4606378.715402039,-13601.10523663932,-13601.10523663932,-13601.10523663932,-5568771.023242014,-5568771.023242014,-5568771.023242014,0.0,0.0,0.0,8954891.400958776
735,2022-01-26,10048825.46012114,9010111.972391123,9204929.244111063,10048825.46012114,10048825.46012114,-940207.0133553935,-940207.0133553935,-940207.0133553935,4606378.715402039,4606378.715402039,4606378.715402039,-6923.738930626665,-6923.738930626665,-6923.738930626665,-5539661.989826805,-5539661.989826805,-5539661.989826805,0.0,0.0,0.0,9108618.446765747
736,2022-01-27,10166766.106206879,9171734.998651054,9369760.573333113,10166766.106206879,10166766.106206879,-893756.3098717848,-893756.3098717848,-893756.3098717848,4606378.715402039,4606378.715402039,4606378.715402039,4845.016691728098,4845.016691728098,4845.016691728098,-5504980.041965552,-5504980.041965552,-5504980.041965552,0.0,0.0,0.0,9273009.796335094
737,2022-01-28,10284706.752292618,9334225.476495717,9537442.458654039,10284706.752292618,10284706.752292618,-848038.3369346069,-848038.3369346069,-848038.3369346069,4606378.715402039,4606378.715402039,4606378.715402039,10700.661705685698,10700.661705685698,10700.661705685698,-5465117.71404233,-5465117.71404233,-5465117.71404233,0.0,0.0,0.0,9436668.41535801
738,2022-01-29,10402647.398378357,9499466.90271337,9705483.175816098,10402647.398378357,10402647.398378357,-801011.9052455644,-801011.9052455644,-801011.9052455644,4606378.715402039,4606378.715402039,4606378.715402039,13115.827724517216,13115.827724517216,13115.827724517216,-5420506.44837212,-5420506.44837212,-5420506.44837212,0.0,0.0,0.0,9601635.493132792
739,2022-01-30,10520588.044464108,9661991.717114903,9858453.598510087,10520588.044464108,10520588.044464108,-761482.3631630255,-761482.3631630255,-761482.3631630255,4606378.715402039,4606378.715402039,4606378.715402039,3748.8791910698033,3748.8791910698033,3748.8791910698033,-5371609.957756133,-5371609.957756133,-5371609.957756133,0.0,0.0,0.0,9759105.681301082
740,2022-01-31,10638528.690549847,9811767.34173142,10014329.498888835,10638528.690549847,10638528.690549847,-724423.8668496677,-724423.8668496677,-724423.8668496677,4606378.715402039,4606378.715402039,4606378.715402039,-11885.541145672358,-11885.541145672358,-11885.541145672358,-5318917.041106033,-5318917.041106033,-5318917.041106033,0.0,0.0,0.0,9914104.823700178
741,2022-02-01,10756469.336635595,9975048.591042664,10186740.524630643,10756469.336635595,10756469.336635595,-670156.3724324256,-670156.3724324256,-670156.3724324256,4606378.715402039,4606378.715402039,4606378.715402039,-13601.105236637926,-13601.105236637926,-13601.105236637926,-5262933.982597826,-5262933.982597826,-5262933.982597826,0.0,0.0,0.0,10086312.96420317
742,2022-02-02,10874409.982721345,10171011.726505846,10371049.631790996,10874409.982721345,10874409.982721345,-604721.6974589018,-604721.6974589018,-604721.6974589018,4606378.715402039,4606378.715402039,4606378.715402039,-6923.7389306195355,-6923.7389306195355,-6923.7389306195355,-5204176.67393032,-5204176.67393032,-5204176.67393032,0.0,0.0,0.0,10269688.285262443
