,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1557825.387389475,1240800.3698862619,1271772.609205058,1557825.387389475,1557825.387389475,-301518.7473395516,-301518.7473395516,-301518.7473395516,175223.61096187818,175223.61096187818,175223.61096187818,624.3175364660672,624.3175364660672,624.3175364660672,-477366.6758378959,-477366.6758378959,-477366.6758378959,0.0,0.0,0.0,1256306.6400499234
711,2022-01-02,1570860.5614664194,1266108.7475060264,1296665.6850593823,1570860.5614664194,1570860.5614664194,-289581.9296231335,-289581.9296231335,-289581.9296231335,175223.61096187818,175223.61096187818,175223.61096187818,-986.7712621429202,-986.7712621429202,-986.7712621429202,-463818.7693228688,-463818.7693228688,-463818.7693228688,0.0,0.0,0.0,1281278.6318432859
712,2022-01-03,1583895.7355433623,1293379.7831211935,1323275.7317052933,1583895.7355433623,1583895.7355433623,-275553.4102729679,-275553.4102729679,-275553.4102729679,175223.61096187818,175223.61096187818,175223.61096187818,-1234.4973127460762,-1234.4973127460762,-1234.4973127460762,-449542.5239220998,-449542.5239220998,-449542.5239220998,0.0,0.0,0.0,1308342.3252703943
713,2022-01-04,1596930.909620307,1322664.04169842,1352529.3682172715,1596930.909620307,1596930.909620307,-259485.47433629123,-259485.47433629123,-259485.47433629123,175223.61096187818,175223.61096187818,175223.61096187818,-18.488255766100355,-18.488255766100355,-18.488255766100355,-434690.5970424032,-434690.5970424032,-434690.5970424032,0.0,0.0,0.0,1337445.4352840157
714,2022-01-05,1609966.0836972513,1351081.7207464594,1381159.60273497,1609966.0836972513,1609966.0836972513,-243949.91349906087,-243949.91349906087,-243949.91349906087,175223.61096187818,175223.61096187818,175223.61096187818,246.44014464520413,246.44014464520413,246.44014464520413,-419419.9646055842,-419419.9646055842,-419419.9646055842,0.0,0.0,0.0,1366016.1701981905
715,2022-01-06,1623001.2577741942,1380099.725315144,1410431.9388766305,1623001.2577741942,1623001.2577741942,-228113.74923455878,-228113.74923455878,-228113.74923455878,175223.61096187818,175223.61096187818,175223.61096187818,551.5985620941321,551.5985620941321,551.5985620941321,-403888.958758531,-403888.958758531,-403888.958758531,0.0,0.0,0.0,1394887.5085396355
716,2022-01-07,1636036.4318511386,1408950.111057615,1438497.3039961113,1636036.4318511386,1636036.4318511386,-212213.29760727924,-212213.29760727924,-212213.29760727924,175223.61096187818,175223.61096187818,175223.61096187818,817.4005874470067,817.4005874470067,817.4005874470067,-388254.30915660434,-388254.30915660434,-388254.30915660434,0.0,0.0,0.0,1423823.1342438594
717,2022-01-08,1649071.6059280816,1436620.0215235555,1468242.9923426118,1649071.6059280816,1649071.6059280816,-196820.32701836023,-196820.32701836023,-196820.32701836023,175223.61096187818,175223.61096187818,175223.61096187818,624.3175364699999,624.3175364699999,624.3175364699999,-372668.25551670836,-372668.25551670836,-372668.25551670836,0.0,0.0,0.0,1452251.2789097214
718,2022-01-09,1662106.780005026,1464138.904795387,1495217.2318000267,1662106.780005026,1662106.780005026,-183038.9573472862,-183038.9573472862,-183038.9573472862,175223.61096187818,175223.61096187818,175223.61096187818,-986.7712621436172,-986.7712621436172,-986.7712621436172,-357275.7970470207,-357275.7970470207,-357275.7970470207,0.0,0.0,0.0,1479067.8226577397
719,2022-01-10,1675141.9540819689,1492409.007337315,1522032.1723516611,1675141.9540819689,1675141.9540819689,-168223.0269825452,-168223.0269825452,-168223.0269825452,175223.61096187818,175223.61096187818,175223.61096187818,-1234.4973127457438,-1234.4973127457438,-1234.4973127457438,-342212.1406316775,-342212.1406316775,-342212.1406316775,0.0,0.0,0.0,1506918.9270994237
720,2022-01-11,1688177.1281589135,1521635.858239244,1551033.5411993077,1688177.1281589135,1688177.1281589135,-152395.28166996944,-152395.28166996944,-152395.28166996944,175223.61096187818,175223.61096187818,175223.61096187818,-18.488255765944047,-18.488255765944047,-18.488255765944047,-327600.4043760816,-327600.4043760816,-327600.4043760816,0.0,0.0,0.0,1535781.846488944
721,2022-01-12,1701212.3022358578,1547809.8399633495,1578065.995066016,1701212.3022358578,1701212.3022358578,-138079.5753425414,-138079.5753425414,-138079.5753425414,175223.61096187818,175223.61096187818,175223.61096187818,246.4401446450949,246.4401446450949,246.4401446450949,-313549.62644906464,-313549.62644906464,-313549.62644906464,0.0,0.0,0.0,1563132.7268933165
722,2022-01-13,1714247.4763128008,1574269.6257767056,1605700.9767503229,1714247.4763128008,1714247.4763128008,-124377.9117412078,-124377.9117412078,-124377.9117412078,175223.61096187818,175223.61096187818,175223.61096187818,551.5985620943653,551.5985620943653,551.5985620943653,-300153.1212651803,-300153.1212651803,-300153.1212651803,0.0,0.0,0.0,1589869.564571593
723,2022-01-14,1727282.6503897451,1601021.3666150267,1630604.9525841202,1727282.6503897451,1727282.6503897451,-111446.20459733554,-111446.20459733554,-111446.20459733554,175223.61096187818,175223.61096187818,175223.61096187818,817.4005874458713,817.4005874458713,817.4005874458713,-287487.2161466595,-287487.2161466595,-287487.2161466595,0.0,0.0,0.0,1615836.4457924096
724,2022-01-15,1740317.824466688,1625474.5554509724,1657198.4552438362,1740317.824466688,1740317.824466688,-99762.46342696095,-99762.46342696095,-99762.46342696095,175223.61096187818,175223.61096187818,175223.61096187818,624.3175364689218,624.3175364689218,624.3175364689218,-275610.39192530804,-275610.39192530804,-275610.39192530804,0.0,0.0,0.0,1640555.3610397272
725,2022-01-16,1753352.9985436324,1647704.6277375324,1678367.6746190935,1753352.9985436324,1753352.9985436324,-90326.00104551183,-90326.00104551183,-90326.00104551183,175223.61096187818,175223.61096187818,175223.61096187818,-986.7712621452505,-986.7712621452505,-986.7712621452505,-264562.8407452448,-264562.8407452448,-264562.8407452448,0.0,0.0,0.0,1663026.9974981206
726,2022-01-17,1766388.1726205756,1670931.4793759705,1701647.5469270854,1766388.1726205756,1766388.1726205756,-80377.33022733188,-80377.33022733188,-80377.33022733188,175223.61096187818,175223.61096187818,175223.61096187818,-1234.497312745412,-1234.497312745412,-1234.497312745412,-254366.44387646468,-254366.44387646468,-254366.44387646468,0.0,0.0,0.0,1686010.8423932437
727,2022-01-18,1779423.3466975186,1694990.977336914,1726545.5590842147,1779423.3466975186,1779423.3466975186,-69820.03921516144,-69820.03921516144,-69820.03921516144,175223.61096187818,175223.61096187818,175223.61096187818,-18.488255765787873,-18.488255765787873,-18.488255765787873,-245025.16192127383,-245025.16192127383,-245025.16192127383,0.0,0.0,0.0,1709603.3074823571
