,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,1837303.4183329528,1695872.4095419548,1771782.051499921,1837303.4183329528,1837303.4183329528,-103534.5549769089,-103534.5549769089,-103534.5549769089,1799309.2307615967,1799309.2307615967,1799309.2307615967,1981.5281523674737,1981.5281523674737,1981.5281523674737,-1904825.3138908725,-1904825.3138908725,-1904825.3138908725,0.0,0.0,0.0,1733768.8633560438
711,2022-01-02,1869110.1867678836,1688805.5058399516,1768751.5560388886,1869110.1867678836,1869110.1867678836,-139437.92749501803,-139437.92749501803,-139437.92749501803,1799309.2307615967,1799309.2307615967,1799309.2307615967,1380.3261663462763,1380.3261663462763,1380.3261663462763,-1940127.48442296,-1940127.48442296,-1940127.48442296,0.0,0.0,0.0,1729672.2592728655
712,2022-01-03,1900916.9552028177,1685202.6080447377,1763754.5300450863,1900916.9552028177,1900916.9552028177,-177172.85722116943,-177172.85722116943,-177172.85722116943,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1510.8457219940756,-1510.8457219940756,-1510.8457219940756,-1974971.242260772,-1974971.242260772,-1974971.242260772,0.0,0.0,0.0,1723744.0979816483
713,2022-01-04,1932723.7236377518,1684324.5499319327,1757939.2315295555,1932723.7236377518,1932723.7236377518,-211767.47613436793,-211767.47613436793,-211767.47613436793,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1997.8470918734513,-1997.8470918734513,-1997.8470918734513,-2009078.8598040913,-2009078.8598040913,-2009078.8598040913,0.0,0.0,0.0,1720956.2475033838
714,2022-01-05,1964530.4920726859,1679690.966164418,1757358.6334343601,1964530.4920726859,1964530.4920726859,-244209.94859609852,-244209.94859609852,-244209.94859609852,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1366.5648311657653,-1366.5648311657653,-1366.5648311657653,-2042152.6145265296,-2042152.6145265296,-2042152.6145265296,0.0,0.0,0.0,1720320.5434765874
715,2022-01-06,1996337.2605076197,1683825.2434333966,1762094.457593494,1996337.2605076197,1996337.2605076197,-274351.45171074936,-274351.45171074936,-274351.45171074936,1799309.2307615967,1799309.2307615967,1799309.2307615967,218.6089914935182,218.6089914935182,218.6089914935182,-2073879.2914638394,-2073879.2914638394,-2073879.2914638394,0.0,0.0,0.0,1721985.8087968703
716,2022-01-07,2028144.0289425508,1683889.208152587,1765492.2121013037,2028144.0289425508,2028144.0289425508,-303331.1490095534,-303331.1490095534,-303331.1490095534,1799309.2307615967,1799309.2307615967,1799309.2307615967,1294.7943348292395,1294.7943348292395,1294.7943348292395,-2103935.1741059795,-2103935.1741059795,-2103935.1741059795,0.0,0.0,0.0,1724812.8799329973
717,2022-01-08,2059950.7973774849,1689275.9473934171,1769534.8563976309,2059950.7973774849,2059950.7973774849,-330700.6631233953,-330700.6631233953,-330700.6631233953,1799309.2307615967,1799309.2307615967,1799309.2307615967,1981.5281523664607,1981.5281523664607,1981.5281523664607,-2131991.422037359,-2131991.422037359,-2131991.422037359,0.0,0.0,0.0,1729250.1342540896
718,2022-01-09,2091757.5658124187,1696236.3456771986,1772025.588063289,2091757.5658124187,2091757.5658124187,-357030.1657127189,-357030.1657127189,-357030.1657127189,1799309.2307615967,1799309.2307615967,1799309.2307615967,1380.3261663449775,1380.3261663449775,1380.3261663449775,-2157719.72264066,-2157719.72264066,-2157719.72264066,0.0,0.0,0.0,1734727.4000996999
719,2022-01-10,2123564.3342473498,1699955.3042445949,1781960.659435229,2123564.3342473498,2123564.3342473498,-382999.7107799057,-382999.7107799057,-382999.7107799057,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1510.8457219957036,-1510.8457219957036,-1510.8457219957036,-2180798.095819507,-2180798.095819507,-2180798.095819507,0.0,0.0,0.0,1740564.623467444
720,2022-01-11,2155371.1026822836,1715490.5890131479,1789734.6417190696,2155371.1026822836,2155371.1026822836,-403605.34158817,-403605.34158817,-403605.34158817,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1997.8470918727699,-1997.8470918727699,-1997.8470918727699,-2200916.725257894,-2200916.725257894,-2200916.725257894,0.0,0.0,0.0,1751765.7610941136
721,2022-01-12,2187177.8711172207,1730649.2207596467,1806076.5195337844,2187177.8711172207,2187177.8711172207,-419841.0214471112,-419841.0214471112,-419841.0214471112,1799309.2307615967,1799309.2307615967,1799309.2307615967,-1366.5648311643881,-1366.5648311643881,-1366.5648311643881,-2217783.6873775427,-2217783.6873775427,-2217783.6873775427,0.0,0.0,0.0,1767336.8496701096
722,2022-01-13,2218984.639552152,1745490.1367720312,1825994.006731946,2218984.639552152,2218984.639552152,-431602.6102200476,-431602.6102200476,-431602.6102200476,1799309.2307615967,1799309.2307615967,1799309.2307615967,218.60899149573868,218.60899149573868,218.60899149573868,-2231130.4499731394,-2231130.4499731394,-2231130.4499731394,0.0,0.0,0.0,1787382.0293321041
723,2022-01-14,2250791.4079870856,1771042.5635147924,1849989.5569013006,2250791.4079870856,2250791.4079870856,-440112.9914041316,-440112.9914041316,-440112.9914041316,1799309.2307615967,1799309.2307615967,1799309.2307615967,1294.79433482579,1294.79433482579,1294.79433482579,-2240717.016500554,-2240717.016500554,-2240717.016500554,0.0,0.0,0.0,1810678.416582954
724,2022-01-15,2282598.17642202,1797607.61204852,1876417.021878882,2282598.17642202,2282598.17642202,-445045.84017218015,-445045.84017218015,-445045.84017218015,1799309.2307615967,1799309.2307615967,1799309.2307615967,1981.528152366238,1981.528152366238,1981.528152366238,-2246336.599086143,-2246336.599086143,-2246336.599086143,0.0,0.0,0.0,1837552.3362498397
