,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,2609560.7406042814,2741211.9724762803,2773935.9835571973,2609560.7406042814,2609560.7406042814,148101.66030256855,148101.66030256855,148101.66030256855,488111.0297554893,488111.0297554893,488111.0297554893,556.2152750180419,556.2152750180419,556.2152750180419,-340565.5847279388,-340565.5847279388,-340565.5847279388,0.0,0.0,0.0,2757662.40090685
711,2022-01-02,2623981.518186075,2742097.669670459,2776921.227523576,2623981.518186075,2623981.518186075,135515.80254079282,135515.80254079282,135515.80254079282,488111.0297554893,488111.0297554893,488111.0297554893,170.56345827253122,170.56345827253122,170.56345827253122,-352765.79067296896,-352765.79067296896,-352765.79067296896,0.0,0.0,0.0,2759497.3207268678
712,2022-01-03,2638402.2957678684,2744528.9323950275,2778420.2862771605,2638402.2957678684,2638402.2957678684,122527.88822115783,122527.88822115783,122527.88822115783,488111.0297554893,488111.0297554893,488111.0297554893,-650.5493960156316,-650.5493960156316,-650.5493960156316,-364932.5921383159,-364932.5921383159,-364932.5921383159,0.0,0.0,0.0,2760930.183989026
713,2022-01-04,2652823.073349662,2746883.2917479887,2779451.4260184835,2652823.073349662,2652823.073349662,110766.6150518676,110766.6150518676,110766.6150518676,488111.0297554893,488111.0297554893,488111.0297554893,-299.53517915249796,-299.53517915249796,-299.53517915249796,-377044.87952446914,-377044.87952446914,-377044.87952446914,0.0,0.0,0.0,2763589.6884015296
714,2022-01-05,2667243.8509314577,2747771.942628907,2782143.236901126,2667243.8509314577,2667243.8509314577,98639.54787350335,98639.54787350335,98639.54787350335,488111.0297554893,488111.0297554893,488111.0297554893,-388.435244887258,-388.435244887258,-388.435244887258,-389083.0466370987,-389083.0466370987,-389083.0466370987,0.0,0.0,0.0,2765883.3988049612
715,2022-01-06,2681664.6285132514,2751365.9585453467,2786091.8192681004,2681664.6285132514,2681664.6285132514,87179.18480237549,87179.18480237549,87179.18480237549,488111.0297554893,488111.0297554893,488111.0297554893,97.49417420946415,97.49417420946415,97.49417420946415,-401029.33912732324,-401029.33912732324,-401029.33912732324,0.0,0.0,0.0,2768843.8133156267
716,2022-01-07,2696085.4060950447,2754239.909277968,2789028.0617068,2696085.4060950447,2696085.4060950447,75757.1437202384,75757.1437202384,75757.1437202384,488111.0297554893,488111.0297554893,488111.0297554893,514.2469125544206,514.2469125544206,514.2469125544206,-412868.1329478054,-412868.1329478054,-412868.1329478054,0.0,0.0,0.0,2771842.549815283
717,2022-01-08,2710506.1836768384,2756920.5466104094,2791513.7195078223,2710506.1836768384,2710506.1836768384,64081.11300916602,64081.11300916602,64081.11300916602,488111.0297554893,488111.0297554893,488111.0297554893,556.215275018747,556.215275018747,556.215275018747,-424586.13202134205,-424586.13202134205,-424586.13202134205,0.0,0.0,0.0,2774587.2966860044
718,2022-01-09,2724926.961258632,2760278.7094155606,2794076.60826254,2724926.961258632,2724926.961258632,52109.11673534145,52109.11673534145,52109.11673534145,488111.0297554893,488111.0297554893,488111.0297554893,170.56345827216708,170.56345827216708,170.56345827216708,-436172.47647842,-436172.47647842,-436172.47647842,0.0,0.0,0.0,2777036.0779939736
719,2022-01-10,2739347.7388404254,2762639.2059585787,2796896.5421279655,2739347.7388404254,2739347.7388404254,39841.725070490844,39841.725070490844,39841.725070490844,488111.0297554893,488111.0297554893,488111.0297554893,-650.5493960158648,-650.5493960158648,-650.5493960158648,-447618.75528898265,-447618.75528898265,-447618.75528898265,0.0,0.0,0.0,2779189.4639109164
720,2022-01-11,2753768.516422219,2764903.03688911,2799732.321868686,2753768.516422219,2753768.516422219,28892.574745509643,28892.574745509643,28892.574745509643,488111.0297554893,488111.0297554893,488111.0297554893,-299.5351791521467,-299.5351791521467,-299.5351791521467,-458918.9198308276,-458918.9198308276,-458918.9198308276,0.0,0.0,0.0,2782661.091167729
721,2022-01-12,2768189.2940040147,2769103.8843406755,2803927.108508756,2768189.2940040147,2768189.2940040147,17653.49668480769,17653.49668480769,17653.49668480769,488111.0297554893,488111.0297554893,488111.0297554893,-388.43524488694055,-388.43524488694055,-388.43524488694055,-470069.09782579466,-470069.09782579466,-470069.09782579466,0.0,0.0,0.0,2785842.7906888225
722,2022-01-13,2782610.0715858084,2773454.266888226,2808122.2377287387,2782610.0715858084,2782610.0715858084,7141.213868130883,7141.213868130883,7141.213868130883,488111.0297554893,488111.0297554893,488111.0297554893,97.49417421061172,97.49417421061172,97.49417421061172,-481067.310061569,-481067.310061569,-481067.310061569,0.0,0.0,0.0,2789751.2854539393
723,2022-01-14,2797030.8491676017,2776961.222889514,2812041.780752219,2797030.8491676017,2797030.8491676017,-3287.8186483635545,-3287.8186483635545,-3287.8186483635545,488111.0297554893,488111.0297554893,488111.0297554893,514.2469125532411,514.2469125532411,514.2469125532411,-491913.09531640616,-491913.09531640616,-491913.09531640616,0.0,0.0,0.0,2793743.030519238
724,2022-01-15,2811451.6267493973,2780305.6874173596,2815084.0907717342,2811451.6267493973,2811451.6267493973,-13939.806801697838,-13939.806801697838,-13939.806801697838,488111.0297554893,488111.0297554893,488111.0297554893,556.2152750182886,556.2152750182886,556.2152750182886,-502607.05183220556,-502607.05183220556,-502607.05183220556,0.0,0.0,0.0,2797511.8199476996
725,2022-01-16,2825872.404331191,2784567.958406511,2817526.5511171264,2825872.404331191,2825872.404331191,-24868.713241205187,-24868.713241205187,-24868.713241205187,488111.0297554893,488111.0297554893,488111.0297554893,170.5634582710523,170.5634582710523,170.5634582710523,-513150.3064549656,-513150.3064549656,-513150.3064549656,0.0,0.0,0.0,2801003.691089986
726,2022-01-17,2840293.1819129847,2787569.8368521472,2820261.795033196,2840293.1819129847,2840293.1819129847,-36083.44473956755,-36083.44473956755,-36083.44473956755,488111.0297554893,488111.0297554893,488111.0297554893,-650.5493960160982,-650.5493960160982,-650.5493960160982,-523543.9250990408,-523543.9250990408,-523543.9250990408,0.0,0.0,0.0,2804209.737173417
727,2022-01-18,2854713.959494778,2791340.2078223964,2826123.1732062153,2854713.959494778,2854713.959494778,-45976.78583932558,-45976.78583932558,-45976.78583932558,488111.0297554893,488111.0297554893,488111.0297554893,-299.53517915179543,-299.53517915179543,-299.53517915179543,-533788.2804156631,-533788.2804156631,-533788.2804156631,0.0,0.0,0.0,2808737.173655452
728,2022-01-19,2869134.7370765735,2795628.843199553,2830251.8085338944,2869134.7370765735,2869134.7370765735,-56159.79987838318,-56159.79987838318,-56159.79987838318,488111.0297554893,488111.0297554893,488111.0297554893,-388.4352448874272,-388.4352448874272,-388.4352448874272,-543882.3943889852,-543882.3943889852,-543882.3943889852,0.0,0.0,0.0,2812974.9371981905
729,2022-01-20,2883555.5146583673,2801121.3439996974,2835296.137776618,2883555.5146583673,2883555.5146583673,-65614.75105431478,-65614.75105431478,-65614.75105431478,488111.0297554893,488111.0297554893,488111.0297554893,97.49417421067173,97.49417421067173,97.49417421067173,-553823.274984015,-553823.274984015,-553823.274984015,0.0,0.0,0.0,2817940.7636040524
730,2022-01-21,2897976.292240161,2806446.3478202773,2840385.0581224835,2897976.292240161,2897976.292240161,-74979.99021307535,-74979.99021307535,-74979.99021307535,488111.0297554893,488111.0297554893,488111.0297554893,514.2469125538382,514.2469125538382,514.2469125538382,-563605.2668811185,-563605.2668811185,-563605.2668811185,0.0,0.0,0.0,2822996.302027086
731,2022-01-22,2912397.0698219542,2811026.5622671163,2844810.9787995634,2912397.0698219542,2912397.0698219542,-84552.19168506352,-84552.19168506352,-84552.19168506352,488111.0297554893,488111.0297554893,488111.0297554893,556.2152750189159,556.2152750189159,556.2152750189159,-573219.4367155716,-573219.4367155716,-573219.4367155716,0.0,0.0,0.0,2827844.878136891
732,2022-01-23,2926817.847403748,2815003.3157404396,2850388.0498715774,2926817.847403748,2926817.847403748,-94371.41986052846,-94371.41986052846,-94371.41986052846,488111.0297554893,488111.0297554893,488111.0297554893,170.56345827143883,170.56345827143883,170.56345827143883,-582653.0130742893,-582653.0130742893,-582653.0130742893,0.0,0.0,0.0,2832446.4275432196
733,2022-01-24,2941238.6249855417,2820168.0079820026,2853841.805182803,2941238.6249855417,2941238.6249855417,-104428.42041938577,-104428.42041938577,-104428.42041938577,488111.0297554893,488111.0297554893,488111.0297554893,-650.5493960151141,-650.5493960151141,-650.5493960151141,-591888.90077886,-591888.90077886,-591888.90077886,0.0,0.0,0.0,2836810.204566156
734,2022-01-25,2955659.4025673373,2826051.6662111706,2858835.586556902,2955659.4025673373,2955659.4025673373,-113093.79313275852,-113093.79313275852,-113093.79313275852,488111.0297554893,488111.0297554893,488111.0297554893,-299.53517915198455,-299.53517915198455,-299.53517915198455,-600905.2877090959,-600905.2877090959,-600905.2877090959,0.0,0.0,0.0,2842565.6094345786
735,2022-01-26,2970080.1801491305,2830535.2920260285,2865488.0889377235,2970080.1801491305,2970080.1801491305,-121952.76610763565,-121952.76610763565,-121952.76610763565,488111.0297554893,488111.0297554893,488111.0297554893,-388.4352448871097,-388.4352448871097,-388.4352448871097,-609675.360618238,-609675.360618238,-609675.360618238,0.0,0.0,0.0,2848127.414041495
736,2022-01-27,2984500.9577309242,2836491.612509447,2871973.0778742684,2984500.9577309242,2984500.9577309242,-129958.62016509287,-129958.62016509287,-129958.62016509287,488111.0297554893,488111.0297554893,488111.0297554893,97.4941742107318,97.4941742107318,97.4941742107318,-618167.1440947929,-618167.1440947929,-618167.1440947929,0.0,0.0,0.0,2854542.3375658314
737,2022-01-28,2998921.735312718,2843676.060433131,2878231.3012701557,2998921.735312718,2998921.735312718,-137718.19742015307,-137718.19742015307,-137718.19742015307,488111.0297554893,488111.0297554893,488111.0297554893,514.2469125544354,514.2469125544354,514.2469125544354,-626343.4740881969,-626343.4740881969,-626343.4740881969,0.0,0.0,0.0,2861203.537892565
738,2022-01-29,3013342.5128945117,2851221.7606356004,2883901.2486025514,3013342.5128945117,3013342.5128945117,-145494.86926693626,-145494.86926693626,-145494.86926693626,488111.0297554893,488111.0297554893,488111.0297554893,556.2152750195435,556.2152750195435,556.2152750195435,-634162.1142974453,-634162.1142974453,-634162.1142974453,0.0,0.0,0.0,2867847.6436275756
739,2022-01-30,3027763.290476305,2858118.49961866,2891123.6031312053,3027763.290476305,3027763.290476305,-153294.42708557186,-153294.42708557186,-153294.42708557186,488111.0297554893,488111.0297554893,488111.0297554893,170.56345827327053,170.56345827327053,170.56345827327053,-641576.0202993344,-641576.0202993344,-641576.0202993344,0.0,0.0,0.0,2874468.863390733
740,2022-01-31,3042184.0680581005,2864323.119783863,2897947.8563020313,3042184.0680581005,3042184.0680581005,-161073.27228920007,-161073.27228920007,-161073.27228920007,488111.0297554893,488111.0297554893,488111.0297554893,-650.5493960153475,-650.5493960153475,-650.5493960153475,-648533.752648674,-648533.752648674,-648533.752648674,0.0,0.0,0.0,2881110.7957689003
741,2022-02-01,3056604.8456398943,2872085.2952292995,2906055.0660809544,3056604.8456398943,3056604.8456398943,-167168.54182999145,-167168.54182999145,-167168.54182999145,488111.0297554893,488111.0297554893,488111.0297554893,-299.5351791516334,-299.5351791516334,-299.5351791516334,-654980.0364063293,-654980.0364063293,-654980.0364063293,0.0,0.0,0.0,2889436.3038099026
742,2022-02-02,3071025.623221688,2881537.233514176,2915045.1719001657,3071025.623221688,3071025.623221688,-173133.8662297477,-173133.8662297477,-173133.8662297477,488111.0297554893,488111.0297554893,488111.0297554893,-388.43524488754554,-388.43524488754554,-388.43524488754554,-660856.4607403495,-660856.4607403495,-660856.4607403495,0.0,0.0,0.0,2897891.75699194
743,2022-02-03,3085446.400803481,2890438.897951106,2925400.796899155,3085446.400803481,3085446.400803481,-177893.78456592196,-177893.78456592196,-177893.78456592196,488111.0297554893,488111.0297554893,488111.0297554893,97.49417421079184,97.49417421079184,97.49417421079184,-666102.3084956221,-666102.3084956221,-666102.3084956221,0.0,0.0,0.0,2907552.6162375594
