,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,4360533.7831697995,4104751.9015747956,4155781.754431072,4360533.7831697995,4360533.7831697995,-230806.7483566196,-230806.7483566196,-230806.7483566196,43453.79399174931,43453.79399174931,43453.79399174931,2265.353458217389,2265.353458217389,2265.353458217389,-276525.8958065863,-276525.8958065863,-276525.8958065863,0.0,0.0,0.0,4129727.03481318
711,2022-01-02,4368177.578885098,4113136.4293697793,4163514.510848192,4368177.578885098,4368177.578885098,-230945.79171742473,-230945.79171742473,-230945.79171742473,43453.79399174931,43453.79399174931,43453.79399174931,1100.9769305176192,1100.9769305176192,1100.9769305176192,-275500.5626396917,-275500.5626396917,-275500.5626396917,0.0,0.0,0.0,4137231.7871676735
712,2022-01-03,4375821.3746003965,4116976.604438745,4166346.3496457436,4375821.3746003965,4375821.3746003965,-233281.5795815843,-233281.5795815843,-233281.5795815843,43453.79399174931,43453.79399174931,43453.79399174931,-2047.891422982296,-2047.891422982296,-2047.891422982296,-274687.48215035134,-274687.48215035134,-274687.48215035134,0.0,0.0,0.0,4142539.795018812
713,2022-01-04,4383465.170315695,4125209.585790421,4175203.0569285196,4383465.170315695,4383465.170315695,-233203.1816577911,-233203.1816577911,-233203.1816577911,43453.79399174931,43453.79399174931,43453.79399174931,-2750.429263740966,-2750.429263740966,-2750.429263740966,-273906.5463857995,-273906.5463857995,-273906.5463857995,0.0,0.0,0.0,4150261.988657904
714,2022-01-05,4391108.9660309935,4135540.446620519,4186405.6078364714,4391108.9660309935,4391108.9660309935,-230523.21435054424,-230523.21435054424,-230523.21435054424,43453.79399174931,43453.79399174931,43453.79399174931,-1011.3063523015865,-1011.3063523015865,-1011.3063523015865,-272965.701989992,-272965.701989992,-272965.701989992,0.0,0.0,0.0,4160585.751680449
715,2022-01-06,4398752.761746292,4143811.0256301346,4197195.276807643,4398752.761746292,4398752.761746292,-227449.95757433074,-227449.95757433074,-227449.95757433074,43453.79399174931,43453.79399174931,43453.79399174931,760.4170596985015,760.4170596985015,760.4170596985015,-271664.1686257785,-271664.1686257785,-271664.1686257785,0.0,0.0,0.0,4171302.8041719613
716,2022-01-07,4406396.5574615905,4157564.1376307094,4206301.909028828,4406396.5574615905,4406396.5574615905,-224659.26705457616,-224659.26705457616,-224659.26705457616,43453.79399174931,43453.79399174931,43453.79399174931,1682.879590595339,1682.879590595339,1682.879590595339,-269795.94063692086,-269795.94063692086,-269795.94063692086,0.0,0.0,0.0,4181737.2904070145
717,2022-01-08,4414040.353176889,4168116.8435210628,4218864.763575994,4414040.353176889,4414040.353176889,-221434.35266724095,-221434.35266724095,-221434.35266724095,43453.79399174931,43453.79399174931,43453.79399174931,2265.3534582172088,2265.3534582172088,2265.3534582172088,-267153.50011720747,-267153.50011720747,-267153.50011720747,0.0,0.0,0.0,4192606.000509648
718,2022-01-09,4421684.148892187,4175243.816542516,4229052.082658315,4421684.148892187,4421684.148892187,-218976.89252979757,-218976.89252979757,-218976.89252979757,43453.79399174931,43453.79399174931,43453.79399174931,1100.9769305157463,1100.9769305157463,1100.9769305157463,-263531.6634520627,-263531.6634520627,-263531.6634520627,0.0,0.0,0.0,4202707.256362389
719,2022-01-10,4429327.944607485,4187566.682162635,4238284.8873207,4429327.944607485,4429327.944607485,-217325.5765482619,-217325.5765482619,-217325.5765482619,43453.79399174931,43453.79399174931,43453.79399174931,-2047.8914229841473,-2047.8914229841473,-2047.8914229841473,-258731.47911702708,-258731.47911702708,-258731.47911702708,0.0,0.0,0.0,4212002.3680592235
