,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
710,2022-01-01,3444587.474183646,3449822.0695436373,3477850.492674322,3444587.474183646,3444587.474183646,19203.992628874646,19203.992628874646,19203.992628874646,-161441.09805696792,-161441.09805696792,-161441.09805696792,1130.983730278998,1130.983730278998,1130.983730278998,179514.10695556356,179514.10695556356,179514.10695556356,0.0,0.0,0.0,3463791.4668125208
711,2022-01-02,3449996.6734883576,3455690.2897055997,3485533.187597099,3449996.6734883576,3449996.6734883576,21099.354855209156,21099.354855209156,21099.354855209156,-161441.09805696792,-161441.09805696792,-161441.09805696792,720.0966887443473,720.0966887443473,720.0966887443473,181820.35622343273,181820.35622343273,181820.35622343273,0.0,0.0,0.0,3471096.0283435667
712,2022-01-03,3455405.872793069,3461167.7263243548,3491257.6893490213,3455405.872793069,3455405.872793069,21310.861503915876,21310.861503915876,21310.861503915876,-161441.09805696792,-161441.09805696792,-161441.09805696792,-895.6106225713746,-895.6106225713746,-895.6106225713746,183647.5701834552,183647.5701834552,183647.5701834552,0.0,0.0,0.0,3476716.734296985
713,2022-01-04,3460815.072097781,3467962.402735145,3498098.040890675,3460815.072097781,3460815.072097781,22082.959702167707,22082.959702167707,22082.959702167707,-161441.09805696792,-161441.09805696792,-161441.09805696792,-1534.8783728208448,-1534.8783728208448,-1534.8783728208448,185058.93613195652,185058.93613195652,185058.93613195652,0.0,0.0,0.0,3482898.031799949
714,2022-01-05,3466224.2714024936,3474879.275360471,3505926.351178362,3466224.2714024936,3466224.2714024936,24132.629857825516,24132.629857825516,24132.629857825516,-161441.09805696792,-161441.09805696792,-161441.09805696792,-543.5556835474212,-543.5556835474212,-543.5556835474212,186117.28359834087,186117.28359834087,186117.28359834087,0.0,0.0,0.0,3490356.901260319
715,2022-01-06,3471633.470707205,3481765.7796001364,3511780.477283162,3471633.470707205,3471633.470707205,25714.747375197716,25714.747375197716,25714.747375197716,-161441.09805696792,-161441.09805696792,-161441.09805696792,272.26715623126853,272.26715623126853,272.26715623126853,186883.5782759344,186883.5782759344,186883.5782759344,0.0,0.0,0.0,3497348.218082403
716,2022-01-07,3477042.6700119167,3488454.9340514517,3518612.1292574694,3477042.6700119167,3477042.6700119167,26825.131573012568,26825.131573012568,26825.131573012568,-161441.09805696792,-161441.09805696792,-161441.09805696792,850.6971036877009,850.6971036877009,850.6971036877009,187415.53252629284,187415.53252629284,187415.53252629284,0.0,0.0,0.0,3503867.801584929
717,2022-01-08,3482451.8693166287,3494295.6339262673,3523424.871669277,3482451.8693166287,3482451.8693166287,27456.248975865074,27456.248975865074,27456.248975865074,-161441.09805696792,-161441.09805696792,-161441.09805696792,1130.983730278508,1130.983730278508,1130.983730278508,187766.3633025545,187766.3633025545,187766.3633025545,0.0,0.0,0.0,3509908.1182924937
718,2022-01-09,3487861.068621341,3500405.3828607686,3529483.4703241154,3487861.068621341,3487861.068621341,27262.72252805581,27262.72252805581,27262.72252805581,-161441.09805696792,-161441.09805696792,-161441.09805696792,720.0966887433381,720.0966887433381,720.0966887433381,187983.7238962804,187983.7238962804,187983.7238962804,0.0,0.0,0.0,3515123.791149397
719,2022-01-10,3493270.2679260527,3504692.8721853103,3533153.155943021,3493270.2679260527,3493270.2679260527,25772.12219072503,25772.12219072503,25772.12219072503,-161441.09805696792,-161441.09805696792,-161441.09805696792,-895.6106225723374,-895.6106225723374,-895.6106225723374,188108.8308702653,188108.8308702653,188108.8308702653,0.0,0.0,0.0,3519042.3901167777
