,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,50881.80511083821,32550.949271448262,69388.90444132082,50881.80511083821,50881.80511083821,606.8531528548167,606.8531528548167,606.8531528548167,890.6235051954498,890.6235051954498,890.6235051954498,620.8422649426087,620.8422649426087,620.8422649426087,-904.6126172832418,-904.6126172832418,-904.6126172832418,0.0,0.0,0.0,51488.65826369303
812,2022-04-13,51149.01817350922,32839.14892691223,68213.96988898246,51147.13474883069,51149.15376580759,356.7966554347814,356.7966554347814,356.7966554347814,890.6235051954498,890.6235051954498,890.6235051954498,694.2031017467914,694.2031017467914,694.2031017467914,-1228.0299515074598,-1228.0299515074598,-1228.0299515074598,0.0,0.0,0.0,51505.814828944
813,2022-04-14,51416.23123618027,32375.206342738362,70982.30442388605,51403.73241636375,51422.938639710555,206.02852799791475,206.02852799791475,206.02852799791475,890.6235051954498,890.6235051954498,890.6235051954498,811.2796333571827,811.2796333571827,811.2796333571827,-1495.8746105547177,-1495.8746105547177,-1495.8746105547177,0.0,0.0,0.0,51622.25976417818
814,2022-04-15,51683.44429885131,32205.64986409881,68001.69931339832,51659.00529946704,51703.05006658703,-953.4352607061936,-953.4352607061936,-953.4352607061936,890.6235051954498,890.6235051954498,890.6235051954498,-140.66055109808497,-140.66055109808497,-140.66055109808497,-1703.3982148035586,-1703.3982148035586,-1703.3982148035586,0.0,0.0,0.0,50730.009038145115
815,2022-04-16,51950.65736152235,34233.10576606626,69758.04182926964,51909.70800470472,51983.05861425333,-1052.7461952214262,-1052.7461952214262,-1052.7461952214262,890.6235051954498,890.6235051954498,890.6235051954498,-95.67568627967111,-95.67568627967111,-95.67568627967111,-1847.6940141372052,-1847.6940141372052,-1847.6940141372052,0.0,0.0,0.0,50897.911166300924
816,2022-04-17,52217.87042419336,31581.041705761585,68126.64473539568,52156.24532672439,52265.63617788955,-2430.76671711213,-2430.76671711213,-2430.76671711213,890.6235051954498,890.6235051954498,890.6235051954498,-1393.6537882039372,-1393.6537882039372,-1393.6537882039372,-1927.7364341036428,-1927.7364341036428,-1927.7364341036428,0.0,0.0,0.0,49787.10370708123
817,2022-04-18,52485.083486864445,32040.028757260672,69454.41470733318,52403.73985507949,52549.476704158675,-1550.0770749124147,-1550.0770749124147,-1550.0770749124147,890.6235051954498,890.6235051954498,890.6235051954498,-496.33497446544095,-496.33497446544095,-496.33497446544095,-1944.365605642424,-1944.365605642424,-1944.365605642424,0.0,0.0,0.0,50935.00641195203
818,2022-04-19,52752.29654953549,34174.835334837626,71009.43061923241,52645.8332117324,52832.973738292814,-388.7523915054922,-388.7523915054922,-388.7523915054922,890.6235051954498,890.6235051954498,890.6235051954498,620.8422649438688,620.8422649438688,620.8422649438688,-1900.2181616448106,-1900.2181616448106,-1900.2181616448106,0.0,0.0,0.0,52363.544158029996
819,2022-04-20,53019.50961220653,34934.591120225385,71436.1449963365,52888.95732250264,53118.46370312138,-214.78054497362663,-214.78054497362663,-214.78054497362663,890.6235051954498,890.6235051954498,890.6235051954498,694.2031017461139,694.2031017461139,694.2031017461139,-1799.6071519151901,-1799.6071519151901,-1799.6071519151901,0.0,0.0,0.0,52804.7290672329
820,2022-04-21,53286.72267487758,34211.97584613789,72540.88886132636,53138.74741100952,53398.55538462154,53.54774589018032,53.54774589018032,53.54774589018032,890.6235051954498,890.6235051954498,890.6235051954498,811.279633358646,811.279633358646,811.279633358646,-1648.3553926639156,-1648.3553926639156,-1648.3553926639156,0.0,0.0,0.0,53340.27042076776
821,2022-04-22,53553.93573754862,34829.370722667874,71414.18496306766,53388.07883514028,53686.69146259723,-703.6249308870001,-703.6249308870001,-703.6249308870001,890.6235051954498,890.6235051954498,890.6235051954498,-140.66055109724275,-140.66055109724275,-140.66055109724275,-1453.5878849852074,-1453.5878849852074,-1453.5878849852074,0.0,0.0,0.0,52850.31080666162
822,2022-04-23,53821.148800219664,34505.174538229534,71703.8556485841,53636.985091222625,53971.774244013206,-428.5422525405737,-428.5422525405737,-428.5422525405737,890.6235051954498,890.6235051954498,890.6235051954498,-95.67568627967424,-95.67568627967424,-95.67568627967424,-1223.4900714563491,-1223.4900714563491,-1223.4900714563491,0.0,0.0,0.0,53392.60654767909
823,2022-04-24,54088.36186289067,32927.39917557116,70612.84436027381,53885.54364345886,54257.90271750927,-1470.069902222996,-1470.069902222996,-1470.069902222996,890.6235051954498,890.6235051954498,890.6235051954498,-1393.6537882018492,-1393.6537882018492,-1393.6537882018492,-967.0396192165969,-967.0396192165969,-967.0396192165969,0.0,0.0,0.0,52618.29196066767
824,2022-04-25,54355.574925561756,36762.612732837675,71728.13859474538,54127.29456761403,54547.53695704453,-299.4315663036523,-299.4315663036523,-299.4315663036523,890.6235051954498,890.6235051954498,890.6235051954498,-496.33497446268746,-496.33497446268746,-496.33497446268746,-693.7200970364148,-693.7200970364148,-693.7200970364148,0.0,0.0,0.0,54056.1433592581
825,2022-04-26,54622.7879882328,35950.65686531313,73940.06134918515,54375.66954727773,54840.56131114352,1098.2404350470906,1098.2404350470906,1098.2404350470906,890.6235051954498,890.6235051954498,890.6235051954498,620.84226494145,620.84226494145,620.84226494145,-413.22533508980905,-413.22533508980905,-413.22533508980905,0.0,0.0,0.0,55721.02842327989
826,2022-04-27,54890.00105090385,37098.96062003041,74503.2487558655,54611.3695205125,55129.76230775965,1449.6631968671247,1449.6631968671247,1449.6631968671247,890.6235051954498,890.6235051954498,890.6235051954498,694.2031017454361,694.2031017454361,694.2031017454361,-135.16341007376118,-135.16341007376118,-135.16341007376118,0.0,0.0,0.0,56339.664247770976
