,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,211000.5841059043,139538.63452314414,251988.95254049957,211000.5841059043,211000.5841059043,-16471.2170800058,-16471.2170800058,-16471.2170800058,-10841.29267476394,-10841.29267476394,-10841.29267476394,-4233.9543381767,-4233.9543381767,-4233.9543381767,-1395.9700670651619,-1395.9700670651619,-1395.9700670651619,0.0,0.0,0.0,194529.3670258985
812,2022-04-13,212074.66741676105,153550.38839171702,261228.73091660268,212074.66741676105,212077.13318007631,-4305.283337988981,-4305.283337988981,-4305.283337988981,-10841.29267476394,-10841.29267476394,-10841.29267476394,7695.779242796185,7695.779242796185,7695.779242796185,-1159.7699060212267,-1159.7699060212267,-1159.7699060212267,0.0,0.0,0.0,207769.38407877207
813,2022-04-14,213148.7507276179,162661.66558138584,266195.61532236694,213126.47495902606,213173.75310180217,219.35958289923684,219.35958289923684,219.35958289923684,-10841.29267476394,-10841.29267476394,-10841.29267476394,11816.604222376634,11816.604222376634,11816.604222376634,-755.9519647134593,-755.9519647134593,-755.9519647134593,0.0,0.0,0.0,213368.11031051714
814,2022-04-15,214222.83403847457,155449.51310325522,266912.86081785476,214154.16743748388,214295.45018857752,-5190.653491039436,-5190.653491039436,-5190.653491039436,-10841.29267476394,-10841.29267476394,-10841.29267476394,5851.668803327404,5851.668803327404,5851.668803327404,-201.02961960290017,-201.02961960290017,-201.02961960290017,0.0,0.0,0.0,209032.18054743513
815,2022-04-16,215296.91734933155,155504.91932415563,263589.50060261675,215186.41426652324,215449.75242146125,-7567.264878682311,-7567.264878682311,-7567.264878682311,-10841.29267476394,-10841.29267476394,-10841.29267476394,2788.587549150914,2788.587549150914,2788.587549150914,485.44024693071464,485.44024693071464,485.44024693071464,0.0,0.0,0.0,207729.65247064925
816,2022-04-17,216371.00066018818,143753.73418220444,251521.00237618232,216216.7588317639,216586.61631946452,-18498.32042445497,-18498.32042445497,-18498.32042445497,-10841.29267476394,-10841.29267476394,-10841.29267476394,-8938.415198848934,-8938.415198848934,-8938.415198848934,1281.387449157904,1281.387449157904,1281.387449157904,0.0,0.0,0.0,197872.68023573322
817,2022-04-18,217445.08397104504,136765.20242556426,252468.5825599676,217233.6897043821,217714.0451510504,-23658.75409405967,-23658.75409405967,-23658.75409405967,-10841.29267476394,-10841.29267476394,-10841.29267476394,-14980.270280636232,-14980.270280636232,-14980.270280636232,2162.8088613405052,2162.8088613405052,2162.8088613405052,0.0,0.0,0.0,193786.32987698537
818,2022-04-19,218519.16728190202,155381.91025295702,267086.215667482,218250.30562459287,218853.17176962385,-11970.863351404163,-11970.863351404163,-11970.863351404163,-10841.29267476394,-10841.29267476394,-10841.29267476394,-4233.954338163632,-4233.954338163632,-4233.954338163632,3104.3836615234113,3104.3836615234113,3104.3836615234113,0.0,0.0,0.0,206548.30393049784
819,2022-04-20,219593.25059275865,163729.86558422277,266404.7815492895,219249.8085562143,220004.73034088456,934.594099700325,934.594099700325,934.594099700325,-10841.29267476394,-10841.29267476394,-10841.29267476394,7695.779242801384,7695.779242801384,7695.779242801384,4080.1075316628812,4080.1075316628812,4080.1075316628812,0.0,0.0,0.0,220527.84469245898
820,2022-04-21,220667.3339036155,167362.1886385458,278814.1634134979,220258.3934724163,221173.07311759389,6039.241212173285,6039.241212173285,6039.241212173285,-10841.29267476394,-10841.29267476394,-10841.29267476394,11816.604222386273,11816.604222386273,11816.604222386273,5063.92966455095,5063.92966455095,5063.92966455095,0.0,0.0,0.0,226706.5751157888
