,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,21135.24055110333,14818.778532735083,26121.552935427593,21135.24055110333,21135.24055110333,-688.1996535278695,-688.1996535278695,-688.1996535278695,-644.1637578349513,-644.1637578349513,-644.1637578349513,1136.4192214580382,1136.4192214580382,1136.4192214580382,-1180.4551171509565,-1180.4551171509565,-1180.4551171509565,0.0,0.0,0.0,20447.040897575458
812,2022-04-13,21217.87732029299,13916.344690873555,25681.569069370802,21216.96167543069,21218.662918396654,-1335.7897002486368,-1335.7897002486368,-1335.7897002486368,-644.1637578349513,-644.1637578349513,-644.1637578349513,414.66685636971357,414.66685636971357,414.66685636971357,-1106.2927987833991,-1106.2927987833991,-1106.2927987833991,0.0,0.0,0.0,19882.087620044356
813,2022-04-14,21300.51408948268,13979.867350080916,25797.491349324802,21296.785372893806,21303.261215665294,-1373.1936464519786,-1373.1936464519786,-1373.1936464519786,-644.1637578349513,-644.1637578349513,-644.1637578349513,274.5290883561514,274.5290883561514,274.5290883561514,-1003.5589769731789,-1003.5589769731789,-1003.5589769731789,0.0,0.0,0.0,19927.3204430307
814,2022-04-15,21383.150858672347,14100.427490184604,26217.30718993114,21374.56921546098,21391.049211994618,-1293.5951971019579,-1293.5951971019579,-1293.5951971019579,-644.1637578349513,-644.1637578349513,-644.1637578349513,226.35709405017062,226.35709405017062,226.35709405017062,-875.7885333171776,-875.7885333171776,-875.7885333171776,0.0,0.0,0.0,20089.55566157039
815,2022-04-16,21465.787627862024,13550.771292157231,26038.92519227747,21452.923745918884,21477.613330820546,-1594.8793328404197,-1594.8793328404197,-1594.8793328404197,-644.1637578349513,-644.1637578349513,-644.1637578349513,-223.61081045840155,-223.61081045840155,-223.61081045840155,-727.1047645470666,-727.1047645470666,-727.1047645470666,0.0,0.0,0.0,19870.908295021603
816,2022-04-17,21548.424397051687,13018.160702358775,24786.335477234243,21530.937835937104,21565.50792696226,-2822.392543546028,-2822.392543546028,-2822.392543546028,-644.1637578349513,-644.1637578349513,-644.1637578349513,-1616.1324709404867,-1616.1324709404867,-1616.1324709404867,-562.0963147705907,-562.0963147705907,-562.0963147705907,0.0,0.0,0.0,18726.031853505658
817,2022-04-18,21631.061166241365,14849.290203327377,26151.72590663801,21607.924547915474,21655.015328115773,-1242.075731345932,-1242.075731345932,-1242.075731345932,-644.1637578349513,-644.1637578349513,-644.1637578349513,-212.22897883148093,-212.22897883148093,-212.22897883148093,-385.6829946794998,-385.6829946794998,-385.6829946794998,0.0,0.0,0.0,20388.985434895432
818,2022-04-19,21713.697935431053,16389.98903854437,28357.963698004136,21686.694066686123,21745.80544976866,289.2810167386184,289.2810167386184,289.2810167386184,-644.1637578349513,-644.1637578349513,-644.1637578349513,1136.419221458667,1136.419221458667,1136.419221458667,-202.97444688509725,-202.97444688509725,-202.97444688509725,0.0,0.0,0.0,22002.978952169673
819,2022-04-20,21796.334704620716,15736.976337460314,27433.864744165425,21763.323283331803,21835.22091967532,-248.62267632409868,-248.62267632409868,-248.62267632409868,-644.1637578349513,-644.1637578349513,-644.1637578349513,414.666856368678,414.666856368678,414.666856368678,-19.12577485782532,-19.12577485782532,-19.12577485782532,0.0,0.0,0.0,21547.712028296617
820,2022-04-21,21878.971473810394,15366.656859499786,27755.062734745305,21835.730881157415,21924.588448130897,-208.82896012094102,-208.82896012094102,-208.82896012094102,-644.1637578349513,-644.1637578349513,-644.1637578349513,274.529088355547,274.529088355547,274.529088355547,160.8057093584633,160.8057093584633,160.8057093584633,0.0,0.0,0.0,21670.142513689454
