,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,66952.83968011323,42301.17355606256,79205.63357899277,66952.83968011323,66952.83968011323,-6291.587510295541,-6291.587510295541,-6291.587510295541,-9287.77173997987,-9287.77173997987,-9287.77173997987,-339.9736211461362,-339.9736211461362,-339.9736211461362,3336.157850830464,3336.157850830464,3336.157850830464,0.0,0.0,0.0,60661.25216981769
812,2022-04-13,67232.95928596013,46181.61984944374,80795.80949979021,67231.86929760112,67238.67922729535,-4590.308965656134,-4590.308965656134,-4590.308965656134,-9287.77173997987,-9287.77173997987,-9287.77173997987,1009.5511570920492,1009.5511570920492,1009.5511570920492,3687.9116172316867,3687.9116172316867,3687.9116172316867,0.0,0.0,0.0,62642.65032030399
813,2022-04-14,67513.07889180705,47780.749934385465,80662.28860896679,67502.17009160685,67532.30181390235,-4148.808554095505,-4148.808554095505,-4148.808554095505,-9287.77173997987,-9287.77173997987,-9287.77173997987,1118.4270861684663,1118.4270861684663,1118.4270861684663,4020.5360997158964,4020.5360997158964,4020.5360997158964,0.0,0.0,0.0,63364.27033771154
814,2022-04-15,67793.19849765392,46743.45405108601,81306.31365794639,67763.92876347428,67835.1929795558,-4192.615350427287,-4192.615350427287,-4192.615350427287,-9287.77173997987,-9287.77173997987,-9287.77173997987,765.1141047144739,765.1141047144739,765.1141047144739,4330.042284838109,4330.042284838109,4330.042284838109,0.0,0.0,0.0,63600.583147226636
815,2022-04-16,68073.31810350086,46881.68023652987,80349.45290772093,68014.33771026223,68142.32630286708,-4113.128000230478,-4113.128000230478,-4113.128000230478,-9287.77173997987,-9287.77173997987,-9287.77173997987,561.5566526671697,561.5566526671697,561.5566526671697,4613.08708708222,4613.08708708222,4613.08708708222,0.0,0.0,0.0,63960.19010327038
816,2022-04-17,68353.43770934774,46647.58340278836,81519.37177588562,68275.7288733325,68447.51838255893,-4844.516793742093,-4844.516793742093,-4844.516793742093,-9287.77173997987,-9287.77173997987,-9287.77173997987,-423.76600129901067,-423.76600129901067,-423.76600129901067,4867.020947536787,4867.020947536787,4867.020947536787,0.0,0.0,0.0,63508.920915605646
817,2022-04-18,68633.55731519467,44529.44012446568,78647.59555983124,68529.24952590342,68757.48610359717,-6888.764395998765,-6888.764395998765,-6888.764395998765,-9287.77173997987,-9287.77173997987,-9287.77173997987,-2690.9093781991246,-2690.9093781991246,-2690.9093781991246,5089.916722180227,5089.916722180227,5089.916722180227,0.0,0.0,0.0,61744.79291919591
818,2022-04-19,68913.6769210416,46778.36265238134,80241.68185523793,68784.15298827345,69066.43509150464,-4347.165808322641,-4347.165808322641,-4347.165808322641,-9287.77173997987,-9287.77173997987,-9287.77173997987,-339.9736211445238,-339.9736211445238,-339.9736211445238,5280.579552801752,5280.579552801752,5280.579552801752,0.0,0.0,0.0,64566.51111271895
819,2022-04-20,69193.79652688849,48841.36511550569,82091.22777148428,69036.023842844,69371.5886318078,-2839.682637312044,-2839.682637312044,-2839.682637312044,-9287.77173997987,-9287.77173997987,-9287.77173997987,1009.5511570931856,1009.5511570931856,1009.5511570931856,5438.53794557464,5438.53794557464,5438.53794557464,0.0,0.0,0.0,66354.11388957645
820,2022-04-21,69473.91613273541,50298.390993996676,82642.11961645182,69285.7303483903,69681.5025392921,-2605.327856319783,-2605.327856319783,-2605.327856319783,-9287.77173997987,-9287.77173997987,-9287.77173997987,1118.427086170469,1118.427086170469,1118.427086170469,5564.016797489617,5564.016797489617,5564.016797489617,0.0,0.0,0.0,66868.58827641563
821,2022-04-22,69754.03573858229,50268.413593946054,83243.58992181052,69538.69885333882,69999.16623982177,-2864.7640405105753,-2864.7640405105753,-2864.7640405105753,-9287.77173997987,-9287.77173997987,-9287.77173997987,765.114104717245,765.114104717245,765.114104717245,5657.893594752051,5657.893594752051,5657.893594752051,0.0,0.0,0.0,66889.27169807171
822,2022-04-23,70034.15534442922,49482.14408277763,85444.13040431282,69768.46217195294,70329.28738768326,-3004.5756406254754,-3004.5756406254754,-3004.5756406254754,-9287.77173997987,-9287.77173997987,-9287.77173997987,561.5566526686088,561.5566526686088,561.5566526686088,5721.639446685785,5721.639446685785,5721.639446685785,0.0,0.0,0.0,67029.57970380374
823,2022-04-24,70314.2749502761,48142.33795810312,82844.20791992736,70010.03551350039,70637.35743063227,-3954.2907393861856,-3954.2907393861856,-3954.2907393861856,-9287.77173997987,-9287.77173997987,-9287.77173997987,-423.7660012990192,-423.7660012990192,-423.7660012990192,5757.247001892703,5757.247001892703,5757.247001892703,0.0,0.0,0.0,66359.98421088992
824,2022-04-25,70594.39455612304,47025.58928813667,81683.56171320123,70241.02194742754,70956.7154351317,-6211.533507599671,-6211.533507599671,-6211.533507599671,-9287.77173997987,-9287.77173997987,-9287.77173997987,-2690.9093781990987,-2690.9093781990987,-2690.9093781990987,5767.147610579296,5767.147610579296,5767.147610579296,0.0,0.0,0.0,64382.861048523366
825,2022-04-26,70874.51416196996,50566.30569122324,83817.53013258128,70473.50670622688,71286.15357307125,-3873.6250210312255,-3873.6250210312255,-3873.6250210312255,-9287.77173997987,-9287.77173997987,-9287.77173997987,-339.97362115335096,-339.97362115335096,-339.97362115335096,5754.120340101995,5754.120340101995,5754.120340101995,0.0,0.0,0.0,67000.88914093873
826,2022-04-27,71154.63376781685,51537.89311931132,85867.13793992138,70701.13115330871,71622.157736227,-2557.024968358955,-2557.024968358955,-2557.024968358955,-9287.77173997987,-9287.77173997987,-9287.77173997987,1009.551157094322,1009.551157094322,1009.551157094322,5721.195614526592,5721.195614526592,5721.195614526592,0.0,0.0,0.0,68597.6087994579
827,2022-04-28,71434.75337366377,52469.70744091713,85957.79098765767,70923.53806443317,71942.02804623301,-2497.788323827151,-2497.788323827151,-2497.788323827151,-9287.77173997987,-9287.77173997987,-9287.77173997987,1118.4270861721247,1118.4270861721247,1118.4270861721247,5671.5563299805945,5671.5563299805945,5671.5563299805945,0.0,0.0,0.0,68936.96504983662
828,2022-04-29,71714.8729795106,52419.19905480291,85885.21642608447,71148.67832315965,72279.2913868966,-2914.2183399932055,-2914.2183399932055,-2914.2183399932055,-9287.77173997987,-9287.77173997987,-9287.77173997987,765.1141047151616,765.1141047151616,765.1141047151616,5608.4392952715025,5608.4392952715025,5608.4392952715025,0.0,0.0,0.0,68800.6546395174
829,2022-04-30,71994.99258535754,50707.271487704274,86496.44677658107,71369.80555855618,72593.45834188527,-3191.1753241072115,-3191.1753241072115,-3191.1753241072115,-9287.77173997987,-9287.77173997987,-9287.77173997987,561.5566526676639,561.5566526676639,561.5566526676639,5535.039763204993,5535.039763204993,5535.039763204993,0.0,0.0,0.0,68803.81726125033
