,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,17953.12714967266,7520.318509989614,22776.216438090625,17953.12714967266,17953.12714967266,-2753.376945463543,-2753.376945463543,-2753.376945463543,-244.3704322577746,-244.3704322577746,-244.3704322577746,-180.6346216166892,-180.6346216166892,-180.6346216166892,-2328.371891589079,-2328.371891589079,-2328.371891589079,0.0,0.0,0.0,15199.750204209115
812,2022-04-13,17995.11731864096,8243.837459382454,23122.41194328269,17995.11731864096,17995.385480431276,-2312.580976714684,-2312.580976714684,-2312.580976714684,-244.3704322577746,-244.3704322577746,-244.3704322577746,192.65242109616588,192.65242109616588,192.65242109616588,-2260.8629655530754,-2260.8629655530754,-2260.8629655530754,0.0,0.0,0.0,15682.536341926278
813,2022-04-14,18037.107487609268,8335.822107418098,23514.379898839245,18036.106871650758,18038.57537504279,-1981.805884147574,-1981.805884147574,-1981.805884147574,-244.3704322577746,-244.3704322577746,-244.3704322577746,443.86535734585584,443.86535734585584,443.86535734585584,-2181.300809235656,-2181.300809235656,-2181.300809235656,0.0,0.0,0.0,16055.301603461694
814,2022-04-15,18079.09765657757,8173.209587163603,23610.710935112314,18076.273829571364,18082.156123885197,-1888.8189393576342,-1888.8189393576342,-1888.8189393576342,-244.3704322577746,-244.3704322577746,-244.3704322577746,447.2878720729858,447.2878720729858,447.2878720729858,-2091.736379172846,-2091.736379172846,-2091.736379172846,0.0,0.0,0.0,16190.278717219937
815,2022-04-16,18121.08782554588,7949.999172219974,22809.087110003333,18117.105861169264,18125.572655404874,-2076.6459213055737,-2076.6459213055737,-2076.6459213055737,-244.3704322577746,-244.3704322577746,-244.3704322577746,162.0060810905763,162.0060810905763,162.0060810905763,-1994.2815701383754,-1994.2815701383754,-1994.2815701383754,0.0,0.0,0.0,16044.441904240308
816,2022-04-17,18163.077994514184,8512.69891644156,23033.196948469347,18156.994107996612,18168.6803840802,-2499.53041043901,-2499.53041043901,-2499.53041043901,-244.3704322577746,-244.3704322577746,-244.3704322577746,-364.0950614229332,-364.0950614229332,-364.0950614229332,-1891.064916758303,-1891.064916758303,-1891.064916758303,0.0,0.0,0.0,15663.547584075173
817,2022-04-18,18205.06816348249,8145.963962283483,22744.76880265438,18195.836956709874,18213.152592557537,-2729.6395592371373,-2729.6395592371373,-2729.6395592371373,-244.3704322577746,-244.3704322577746,-244.3704322577746,-701.082048565672,-701.082048565672,-701.082048565672,-1784.1870784136913,-1784.1870784136913,-1784.1870784136913,0.0,0.0,0.0,15475.428604245353
818,2022-04-19,18247.0583324508,8863.205019105195,23530.515058808174,18235.226369508688,18257.839600663672,-2100.6822411795097,-2100.6822411795097,-2100.6822411795097,-244.3704322577746,-244.3704322577746,-244.3704322577746,-180.6346216162891,-180.6346216162891,-180.6346216162891,-1675.6771873054458,-1675.6771873054458,-1675.6771873054458,0.0,0.0,0.0,16146.376091271291
819,2022-04-20,18289.048501419104,9444.814984079087,24062.980990683147,18274.72389657256,18301.23449000014,-1619.1691416446818,-1619.1691416446818,-1619.1691416446818,-244.3704322577746,-244.3704322577746,-244.3704322577746,192.6524210964528,192.6524210964528,192.6524210964528,-1567.4511304833604,-1567.4511304833604,-1567.4511304833604,0.0,0.0,0.0,16669.879359774422
820,2022-04-21,18331.038670387414,9835.643405663724,24704.872931819962,18312.64783884791,18346.48608024501,-1261.7778737474416,-1261.7778737474416,-1261.7778737474416,-244.3704322577746,-244.3704322577746,-244.3704322577746,443.86535734547584,443.86535734547584,443.86535734547584,-1461.2727988351432,-1461.2727988351432,-1461.2727988351432,0.0,0.0,0.0,17069.260796639974
821,2022-04-22,18373.028839355713,9420.737039672698,24843.048019208483,18350.586480560043,18390.450635184698,-1155.8018304229481,-1155.8018304229481,-1155.8018304229481,-244.3704322577746,-244.3704322577746,-244.3704322577746,447.2878720736875,447.2878720736875,447.2878720736875,-1358.719270238861,-1358.719270238861,-1358.719270238861,0.0,0.0,0.0,17217.227008932765
822,2022-04-23,18415.01900832403,9035.765630253456,24670.959877375608,18389.70685010838,18435.902212041095,-1343.515152911626,-1343.515152911626,-1343.515152911626,-244.3704322577746,-244.3704322577746,-244.3704322577746,162.00608109050216,162.00608109050216,162.00608109050216,-1261.1508017443539,-1261.1508017443539,-1261.1508017443539,0.0,0.0,0.0,17071.503855412404
823,2022-04-24,18457.009177292333,8913.688968993256,23931.104043900057,18427.70963602442,18481.559632682627,-1778.1518826779838,-1778.1518826779838,-1778.1518826779838,-244.3704322577746,-244.3704322577746,-244.3704322577746,-364.0950614230095,-364.0950614230095,-364.0950614230095,-1169.6863889972005,-1169.6863889972005,-1169.6863889972005,0.0,0.0,0.0,16678.85729461435
824,2022-04-25,18498.999346260644,9258.705608055137,23794.213632710052,18466.396600122713,18526.476753472263,-2030.6379939203846,-2030.6379939203846,-2030.6379939203846,-244.3704322577746,-244.3704322577746,-244.3704322577746,-701.0820485654921,-701.0820485654921,-701.0820485654921,-1085.1855130971185,-1085.1855130971185,-1085.1855130971185,0.0,0.0,0.0,16468.36135234026
825,2022-04-26,18540.989515228954,9887.251524892627,24330.71221346335,18504.589585056998,18569.65251489327,-1433.241593085286,-1433.241593085286,-1433.241593085286,-244.3704322577746,-244.3704322577746,-244.3704322577746,-180.63462161818165,-180.63462161818165,-180.63462161818165,-1008.2365392093302,-1008.2365392093302,-1008.2365392093302,0.0,0.0,0.0,17107.747922143666
826,2022-04-27,18582.979684197253,10087.782286412232,25297.817068336128,18544.06207361557,18614.34953406714,-990.8700727935616,-990.8700727935616,-990.8700727935616,-244.3704322577746,-244.3704322577746,-244.3704322577746,192.65242109673977,192.65242109673977,192.65242109673977,-939.1520616325266,-939.1520616325266,-939.1520616325266,0.0,0.0,0.0,17592.10961140369
827,2022-04-28,18624.969853165563,10798.834385565453,25252.230992160792,18581.38625987751,18661.31838572214,-678.476386014389,-678.476386014389,-678.476386014389,-244.3704322577746,-244.3704322577746,-244.3704322577746,443.8653573458169,443.8653573458169,443.8653573458169,-877.9713111024312,-877.9713111024312,-877.9713111024312,0.0,0.0,0.0,17946.493467151173
828,2022-04-29,18666.960022133866,10810.020130004463,25341.94152049011,18618.26830518817,18708.893936177632,-621.5521169185521,-621.5521169185521,-621.5521169185521,-244.3704322577746,-244.3704322577746,-244.3704322577746,447.28787207332977,447.28787207332977,447.28787207332977,-824.4695567341073,-824.4695567341073,-824.4695567341073,0.0,0.0,0.0,18045.407905215314
829,2022-04-30,18708.950191102176,10277.569602641552,25250.553312300846,18655.668340381984,18754.101619265683,-860.5386032038341,-860.5386032038341,-860.5386032038341,-244.3704322577746,-244.3704322577746,-244.3704322577746,162.0060810900555,162.0060810900555,162.0060810900555,-778.1742520361149,-778.1742520361149,-778.1742520361149,0.0,0.0,0.0,17848.411587898343
830,2022-05-01,18750.940360070486,9597.622685001706,25032.50487742387,18693.649692255458,18798.72176231356,-1346.8529905830258,-1346.8529905830258,-1346.8529905830258,-244.3704322577746,-244.3704322577746,-244.3704322577746,-364.0950614236198,-364.0950614236198,-364.0950614236198,-738.3874969016317,-738.3874969016317,-738.3874969016317,0.0,0.0,0.0,17404.08736948746
831,2022-05-02,18792.930529038786,9673.18683507277,24163.550562747467,18731.661723572564,18844.91385695149,-1649.666701042834,-1649.666701042834,-1649.666701042834,-244.3704322577746,-244.3704322577746,-244.3704322577746,-701.0820485659492,-701.0820485659492,-701.0820485659492,-704.2142202191106,-704.2142202191106,-704.2142202191106,0.0,0.0,0.0,17143.26382799595
832,2022-05-03,18834.920698007096,10979.219616338305,24791.77886797922,18768.890868483428,18894.225300946353,-1099.6003892114938,-1099.6003892114938,-1099.6003892114938,-244.3704322577746,-244.3704322577746,-244.3704322577746,-180.63462161778162,-180.63462161778162,-180.63462161778162,-674.5953353359376,-674.5953353359376,-674.5953353359376,0.0,0.0,0.0,17735.320308795603
