,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,17700.647046879,1356.6432835031924,26714.49911659877,17700.647046879,17700.647046879,-3914.9706143786875,-3914.9706143786875,-3914.9706143786875,-5945.890432842008,-5945.890432842008,-5945.890432842008,-888.4229354183822,-888.4229354183822,-888.4229354183822,2919.3427538817027,2919.3427538817027,2919.3427538817027,0.0,0.0,0.0,13785.676432500311
812,2022-04-13,17712.59640028688,3552.0539439420695,28669.090582848316,17712.59640028688,17712.59640028688,-1661.522239599323,-1661.522239599323,-1661.522239599323,-5945.890432842008,-5945.890432842008,-5945.890432842008,1448.576146654143,1448.576146654143,1448.576146654143,2835.7920465885413,2835.7920465885413,2835.7920465885413,0.0,0.0,0.0,16051.074160687556
813,2022-04-14,17724.545753694754,4895.528780064836,28011.693472328276,17722.16175808425,17725.209040981692,-1507.3370315759585,-1507.3370315759585,-1507.3370315759585,-5945.890432842008,-5945.890432842008,-5945.890432842008,1694.2452868176858,1694.2452868176858,1694.2452868176858,2744.3081144483635,2744.3081144483635,2744.3081144483635,0.0,0.0,0.0,16217.208722118796
814,2022-04-15,17736.49510710263,3132.324772314662,27725.943538210526,17730.967307131858,17738.845012801034,-2239.561877628384,-2239.561877628384,-2239.561877628384,-5945.890432842008,-5945.890432842008,-5945.890432842008,1063.3855966753283,1063.3855966753283,1063.3855966753283,2642.942958538295,2642.942958538295,2642.942958538295,0.0,0.0,0.0,15496.933229474245
815,2022-04-16,17748.444460510505,2257.644794689987,26969.057280855523,17737.93895186753,17752.773041100092,-2744.681525949828,-2744.681525949828,-2744.681525949828,-5945.890432842008,-5945.890432842008,-5945.890432842008,671.2506298154073,671.2506298154073,671.2506298154073,2529.958277076772,2529.958277076772,2529.958277076772,0.0,0.0,0.0,15003.762934560677
816,2022-04-17,17760.39381391838,1087.0550608371066,25783.70908034681,17744.91999557223,17767.436582865925,-4475.29217170652,-4475.29217170652,-4475.29217170652,-5945.890432842008,-5945.890432842008,-5945.890432842008,-933.2819187619106,-933.2819187619106,-933.2819187619106,2403.880179897398,2403.880179897398,2403.880179897398,0.0,0.0,0.0,13285.101642211861
817,2022-04-18,17772.343167326257,-373.51177836197286,22847.107229608577,17749.877358566835,17784.057157426025,-6738.098389997372,-6738.098389997372,-6738.098389997372,-5945.890432842008,-5945.890432842008,-5945.890432842008,-3055.7528057838863,-3055.7528057838863,-3055.7528057838863,2263.5448486285227,2263.5448486285227,2263.5448486285227,0.0,0.0,0.0,11034.244777328884
818,2022-04-19,17784.292520734136,1191.9029461918253,25899.474722263392,17755.752272312002,17799.84528985568,-4726.179311741234,-4726.179311741234,-4726.179311741234,-5945.890432842008,-5945.890432842008,-5945.890432842008,-888.4229354162239,-888.4229354162239,-888.4229354162239,2108.134056516998,2108.134056516998,2108.134056516998,0.0,0.0,0.0,13058.113208992901
819,2022-04-20,17796.241874142008,2947.1319999842094,26956.09034759607,17764.0915589733,17815.45045446716,-2560.114501842057,-2560.114501842057,-2560.114501842057,-5945.890432842008,-5945.890432842008,-5945.890432842008,1448.5761466554695,1448.5761466554695,1448.5761466554695,1937.1997843444813,1937.1997843444813,1937.1997843444813,0.0,0.0,0.0,15236.12737229995
820,2022-04-21,17808.191227549887,2877.3276867984428,27379.087628945446,17770.524906417875,17831.71361328958,-2500.967641667916,-2500.967641667916,-2500.967641667916,-5945.890432842008,-5945.890432842008,-5945.890432842008,1694.2452868201556,1694.2452868201556,1694.2452868201556,1750.6775043539365,1750.6775043539365,1750.6775043539365,0.0,0.0,0.0,15307.223585881971
821,2022-04-22,17820.14058095776,2656.991835615279,26508.16589652376,17776.907193898915,17847.837626248773,-3333.6167933847596,-3333.6167933847596,-3333.6167933847596,-5945.890432842008,-5945.890432842008,-5945.890432842008,1063.3855966776125,1063.3855966776125,1063.3855966776125,1548.888042779636,1548.888042779636,1548.888042779636,0.0,0.0,0.0,14486.523787573
822,2022-04-23,17832.08993436564,1233.8732553724121,25328.156531969737,17781.893162107513,17864.125047694324,-3942.1115394778562,-3942.1115394778562,-3942.1115394778562,-5945.890432842008,-5945.890432842008,-5945.890432842008,671.2506298156935,671.2506298156935,671.2506298156935,1332.5282635484587,1332.5282635484587,1332.5282635484587,0.0,0.0,0.0,13889.978394887781
823,2022-04-24,17844.03928777351,-641.1859010747105,23727.2464419729,17788.384050697034,17880.746692135366,-5776.521219881966,-5776.521219881966,-5776.521219881966,-5945.890432842008,-5945.890432842008,-5945.890432842008,-933.2819187629756,-933.2819187629756,-933.2819187629756,1102.6511317230174,1102.6511317230174,1102.6511317230174,0.0,0.0,0.0,12067.518067891544
824,2022-04-25,17855.98864118139,-2514.339874699221,22822.8181006173,17791.079643681787,17896.190250856762,-8141.007231973962,-8141.007231973962,-8141.007231973962,-5945.890432842008,-5945.890432842008,-5945.890432842008,-3055.7528057839395,-3055.7528057839395,-3055.7528057839395,860.6360066519845,860.6360066519845,860.6360066519845,0.0,0.0,0.0,9714.981409207427
825,2022-04-26,17867.937994589265,-676.6099756737638,24612.53677827945,17797.345243263164,17916.236736976927,-6226.163094553895,-6226.163094553895,-6226.163094553895,-5945.890432842008,-5945.890432842008,-5945.890432842008,-888.4229354266877,-888.4229354266877,-888.4229354266877,608.1502737148012,608.1502737148012,608.1502737148012,0.0,0.0,0.0,11641.77490003537
826,2022-04-27,17879.88734799714,2750.7512831975164,25850.70462619331,17802.690031351292,17931.98072136521,-4150.210642655352,-4150.210642655352,-4150.210642655352,-5945.890432842008,-5945.890432842008,-5945.890432842008,1448.576146656796,1448.576146656796,1448.576146656796,347.1036435298598,347.1036435298598,347.1036435298598,0.0,0.0,0.0,13729.67670534179
827,2022-04-28,17891.836701405016,46.68982430019623,25966.424810277065,17806.364941576314,17947.783436146983,-4172.048523025286,-4172.048523025286,-4172.048523025286,-5945.890432842008,-5945.890432842008,-5945.890432842008,1694.2452868206324,1694.2452868206324,1694.2452868206324,79.5966229960895,79.5966229960895,79.5966229960895,0.0,0.0,0.0,13719.788178379731
828,2022-04-29,17903.786054812892,38.133618691111884,25010.378829176894,17814.530769844874,17966.112980165297,-5074.640046342502,-5074.640046342502,-5074.640046342502,-5945.890432842008,-5945.890432842008,-5945.890432842008,1063.3855966763838,1063.3855966763838,1063.3855966763838,-192.13521017687793,-192.13521017687793,-192.13521017687793,0.0,0.0,0.0,12829.14600847039
829,2022-04-30,17915.73540822077,256.6658029162054,24932.400835780845,17818.55931726683,17982.74799665126,-5740.419224390973,-5740.419224390973,-5740.419224390973,-5945.890432842008,-5945.890432842008,-5945.890432842008,671.2506298147972,671.2506298147972,671.2506298147972,-465.7794213637619,-465.7794213637619,-465.7794213637619,0.0,0.0,0.0,12175.316183829798
830,2022-05-01,17927.684761628647,-2914.6128661685666,22756.615632302062,17818.779111842938,17998.6971854868,-7618.178040101675,-7618.178040101675,-7618.178040101675,-5945.890432842008,-5945.890432842008,-5945.890432842008,-933.281918765415,-933.281918765415,-933.281918765415,-739.0056884942519,-739.0056884942519,-739.0056884942519,0.0,0.0,0.0,10309.506721526972
831,2022-05-02,17939.634115036522,-5000.914794913853,21422.637771579393,17826.52433028209,18016.07978658367,-10011.167059142648,-10011.167059142648,-10011.167059142648,-5945.890432842008,-5945.890432842008,-5945.890432842008,-3055.75280578352,-3055.75280578352,-3055.75280578352,-1009.5238205171202,-1009.5238205171202,-1009.5238205171202,0.0,0.0,0.0,7928.467055893874
