,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
811,2022-04-12,2319.5844789918974,-5298.942387252588,5223.373948432228,2319.5844789918974,2319.5844789918974,-2603.659378468732,-2603.659378468732,-2603.659378468732,1976.1496769901773,1976.1496769901773,1976.1496769901773,-739.9841076607883,-739.9841076607883,-739.9841076607883,-3839.8249477981217,-3839.8249477981217,-3839.8249477981217,0.0,0.0,0.0,0.0
812,2022-04-13,2309.1313221032965,-4368.333748197329,6475.897639584862,2309.1313221032965,2309.52518488706,-1167.5835890493074,-1167.5835890493074,-1167.5835890493074,1976.1496769901773,1976.1496769901773,1976.1496769901773,746.4248569001868,746.4248569001868,746.4248569001868,-3890.1581229396716,-3890.1581229396716,-3890.1581229396716,0.0,0.0,0.0,1141.547733053989
813,2022-04-14,2298.6781652146938,-4387.309779334898,6869.102878942971,2298.112511379532,2299.6222499939945,-1062.7506817112874,-1062.7506817112874,-1062.7506817112874,1976.1496769901773,1976.1496769901773,1976.1496769901773,897.9805441693064,897.9805441693064,897.9805441693064,-3936.880902870771,-3936.880902870771,-3936.880902870771,0.0,0.0,0.0,1235.9274835034064
814,2022-04-15,2288.2250083260924,-4392.528130264111,6293.835256200676,2287.073699606411,2290.4288225964897,-1334.4537091474485,-1334.4537091474485,-1334.4537091474485,1976.1496769901773,1976.1496769901773,1976.1496769901773,668.2744260900959,668.2744260900959,668.2744260900959,-3978.8778122277217,-3978.8778122277217,-3978.8778122277217,0.0,0.0,0.0,953.7712991786439
815,2022-04-16,2277.771851437489,-4090.4307650751193,6526.508390764144,2275.843743769803,2281.497529469384,-1579.1398568148581,-1579.1398568148581,-1579.1398568148581,1976.1496769901773,1976.1496769901773,1976.1496769901773,459.8724608405756,459.8724608405756,459.8724608405756,-4015.1619946456112,-4015.1619946456112,-4015.1619946456112,0.0,0.0,0.0,698.631994622631
816,2022-04-17,2267.3186945488887,-5353.135476463697,5231.701757719193,2264.459371199051,2272.7163913719146,-2461.1113465862995,-2461.1113465862995,-2461.1113465862995,1976.1496769901773,1976.1496769901773,1976.1496769901773,-392.3628324943036,-392.3628324943036,-392.3628324943036,-4044.8981910821735,-4044.8981910821735,-4044.8981910821735,0.0,0.0,0.0,0.0
817,2022-04-18,2256.865537660286,-6867.732345592065,3547.248724679147,2252.7988912259243,2263.706966496703,-3731.4763819041045,-3731.4763819041045,-3731.4763819041045,1976.1496769901773,1976.1496769901773,1976.1496769901773,-1640.2053478456112,-1640.2053478456112,-1640.2053478456112,-4067.420711048671,-4067.420711048671,-4067.420711048671,0.0,0.0,0.0,0.0
818,2022-04-19,2246.4123807716833,-5802.264166523271,4614.989998466626,2241.218716149684,2255.0271849764868,-2846.0804318002715,-2846.0804318002715,-2846.0804318002715,1976.1496769901773,1976.1496769901773,1976.1496769901773,-739.9841076596849,-739.9841076596849,-739.9841076596849,-4082.246001130765,-4082.246001130765,-4082.246001130765,0.0,0.0,0.0,0.0
819,2022-04-20,2235.9592238830814,-4274.341037953695,6301.925190948686,2229.5118039594217,2246.5559041759793,-1366.5050544534865,-1366.5050544534865,-1366.5050544534865,1976.1496769901773,1976.1496769901773,1976.1496769901773,746.424856901021,746.424856901021,746.424856901021,-4089.079588344684,-4089.079588344684,-4089.079588344684,0.0,0.0,0.0,869.4541694295949
820,2022-04-21,2225.5060669944787,-4445.9740774890715,6399.615169977506,2218.1066477015356,2237.9229320087143,-1213.6871304914528,-1213.6871304914528,-1213.6871304914528,1976.1496769901773,1976.1496769901773,1976.1496769901773,897.980544170462,897.980544170462,897.980544170462,-4087.8173516520924,-4087.8173516520924,-4087.8173516520924,0.0,0.0,0.0,1011.818936503026
821,2022-04-22,2215.0529101058783,-4390.74955969357,5868.744477673511,2205.660869542605,2228.8951491059743,-1434.1171447764607,-1434.1171447764607,-1434.1171447764607,1976.1496769901773,1976.1496769901773,1976.1496769901773,668.2744260908055,668.2744260908055,668.2744260908055,-4078.541247857443,-4078.541247857443,-4078.541247857443,0.0,0.0,0.0,780.9357653294176
822,2022-04-23,2204.5997532172755,-4964.416049190076,6089.6467044550445,2192.7022041534688,2220.210272500597,-1625.4876448980788,-1625.4876448980788,-1625.4876448980788,1976.1496769901773,1976.1496769901773,1976.1496769901773,459.8724608404148,459.8724608404148,459.8724608404148,-4061.509782728671,-4061.509782728671,-4061.509782728671,0.0,0.0,0.0,579.1121083191968
823,2022-04-24,2194.1465963286737,-5689.633372742984,5073.274593741114,2180.8349491837275,2212.3374927242203,-2453.3568250516337,-2453.3568250516337,-2453.3568250516337,1976.1496769901773,1976.1496769901773,1976.1496769901773,-392.3628324954899,-392.3628324954899,-392.3628324954899,-4037.1436695463212,-4037.1436695463212,-4037.1436695463212,0.0,0.0,0.0,0.0
824,2022-04-25,2183.693439440071,-7086.742638621719,4018.0662046990756,2168.803635907338,2203.978518281482,-3670.062921761332,-3670.062921761332,-3670.062921761332,1976.1496769901773,1976.1496769901773,1976.1496769901773,-1640.2053478460757,-1640.2053478460757,-1640.2053478460757,-4006.0072509054353,-4006.0072509054353,-4006.0072509054353,0.0,0.0,0.0,0.0
825,2022-04-26,2173.240282551468,-5748.727501485619,4751.609660598122,2156.4745058326866,2195.4514850297123,-2732.620802271451,-2732.620802271451,-2732.620802271451,1976.1496769901773,1976.1496769901773,1976.1496769901773,-739.9841076652573,-739.9841076652573,-739.9841076652573,-3968.7863715963717,-3968.7863715963717,-3968.7863715963717,0.0,0.0,0.0,0.0
826,2022-04-27,2162.7871256628678,-4863.40626184202,6760.072346055183,2144.6941462503346,2186.932079172067,-1203.6889438738435,-1203.6889438738435,-1203.6889438738435,1976.1496769901773,1976.1496769901773,1976.1496769901773,746.4248569018549,746.4248569018549,746.4248569018549,-3926.2634777658764,-3926.2634777658764,-3926.2634777658764,0.0,0.0,0.0,959.0981817890242
